,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,toshiba sd-p71s portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback",119.36,"('rtable_description',)","[""toshiba sd-p71s 7 ' portable dvd player""]","[""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback""]",0.46153426,0.5384658,2
1,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,panasonic dvd-ls83 portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback",119.36,"('rtable_name', 'rtable_description')","['toshiba sd-p71s portable dvd player', ""toshiba sd-p71s 7 ' portable dvd player""]","['panasonic dvd-ls83 portable dvd player', ""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback""]",0.3290698,0.67093027,2
2,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,toshiba sd-p71s portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback",148.69,"('rtable_description', 'rtable_price')","[""toshiba sd-p71s 7 ' portable dvd player"", 119.36]","[""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback"", 148.69]",0.45088872,0.5491113,2
4,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,toshiba sd-p71s portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback",119.36,"('rtable_description',)","[""toshiba sd-p71s 7 ' portable dvd player""]","[""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback""]",0.4970611,0.50293887,2
5,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,panasonic dvd-ls86 portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback",119.36,"('rtable_name', 'rtable_description')","['toshiba sd-p71s portable dvd player', ""toshiba sd-p71s 7 ' portable dvd player""]","['panasonic dvd-ls86 portable dvd player', ""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback""]",0.36579755,0.6342025,2
6,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,toshiba sd-p71s portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback",164.12,"('rtable_description', 'rtable_price')","[""toshiba sd-p71s 7 ' portable dvd player"", 119.36]","[""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback"", 164.12]",0.48676974,0.5132302,2
8,panasonic black 8.5 ' portable dvd player dvdls83,"sony dvd-r recordable camcorder media 3 pack 3dmr30l1h 30 minute , 1.4 gb accucore technology store digital video , audio and multimedia files 3 pack",,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,"('ltable_description',)","[""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","['sony dvd-r recordable camcorder media 3 pack 3dmr30l1h 30 minute , 1.4 gb accucore technology store digital video , audio and multimedia files 3 pack']",0.4999052,0.50009483,2
9,toshiba black portable dvd player sdp71s,toshiba black portable dvd player sdp71s 7 ' widescreen tft lcd display up to 3 hour lithium battery life jpeg viewer switchable audio/video input and output black finish,,toshiba sd-p71s portable dvd player,toshiba sd-p71s 7 ' portable dvd player,119.36,"('ltable_name', 'ltable_description')","[""panasonic black 8.5 ' portable dvd player dvdls83"", ""panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish""]","['toshiba black portable dvd player sdp71s', ""toshiba black portable dvd player sdp71s 7 ' widescreen tft lcd display up to 3 hour lithium battery life jpeg viewer switchable audio/video input and output black finish""]",0.28460133,0.71539867,2
3,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,panasonic dvd-ls83 portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback",148.69,"('rtable_name', 'rtable_description', 'rtable_price')","['toshiba sd-p71s portable dvd player', ""toshiba sd-p71s 7 ' portable dvd player"", 119.36]","['panasonic dvd-ls83 portable dvd player', ""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd + r , dvd-r , cd-rw dvd video , cd-da , mp3 , jpeg , mpeg-4 , divx , wma , video cd , svcd , highmat playback"", 148.69]",0.324071,0.67592907,3
7,panasonic black 8.5 ' portable dvd player dvdls83,panasonic black 8.5 ' portable dvd player dvdls83 8.5 ' free style wide screen lcd display 6 hour battery multi format playback dual headphone jacks divx playback car dc adapter included black finish,,panasonic dvd-ls86 portable dvd player,"8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback",164.12,"('rtable_name', 'rtable_description', 'rtable_price')","['toshiba sd-p71s portable dvd player', ""toshiba sd-p71s 7 ' portable dvd player"", 119.36]","['panasonic dvd-ls86 portable dvd player', ""8.5 ' lcd dvd + rw , dvd-rw , dvd-ram , dvd-r , dvd + r , cd-rw cd-da , mp3 , wma , jpeg , mpeg-4 , divx , video cd , svcd , highmat , dvd video playback"", 164.12]",0.36743864,0.6325613,3
