,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,toshiba 52rv535u 52 ' widescreen 1080p lcd hdtv w / cinespeed piano black,,,"('rtable_name', 'rtable_price')","['sony 42in bravia lcd v-series 1080p hdtv kdl42v4100', 1098.72]","[""toshiba 52rv535u 52 ' widescreen 1080p lcd hdtv w / cinespeed piano black"", nan]",0.3459731936454773,0.6540268063545227,2
45,sony 42in bravia lcd,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",1098.72,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_price')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", nan]","['sony 42in bravia lcd', 1098.72]",0.06379377841949463,0.9362062215805054,2
25,bravia lcd v-series 1080p hdtv kdl42v4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name',)","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100""]",['bravia lcd v-series 1080p hdtv kdl42v4100'],0.07521367073059082,0.9247863292694092,2
26,bravia lcd v-series 1080p hdtv kdl42v4100,,,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_description')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", ""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish""]","['bravia lcd v-series 1080p hdtv kdl42v4100', nan]",0.07934820652008057,0.9206517934799194,2
27,bravia lcd v-series 1080p hdtv kdl42v4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",1098.72,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_price')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", nan]","['bravia lcd v-series 1080p hdtv kdl42v4100', 1098.72]",0.08708024024963379,0.9129197597503662,2
29,42in bravia lcd v-series 1080p hdtv kdl42v4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name',)","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100""]",['42in bravia lcd v-series 1080p hdtv kdl42v4100'],0.08491271734237671,0.9150872826576233,2
30,42in bravia lcd v-series 1080p hdtv kdl42v4100,,,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_description')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", ""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish""]","['42in bravia lcd v-series 1080p hdtv kdl42v4100', nan]",0.08861243724822998,0.91138756275177,2
31,42in bravia lcd v-series 1080p hdtv kdl42v4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",1098.72,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_price')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", nan]","['42in bravia lcd v-series 1080p hdtv kdl42v4100', 1098.72]",0.09575915336608887,0.9042408466339111,2
22,sony,,,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name', 'ltable_description')","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100"", ""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish""]","['sony', nan]",0.49866771697998047,0.5013322830200195,2
33,lcd v-series 1080p hdtv kdl42v4100,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,,1098.72,"('ltable_name',)","[""sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100""]",['lcd v-series 1080p hdtv kdl42v4100'],0.0710897445678711,0.9289102554321289,2
