,label,latency,match,prediction,row,summary,type
0,0.0,64.3006321799985,0.0,[0.6477651 0.3522349],445-910,"rtable_description/rtable_price    0.36
dtype: float64",certa
1,0.0,62.508066233000136,0.0,[0.858345 0.141655],719-812,"ltable_name    0.112245
dtype: float64",certa
2,0.0,61.56545278599515,0.0,[0.95555401 0.04444599],550-664,"ltable_name/ltable_description    0.11
dtype: float64",certa
3,1.0,73.51099463900027,0.0,[0.95163838 0.04836162],942-949,"ltable_name/ltable_description    0.08
dtype: float64",certa
4,0.0,76.37140934100171,0.0,[0.9305829 0.0694171],643-636,"rtable_price    0.08
dtype: float64",certa
5,0.0,73.53058923000208,0.0,[0.94608939 0.05391061],495-578,"ltable_name    0.09
dtype: float64",certa
6,0.0,54.32256517899805,0.0,[0.95288381 0.04711619],994-336,"ltable_name/ltable_description    0.16129
dtype: float64",certa
7,0.0,55.313533284002915,0.0,[0.94259047 0.05740953],808-127,"ltable_name    0.116279
dtype: float64",certa
8,0.0,62.03145866799605,0.0,[0.95052981 0.04947019],987-980,"ltable_name/ltable_description/ltable_price    0.07
dtype: float64",certa
9,0.0,49.27411904699693,0.0,[0.95509144 0.04490856],332-237,"ltable_name    0.152174
dtype: float64",certa
10,0.0,73.67975590400602,0.0,[0.94881715 0.05118285],994-732,"ltable_name/ltable_description/ltable_price    0.13
dtype: float64",certa
11,0.0,64.47516747199552,0.0,[0.95614204 0.04385796],764-141,"ltable_name/ltable_description    0.11
dtype: float64",certa
12,0.0,88.60862728700158,0.0,[0.95090784 0.04909216],615-640,"ltable_name    0.07
dtype: float64",certa
13,0.0,68.91834499499964,0.0,[0.95354509 0.04645491],431-71,"ltable_name    0.12
dtype: float64",certa
14,0.0,68.70721859499463,0.0,[0.94826636 0.05173364],805-399,"ltable_name    0.208955
dtype: float64",certa
15,0.0,83.20763354500377,0.0,[0.9529291 0.0470709],987-653,"ltable_name/ltable_description    0.1
dtype: float64",certa
16,0.0,78.3798307160032,0.0,[0.94838161 0.05161839],710-660,"ltable_name    0.09
dtype: float64",certa
17,0.0,83.29650834399945,0.0,[0.95452232 0.04547768],191-301,"ltable_name    0.11
dtype: float64",certa
18,0.0,89.37022546599474,0.0,[0.87443846 0.12556154],169-235,"ltable_name/ltable_price    0.17
dtype: float64",certa
19,0.0,103.54552165999485,0.0,[0.95294302 0.04705698],677-891,"ltable_name/ltable_price    0.13
dtype: float64",certa
20,0.0,79.5139714140023,0.0,[0.94625123 0.05374877],280-300,"ltable_name/ltable_description    0.15
dtype: float64",certa
21,0.0,91.84767653299787,0.0,[0.95737557 0.04262443],523-954,"ltable_name/ltable_description/ltable_price    0.129412
dtype: float64",certa
22,0.0,79.78657707000093,0.0,[0.9495654 0.0504346],427-146,"ltable_name/ltable_price    0.13
dtype: float64",certa
23,0.0,81.87590215399541,0.0,[0.94149419 0.05850581],955-194,"ltable_name    0.09
dtype: float64",certa
24,0.0,69.62047351199726,0.0,[0.94666865 0.05333135],462-273,"ltable_name/ltable_price    0.13
dtype: float64",certa
25,0.0,77.13198767200083,0.0,[0.95037777 0.04962223],334-179,"ltable_name    0.13
dtype: float64",certa
26,1.0,78.0542738909935,1.0,[0.05532706 0.94467294],599-545,"rtable_name    0.59
dtype: float64",certa
27,0.0,105.93247263800004,0.0,[0.94069434 0.05930566],572-695,"ltable_name    0.08
dtype: float64",certa
28,0.0,101.29377832900354,0.0,[0.93985669 0.06014331],804-690,"ltable_name    0.08
dtype: float64",certa
29,0.0,83.98015794700041,1.0,[0.43445492 0.56554508],692-785,"rtable_name    0.5
dtype: float64",certa
30,0.0,100.35190653799509,0.0,[0.9354891 0.0645109],1044-999,"ltable_name    0.08
dtype: float64",certa
31,0.0,107.73689552300493,0.0,[0.94708474 0.05291526],477-542,"ltable_name    0.1
dtype: float64",certa
32,0.0,105.09760632300458,0.0,[0.94045328 0.05954672],853-686,"ltable_name/ltable_price    0.11
dtype: float64",certa
33,0.0,98.94466799899965,0.0,[0.94979819 0.05020181],684-1021,"ltable_name/ltable_price    0.1
dtype: float64",certa
34,0.0,89.53056185600144,1.0,[0.09225249 0.90774751],231-185,"rtable_name    0.59
dtype: float64",certa
35,0.0,94.08380479000334,0.0,[0.93642122 0.06357878],196-908,"ltable_name/ltable_price    0.1
dtype: float64",certa
36,0.0,149.5110464939935,0.0,[0.94346127 0.05653873],448-909,"rtable_name    0.15
dtype: float64",certa
37,0.0,92.82362961599574,0.0,[0.92617644 0.07382356],793-1049,"ltable_name    0.218182
dtype: float64",certa
38,0.0,148.72154501300247,0.0,[0.9622142 0.0377858],946-874,"ltable_name/ltable_price    0.08
dtype: float64",certa
39,0.0,107.27994990000298,0.0,[0.95368281 0.04631719],885-630,"ltable_name/ltable_price    0.07
dtype: float64",certa
40,0.0,79.06441139299568,0.0,[0.95851477 0.04148523],388-917,"ltable_name/ltable_description/ltable_price    0.23
dtype: float64",certa
41,0.0,71.40510159800033,0.0,[0.95061761 0.04938239],348-409,"ltable_name    0.134021
dtype: float64",certa
42,0.0,92.51719591599976,1.0,[0.37568539 0.62431461],486-544,"rtable_name    0.55
dtype: float64",certa
43,0.0,61.67720866500167,0.0,[0.90928106 0.09071894],19-569,"rtable_name    0.257732
dtype: float64",certa
44,0.0,92.15455644600297,0.0,[0.94698224 0.05301776],997-991,"ltable_name/ltable_price    0.06
dtype: float64",certa
45,0.0,90.52372207400185,0.0,[0.95248026 0.04751974],1015-541,"ltable_name/ltable_description    0.12
dtype: float64",certa
46,1.0,89.00547900499805,1.0,[0.07946301 0.92053699],710-746,"ltable_name    0.52
dtype: float64",certa
47,1.0,83.62556862199563,1.0,[0.07035685 0.92964315],244-328,"ltable_name    0.53
dtype: float64",certa
48,0.0,87.66458277199854,0.0,[0.94626344 0.05373656],483-414,"ltable_name/ltable_description/ltable_price    0.09
dtype: float64",certa
49,0.0,92.13292179600103,0.0,[0.93938224 0.06061776],251-247,"ltable_name    0.137931
dtype: float64",certa
