,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,16:9 2.7 ' hybrid lcd,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
1,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
2,canon pink 8.0 megapixel powershot digital camera sd1100isp 8.0 megapixel 3x optical zoom 2.5 ' color lcd 18 shooting modes red-eye correction face detection technology isaps technology melody pink finish,samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
3,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
4,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,top loading leather red,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
5,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,panasonic kx-tga670b cordless handset,1079.96,0
6,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",belkin neoprene sleeve for macbook air f8n065blk,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
7,"samsung 55 ' series 9 lcd black flat panel hdtv ln55a950 touch of color design full 1080p high definition resolution 2,000,000:1 dynamic contrast ratio auto motion plus 120hz built-in digital tuner ( ntsc/atsc/clear qam ) 4ms response time srs trusurround xt down firing speakers picture-in-picture ( pip ) integrated woofer wide color gamut led backlight black finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,samsung 6 series hl56a650 56 ' projection tv,1079.96,0
8,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,canon powershot a590 is digital camera 2462b001,1079.96,0
9,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",samsung 22 ' black flat panel series 6 lcd hdtv ln22a650,599.0,samsung hl56a650 56 ' widescreen 1080p dlp hdtv w / built in ntsc/atsc tuner piano black,sony cyber-shot dsc-h50 digital camera black dsch50b,1079.96,0
