,label,latency,match,prediction,row,summary,type
0,0.0,217.71433326601982,0.0,[0.99584454 0.00415546],445-910,"ltable_name    0.769231
dtype: float64",certa
1,0.0,285.6653434599866,0.0,[0.9898885  0.01011151],719-812,"rtable_description/rtable_price    0.5
dtype: float64",certa
2,0.0,280.81002607301343,0.0,[0.988116   0.01188395],550-664,"rtable_description    0.554348
dtype: float64",certa
3,1.0,313.0158329809783,0.0,[0.9948602  0.00513985],942-949,"ltable_name    0.33
dtype: float64",certa
4,0.0,307.101753889001,0.0,[0.99495715 0.0050429 ],643-636,"rtable_name/rtable_description    0.54
dtype: float64",certa
5,0.0,298.1876111069578,0.0,[0.99586135 0.00413871],495-578,"ltable_name    0.12
dtype: float64",certa
6,0.0,229.87145404698094,0.0,[0.99596655 0.00403345],994-336,"ltable_name    0.253012
dtype: float64",certa
7,0.0,241.9649945840356,0.0,[0.99616796 0.00383207],808-127,"rtable_description/rtable_price    0.235955
dtype: float64",certa
8,0.0,280.5423182590166,0.0,[0.99627244 0.00372752],987-980,"ltable_name/ltable_price    0.41
dtype: float64",certa
9,0.0,186.15595104999375,0.0,[0.99638486 0.00361509],332-237,"ltable_description/ltable_price    0.216867
ltable_name                        0.216867
dtype: float64",certa
10,0.0,301.07646155403927,0.0,[0.9957527  0.00424729],994-732,"rtable_price    0.0
rtable_name     0.0
dtype: float64",certa
11,0.0,295.49792721203994,0.0,[0.9964156  0.00358437],764-141,"ltable_name    0.16
dtype: float64",certa
12,0.0,354.5880262639839,0.0,[0.99492043 0.00507955],615-640,"ltable_name/ltable_price    0.09
dtype: float64",certa
13,0.0,240.7519133699825,0.0,[0.99532396 0.00467608],431-71,"rtable_description/rtable_price    0.28
dtype: float64",certa
14,0.0,215.2582132370444,0.0,[0.993353 0.006647],805-399,"rtable_description/rtable_price    0.457143
dtype: float64",certa
15,0.0,276.334839017014,0.0,[0.72985655 0.27014336],987-653,"rtable_description/rtable_price    0.663043
dtype: float64",certa
16,0.0,249.00099101499654,0.0,[0.9961695  0.00383047],710-660,"ltable_name    0.29
dtype: float64",certa
17,0.0,284.6835819290136,0.0,[0.99623775 0.00376225],191-301,"ltable_name    0.3
dtype: float64",certa
18,0.0,181.7175597199821,0.0,[0.9938916  0.00610836],169-235,"rtable_description/rtable_price    0.5625
dtype: float64",certa
19,0.0,313.13766149402363,0.0,[0.9963595  0.00364044],677-891,"ltable_name    0.34
dtype: float64",certa
20,0.0,251.3726263680146,0.0,[0.99574345 0.00425648],280-300,"ltable_name    0.223404
dtype: float64",certa
21,0.0,298.9318887940026,0.0,[0.99599826 0.0040018 ],523-954,"ltable_name    0.318182
dtype: float64",certa
22,0.0,252.33884858101374,0.0,[0.9963259 0.0036741],427-146,"ltable_name/ltable_price    0.15
dtype: float64",certa
23,0.0,236.60100630501984,0.0,[0.995445   0.00455505],955-194,"rtable_description/rtable_price    0.26
dtype: float64",certa
24,0.0,193.40853010502178,0.0,[0.9548952  0.04510488],462-273,"rtable_name    0.83
dtype: float64",certa
25,0.0,217.4969893899979,0.0,[0.99626786 0.0037322 ],334-179,"ltable_name/ltable_price    0.111111
dtype: float64",certa
26,1.0,421.8419999690377,1.0,[0.03053056 0.9694695 ],599-545,"rtable_description    0.48
dtype: float64",certa
27,0.0,315.2597763270023,0.0,[0.995832   0.00416796],572-695,"ltable_name    0.35
dtype: float64",certa
28,0.0,308.12373244797345,0.0,[0.99532676 0.00467319],804-690,"rtable_name/rtable_price    0.76
dtype: float64",certa
29,0.0,275.78413096198346,0.0,[0.87834954 0.12165041],692-785,"rtable_name/rtable_description/rtable_price    0.390805
dtype: float64",certa
30,0.0,288.5165951270028,0.0,[0.9954853  0.00451478],1044-999,"ltable_name/ltable_price    0.07
dtype: float64",certa
31,0.0,280.3457672660006,0.0,[0.9962484  0.00375159],477-542,"ltable_name    0.13
dtype: float64",certa
32,0.0,299.7720878730179,0.0,[0.99576604 0.00423401],853-686,"ltable_name    0.22
dtype: float64",certa
33,0.0,319.6506778890034,0.0,[0.98270077 0.01729928],684-1021,"rtable_name    0.93
dtype: float64",certa
34,0.0,461.7486086729914,1.0,[0.01964179 0.98035824],231-185,"rtable_description/rtable_price    0.51
dtype: float64",certa
35,0.0,214.80506925302325,0.0,[0.9952167  0.00478331],196-908,"ltable_name/ltable_price    0.183673
dtype: float64",certa
36,0.0,347.40401284897234,0.0,[0.99418336 0.00581666],448-909,"ltable_name    0.07
dtype: float64",certa
37,0.0,194.32799737900496,0.0,[0.9938168  0.00618313],793-1049,"rtable_description/rtable_price    0.178571
dtype: float64",certa
38,0.0,436.97630024701357,0.0,[0.99582654 0.00417344],946-874,"ltable_name/ltable_price    0.7
dtype: float64",certa
39,0.0,231.88969085598364,0.0,[0.99578434 0.00421565],885-630,"ltable_name    0.019231
dtype: float64",certa
40,0.0,187.4319070429774,0.0,[0.9959877  0.00401231],388-917,"ltable_description/ltable_price    0.09
ltable_name                        0.09
dtype: float64",certa
