,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,1659.99,"('rtable_title',)",['adobe cs3 web premium'],['adobe soundbooth cs3'],0.45998675,0.54001325,2
1,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,1659.99,"('rtable_title', 'rtable_manufacturer')","['adobe cs3 web premium', nan]","['adobe soundbooth cs3', nan]",0.45998675,0.54001325,2
2,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,205.99,"('rtable_title', 'rtable_price')","['adobe cs3 web premium', 1659.99]","['adobe soundbooth cs3', 205.99]",0.45998675,0.54001325,2
4,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,,1659.99,"('rtable_title',)",['adobe cs3 web premium'],['adobe dreamweaver cs3'],0.47002035,0.52997965,2
5,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,,1659.99,"('rtable_title', 'rtable_manufacturer')","['adobe cs3 web premium', nan]","['adobe dreamweaver cs3', nan]",0.47002035,0.52997965,2
6,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,,415.99,"('rtable_title', 'rtable_price')","['adobe cs3 web premium', 1659.99]","['adobe dreamweaver cs3', 415.99]",0.47002035,0.52997965,2
8,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe indesign cs3 for mac,,1659.99,"('rtable_title',)",['adobe cs3 web premium'],['adobe indesign cs3 for mac'],0.425823,0.57417697,2
9,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe indesign cs3 for mac,,1659.99,"('rtable_title', 'rtable_manufacturer')","['adobe cs3 web premium', nan]","['adobe indesign cs3 for mac', nan]",0.425823,0.57417697,2
10,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe indesign cs3 for mac,,725.99,"('rtable_title', 'rtable_price')","['adobe cs3 web premium', 1659.99]","['adobe indesign cs3 for mac', 725.99]",0.425823,0.57417697,2
3,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe soundbooth cs3,,205.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['adobe cs3 web premium', nan, 1659.99]","['adobe soundbooth cs3', nan, 205.99]",0.45998675,0.54001325,3
7,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe dreamweaver cs3,,415.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['adobe cs3 web premium', nan, 1659.99]","['adobe dreamweaver cs3', nan, 415.99]",0.47002035,0.52997965,3
11,adobe dreamweaver cs3 [ mac ],adobe,399.0,adobe indesign cs3 for mac,,725.99,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['adobe cs3 web premium', nan, 1659.99]","['adobe indesign cs3 for mac', nan, 725.99]",0.425823,0.57417697,3
