,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,musicalis guitar workshop,aspyr media,24.99,aspyr media inc sims 2 glamour life stuff pack,nan,89.99,1
1,adobe indesign cs3 upgrade from pagemaker,aspyr media,24.99,aspyr media inc sims 2 glamour life stuff pack,nan,23.44,1
2,sims 2 glamour life stuff pack,aspyr media,24.99,ghost recon gold edition ( dvd-rom ),sibelius-software-ltd .,23.44,1
3,sims 2 glamour life stuff pack,aspyr media,24.99,sibelius photoscore professional scanning software music production software,nan,808.15,1
4,sims 2 glamour life stuff pack,global-software-publishing,24.99,aspyr media inc sims 2 glamour life stuff pack,riverdeep-learning-company,23.44,1
5,sims 2 glamour life stuff pack,adobe,24.99,passwords plus v. 1.0 complete package,nan,23.44,1
6,microsoft office frontpage 2003 academic version windows ),aspyr media,69.95,aspyr media inc sims 2 glamour life stuff pack,nan,23.44,1
7,sims 2 glamour life stuff pack,final draft,273.0,aspyr media inc sims 2 glamour life stuff pack,nan,23.44,1
8,sims 2 glamour life stuff pack,apple,24.99,aspyr media inc sims 2 glamour life stuff pack,nan,17.55,1
9,sims 2 glamour life stuff pack,aspyr media,24.99,palo alto business plan pro 2007,nan,23.44,1
