,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,global-software-publishing,2499.0,halo ( mac ),global-software-publishing,149.95,adobe photoshop elements 4.0 photo-editing software for mac,1
1,global-software-publishing,2499.0,halo ( mac ),global-software-publishing,400.34,steinberg wavelab studio 6 audio editing software educational discount music production software,1
2,global-software-publishing,2499.0,apple final cut studio 2 ( mac ),global-software-publishing,149.95,instant immers japanese dlx 2 .,1
3,sony-pictures-digital-entertainment,199.0,steinberg nuendo 3 digital audio software,global-software-publishing,385.99,steinberg wavelab studio 6 audio editing software educational discount music production software,1
4,global-software-publishing,2499.0,microsoft office frontpage 2003 academic version windows ),global-software-publishing,149.95,steinberg wavelab studio 6 audio editing software educational discount music production software,1
5,global-software-publishing,449.99,steinberg nuendo 3 digital audio software,global-software-publishing,149.95,. mac ( mac ) apple,1
6,global-software-publishing,2499.0,steinberg nuendo 3 digital audio software,global-software-publishing,149.95,. mac ( mac ) apple,1
7,global-software-publishing,2499.0,microsoft onenote 2007 upgrade,global-software-publishing,149.95,adobe contribute cs3 upgrade,1
8,global-software-publishing,2499.0,halo ( mac ),global-software-publishing,149.95,steinberg wavelab studio 6 audio editing software educational discount music production software,1
9,global-software-publishing,2499.0,steinberg nuendo 3 digital audio software,global-software-publishing,149.95,steinberg wavelab studio 6 audio editing software educational discount music production software,1
