,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,microsoft excel 2004 ( mac ),microsoft,229.99,3745 ser ios ent cd374-esk9 = ),cisco systems enterprise,539.95,"('rtable_title', 'rtable_manufacturer')","['microsoft ( r ) office ultimate 2007', nan]","['3745 ser ios ent cd374-esk9 = )', 'cisco systems enterprise']",1,0,0.40991694,0.590083,2
1,,microsoft excel 2004 ( mac ),microsoft,229.99,3745 ser ios ent cd374-esk9 = ),,2814.33,"('rtable_title', 'rtable_price')","['microsoft ( r ) office ultimate 2007', 539.95]","['3745 ser ios ent cd374-esk9 = )', 2814.33]",1,0,0.03376596,0.966234,2
3,,microsoft excel 2004 ( mac ),microsoft,229.99,ser ios ent cd374-esk9 = ),cisco systems enterprise,539.95,"('rtable_title', 'rtable_manufacturer')","['microsoft ( r ) office ultimate 2007', nan]","['ser ios ent cd374-esk9 = )', 'cisco systems enterprise']",1,0,0.17005874,0.8299413,2
4,,microsoft excel 2004 ( mac ),microsoft,229.99,ser ios ent cd374-esk9 = ),,2814.33,"('rtable_title', 'rtable_price')","['microsoft ( r ) office ultimate 2007', 539.95]","['ser ios ent cd374-esk9 = )', 2814.33]",1,0,0.25915018,0.74084985,2
13,,) office ultimate 2007,microsoft,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_price')","['microsoft excel 2004 ( mac )', 229.99]","[') office ultimate 2007', 539.95]",1,0,0.02309616,0.97690386,2
6,,( r ) office ultimate 2007,,229.99,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer')","['microsoft excel 2004 ( mac )', 'microsoft']","['( r ) office ultimate 2007', nan]",1,0,0.11873928,0.8812607,2
7,,( r ) office ultimate 2007,microsoft,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_price')","['microsoft excel 2004 ( mac )', 229.99]","['( r ) office ultimate 2007', 539.95]",1,0,0.019429484,0.9805705,2
15,,microsoft ( r ) office ultimate,microsoft,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_price')","['microsoft excel 2004 ( mac )', 229.99]","['microsoft ( r ) office ultimate', 539.95]",1,0,0.023170821,0.97682923,2
9,,r ) office ultimate 2007,,229.99,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer')","['microsoft excel 2004 ( mac )', 'microsoft']","['r ) office ultimate 2007', nan]",1,0,0.26376393,0.73623604,2
10,,r ) office ultimate 2007,microsoft,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_price')","['microsoft excel 2004 ( mac )', 229.99]","['r ) office ultimate 2007', 539.95]",1,0,0.02361936,0.9763806,2
12,,) office ultimate 2007,,229.99,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer')","['microsoft excel 2004 ( mac )', 'microsoft']","[') office ultimate 2007', nan]",1,0,0.2297224,0.7702776,2
14,,) office ultimate 2007,,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft excel 2004 ( mac )', 'microsoft', 229.99]","[') office ultimate 2007', nan, 539.95]",1,0,0.025785673,0.9742143,3
8,,( r ) office ultimate 2007,,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft excel 2004 ( mac )', 'microsoft', 229.99]","['( r ) office ultimate 2007', nan, 539.95]",1,0,0.026252395,0.9737476,3
5,,microsoft excel 2004 ( mac ),microsoft,229.99,ser ios ent cd374-esk9 = ),cisco systems enterprise,2814.33,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft ( r ) office ultimate 2007', nan, 539.95]","['ser ios ent cd374-esk9 = )', 'cisco systems enterprise', 2814.33]",1,0,0.03929985,0.96070015,3
2,,microsoft excel 2004 ( mac ),microsoft,229.99,3745 ser ios ent cd374-esk9 = ),cisco systems enterprise,2814.33,"('rtable_title', 'rtable_manufacturer', 'rtable_price')","['microsoft ( r ) office ultimate 2007', nan, 539.95]","['3745 ser ios ent cd374-esk9 = )', 'cisco systems enterprise', 2814.33]",1,0,0.019820312,0.98017967,3
11,,r ) office ultimate 2007,,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft excel 2004 ( mac )', 'microsoft', 229.99]","['r ) office ultimate 2007', nan, 539.95]",1,0,0.028887155,0.97111285,3
16,,microsoft ( r ) office ultimate,,539.95,microsoft ( r ) office ultimate 2007,,539.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['microsoft excel 2004 ( mac )', 'microsoft', 229.99]","['microsoft ( r ) office ultimate', nan, 539.95]",1,0,0.051298473,0.94870156,3
