,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,17.55,passwords plus v. 1.0 complete package,1
1,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,47.36,passwords plus v. 1.0 complete package,1
2,hewlett-packard - ( consumables ),29.99,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,28.5,passwords plus v. 1.0 complete package,1
3,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,400.34,passwords plus v. 1.0 complete package,1
4,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,808.15,passwords plus v. 1.0 complete package,1
5,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,89.99,passwords plus v. 1.0 complete package,1
6,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,1659.99,passwords plus v. 1.0 complete package,1
7,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,69.99,passwords plus v. 1.0 complete package,1
8,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,45.97,passwords plus v. 1.0 complete package,1
9,hewlett-packard - ( consumables ),630.36,hp dss software v. 4.0 complete package t1936aa ua0 ),nan,399.95,passwords plus v. 1.0 complete package,1
