,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Ryeday The 13th,Howe Sound Inn & Brewing Company,American Barleywine,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Beavers Imperial Red Ale', 'American Amber / Red Ale']","['Ryeday The 13th', 'American Barleywine']",0.33008876,0.6699112,2
24,Herrmann The Great,Kretschmann Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Beavers Imperial Red Ale', 'Howe Sound Inn & Brewing Company']","['Herrmann The Great', 'Kretschmann Brewing Company']",0.43551823,0.5644818,2
22,Scarlet Night,Howe Sound Inn & Brewing Company,American Amber / Red Ale,5.80 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Three Beavers Imperial Red Ale', '7.50 %']","['Scarlet Night', '5.80 %']",0.45233846,0.5476616,2
21,Scarlet Night,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Beavers Imperial Red Ale', 'American Amber / Red Ale']","['Scarlet Night', 'American Amber / Red Ale']",0.35888124,0.64111876,2
20,Scarlet Night,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name',)",['Three Beavers Imperial Red Ale'],['Scarlet Night'],0.35888124,0.64111876,2
18,Stoneyard Ripper 's Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,6.25 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Three Beavers Imperial Red Ale', '7.50 %']","[""Stoneyard Ripper 's Red Ale"", '6.25 %']",0.4898339,0.51016617,2
12,Finnegans Irish Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Beavers Imperial Red Ale', 'American Amber / Red Ale']","['Finnegans Irish Amber', 'American Amber / Red Ale']",0.30658582,0.6934142,2
11,Finnegans Irish Amber,Finnegans Inc. .,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Beavers Imperial Red Ale', 'Howe Sound Inn & Brewing Company']","['Finnegans Irish Amber', 'Finnegans Inc. .']",0.4181166,0.58188343,2
10,Finnegans Irish Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name',)",['Three Beavers Imperial Red Ale'],['Finnegans Irish Amber'],0.30658582,0.6934142,2
13,Finnegans Irish Amber,Howe Sound Inn & Brewing Company,American Amber / Red Ale,4.75 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_ABV')","['Three Beavers Imperial Red Ale', '7.50 %']","['Finnegans Irish Amber', '4.75 %']",0.34013954,0.65986043,2
8,Yakima River Red,Flycaster Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Beavers Imperial Red Ale', 'Howe Sound Inn & Brewing Company']","['Yakima River Red', 'Flycaster Brewing Company']",0.40325925,0.5967408,2
2,Gaddy 's Irish Red,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name',)",['Three Beavers Imperial Red Ale'],"[""Gaddy 's Irish Red""]",0.42020926,0.5797908,2
3,Gaddy 's Irish Red,Fifty West Brewing Co,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Three Beavers Imperial Red Ale', 'Howe Sound Inn & Brewing Company']","[""Gaddy 's Irish Red"", 'Fifty West Brewing Co']",0.28580457,0.71419543,2
4,Gaddy 's Irish Red,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Three Beavers Imperial Red Ale', 'American Amber / Red Ale']","[""Gaddy 's Irish Red"", 'American Amber / Red Ale']",0.42020926,0.5797908,2
25,Herrmann The Great,Kretschmann Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Three Beavers Imperial Red Ale', 'Howe Sound Inn & Brewing Company', 'American Amber / Red Ale']","['Herrmann The Great', 'Kretschmann Brewing Company', 'American Amber / Red Ale']",0.43551823,0.5644818,3
