,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,El Toro Black Raspberry Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Beer_Name',)",['Hop Around Imperial Red Ale'],['El Toro Black Raspberry Ale'],0.38276872,0.6172313,2
31,Doggie Claws,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Hop Around Imperial Red Ale', 'Big Bay Brewing Co. .']","['Doggie Claws', 'Hair of the Dog Brewing Company / Brewery and Tasting Room']",0.10575485,0.89424515,2
30,Hop Around Imperial Red Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Brew_Factory_Name',)",['Big Bay Brewing Co. .'],['Hair of the Dog Brewing Company / Brewery and Tasting Room'],0.24295242,0.7570476,2
38,Chalk Rock Amber,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Beer_Name',)",['Hop Around Imperial Red Ale'],['Chalk Rock Amber'],0.4540475,0.5459525,2
39,Chalk Rock Amber,Sunriver Brewing Company,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Hop Around Imperial Red Ale', 'Big Bay Brewing Co. .']","['Chalk Rock Amber', 'Sunriver Brewing Company']",0.22486001,0.7751399,2
25,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Elysian Men_s Room Summer Gold Ale,Kern River Brewing,American Strong Ale,5.60 %,"('rtable_Beer_Name', 'rtable_ABV')","['Kern River Dirty Hippie Imperial Red Ale', '8 %']","['Elysian Men_s Room Summer Gold Ale', '5.60 %']",0.4117302,0.58826977,2
24,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Elysian Men_s Room Summer Gold Ale,Kern River Brewing,American Pale Ale,8 %,"('rtable_Beer_Name', 'rtable_Style')","['Kern River Dirty Hippie Imperial Red Ale', 'American Strong Ale']","['Elysian Men_s Room Summer Gold Ale', 'American Pale Ale']",0.42293334,0.57706666,2
23,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Elysian Men_s Room Summer Gold Ale,Elysian Brewing &#40; AB-InBev &#41;,American Strong Ale,8 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Kern River Dirty Hippie Imperial Red Ale', 'Kern River Brewing']","['Elysian Men_s Room Summer Gold Ale', 'Elysian Brewing &#40; AB-InBev &#41;']",0.32707903,0.672921,2
22,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Elysian Men_s Room Summer Gold Ale,Kern River Brewing,American Strong Ale,8 %,"('rtable_Beer_Name',)",['Kern River Dirty Hippie Imperial Red Ale'],['Elysian Men_s Room Summer Gold Ale'],0.41129044,0.58870953,2
40,Chalk Rock Amber,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Kern River Dirty Hippie Imperial Red Ale,Kern River Brewing,American Strong Ale,8 %,"('ltable_Beer_Name', 'ltable_Style')","['Hop Around Imperial Red Ale', 'American Amber / Red Ale']","['Chalk Rock Amber', 'American Amber / Red Ale']",0.4540475,0.5459525,2
