,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Barleywine,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Imperial IPA,5.50 %,1
1,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,12.00 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,1
2,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,10.30 %,1
3,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Heist American Style Red Ale,Sick N Twisted Brewing Company,Amber Ale,5 %,1
4,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,5.70 %,Big Bear Lake Sidewinder Red Ale,Sick N Twisted Brewing Company,Amber Ale,5.50 %,1
5,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,6.10 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,American Strong Ale,5.50 %,0
6,Twisted Stick Amber Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Amber Ale,8.79 %,1
7,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,4.00 %,Sick N Twisted Pleasure Victim Amber Ale,Sick N Twisted Brewing Company,Specialty Grain,5.50 %,0
8,Twisted Stick Amber Ale,Tarraco Beer,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Lavery Brewing Company,Amber Ale,5.50 %,0
9,Twisted Stick Amber Ale,Portneuf Valley Brewing,American Amber / Red Ale,-,Sick N Twisted Pleasure Victim Amber Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,5.50 %,1
