,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.30 %,Sanibel Red Island Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Marble Brewery,Barley Wine,0
1,5.80 %,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Figure Eight Brewing,Barley Wine,0
2,8.70 %,Sanibel Red Island Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Marble Brewery,Barley Wine,0
3,5.80 %,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.60 %,Bainbridge Island Arrow Point Amber,Figure Eight Brewing,Barley Wine,0
4,5.30 %,Sanibel Red Island Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Marble Brewery,Barley Wine,1
5,8.70 %,Arrow Point Amber,21st Amendment Brewery,American Amber / Red Ale,-,Legends of the Bay Giant_s Tomb,Thorn Street Brewery,Barley Wine,1
6,6.90 %,Bushfire American Red,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Thomas Hooker Old Marley Barleywine,Sawdust City Brewing Company,Barley Wine,1
7,6.90 %,Bushfire American Red,Oskar Blues Grill & Brew,American Amber / Red Ale,-,Thomas Hooker Old Marley Barleywine,Sawdust City Brewing Company,Imperial IPA,1
8,5.80 %,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.60 %,Bainbridge Island Arrow Point Amber,Figure Eight Brewing,Irish Ale,0
9,6.90 %,Bushfire American Red,Big Bay Brewing Co. .,American Amber / Red Ale,-,Thomas Hooker Old Marley Barleywine,Sawdust City Brewing Company,Imperial IPA,1
