,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,BÃ © ily_s Foxtail Red,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name',)",['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;'],['BÃ © ily_s Foxtail Red'],0.4799146056175232,0.5200853943824768,2
257,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Swamp Head Part-Time Lubber,Swamp Head Brewery,Irish Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company']","['Swamp Head Part-Time Lubber', 'Swamp Head Brewery']",0.4293421506881714,0.5706578493118286,2
256,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Swamp Head Part-Time Lubber,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name',)",['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;'],['Swamp Head Part-Time Lubber'],0.422324538230896,0.577675461769104,2
251,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Baguales Rubia,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['Baguales Rubia', '-']",0.24307358264923096,0.756926417350769,2
250,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Baguales Rubia,Alley Kat Brewing Company,India Pale Ale &#40; IPA &#41;,-,"('rtable_Beer_Name', 'rtable_Style')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Irish Ale']","['Baguales Rubia', 'India Pale Ale &#40; IPA &#41;']",0.32004308700561523,0.6799569129943848,2
249,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Baguales Rubia,Baguales,Irish Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company']","['Baguales Rubia', 'Baguales']",0.18607991933822632,0.8139200806617737,2
248,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Baguales Rubia,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name',)",['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;'],['Baguales Rubia'],0.24307358264923096,0.756926417350769,2
258,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Swamp Head Part-Time Lubber,Alley Kat Brewing Company,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Irish Ale']","['Swamp Head Part-Time Lubber', 'Amber Ale']",0.44409602880477905,0.555903971195221,2
243,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Coaticook La Maplehurst,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['Coaticook La Maplehurst', '-']",0.36713820695877075,0.6328617930412292,2
241,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Coaticook La Maplehurst,Microbrasserie Coaticook,Irish Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company']","['Coaticook La Maplehurst', 'Microbrasserie Coaticook']",0.3267871141433716,0.6732128858566284,2
240,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Coaticook La Maplehurst,Alley Kat Brewing Company,Irish Ale,-,"('rtable_Beer_Name',)",['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;'],['Coaticook La Maplehurst'],0.3696548342704773,0.6303451657295227,2
236,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Primal Lucille Red Ale,Alley Kat Brewing Company,Irish Ale,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['Primal Lucille Red Ale', '5.50 %']",0.4566839337348938,0.5433160662651062,2
485,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Bruuveri Coral Reef Pretty Baby,Panimoravintola Bruuveri,Irish Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', 'Alley Kat Brewing Company']","['Bruuveri Coral Reef Pretty Baby', 'Panimoravintola Bruuveri']",0.4363730549812317,0.5636269450187683,2
232,Rocky Point Red Ale,Revival Brewing Co. .,American Amber / Red Ale,5.50 %,Glasstown Fortescue Fisherman_s Ale,Alley Kat Brewing Company,Irish Ale,4.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;', '-']","['Glasstown Fortescue Fisherman_s Ale', '4.50 %']",0.2735595107078552,0.7264404892921448,2
