,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,4.50 %,Real McCoy Amber Ale,Revival Brewing Co. .,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
1,4.50 %,Jazz Beer Tarraco Amber,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
2,4.50 %,Tongue Buckler - Imperial Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
3,4.50 %,Real McCoy Amber Ale,Big Bay Brewing Co. .,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
4,4.50 %,Big Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
5,4.50 %,Red Racer India Style Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
6,4.50 %,Three Sheets Barleywine ( Syrah Barrel Aged ),Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
7,4.50 %,Green Flash Hop Head Red Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,0
8,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Thorn Street Smugglers Cove Agave Amber Ale,Mammoth Brewing Company,Altbier,0
9,4.50 %,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Mammoth Brewing Company,Altbier,0
