,label,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,Rocket City Red,Kuhnhenn Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Kuhnhenn Brewing Company'],1,0,0.12125839,0.8787416,2
130,,Tenaya Creek Red Ryder,Tenaya Creek Brewery,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Tenaya Creek Red Ryder', 'Tenaya Creek Brewery']",1,0,0.09439281,0.9056072,2
131,,Rocket City Red,Tenaya Creek Brewery,American Amber / Red Ale,6.20 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Tenaya Creek Brewery', '6.20 %']",1,0,0.27425978,0.72574025,2
133,,Rocket City Red,Elysian Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Elysian Brewing Company'],1,0,0.48600915,0.5139909,2
134,,Cyclops Barleywine,Elysian Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Cyclops Barleywine', 'Elysian Brewing Company']",1,0,0.21192461,0.7880753,2
135,,Rocket City Red,Elysian Brewing Company,American Amber / Red Ale,9.85 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Elysian Brewing Company', '9.85 %']",1,0,0.4889875,0.5110125,2
139,,Fisherman 's Tea Party,Cape Ann Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","[""Fisherman 's Tea Party"", 'Cape Ann Brewing Company']",1,0,0.4023703,0.5976296,2
141,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['21st Amendment Poor Richards Ale'],1,0,0.34262663,0.6573734,2
142,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,21st Amendment Brewery,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company']","['21st Amendment Poor Richards Ale', '21st Amendment Brewery']",1,0,0.114846684,0.88515335,2
143,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Sawdust City Red Rocket Coffee Spiced Stout', '5.20 %']","['21st Amendment Poor Richards Ale', '7 %']",1,0,0.2985169,0.70148313,2
148,,Widdershins,Left Hand Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Widdershins', 'Left Hand Brewing Company']",1,0,0.32624683,0.67375314,2
152,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Red Giant,21st Amendment Brewery,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company']","['21st Amendment Red Giant', '21st Amendment Brewery']",1,0,0.3378345,0.6621655,2
154,,Fish Tale Leviathan Barleywine,Straight To Ale,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name',)",['Rocket City Red'],['Fish Tale Leviathan Barleywine'],1,0,0.4360777,0.5639222,2
155,,Rocket City Red,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Fish Brewing Company / Fishbowl Brewpub'],1,0,0.4102029,0.58979714,2
156,,Fish Tale Leviathan Barleywine,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Fish Tale Leviathan Barleywine', 'Fish Brewing Company / Fishbowl Brewpub']",1,0,0.22265811,0.7773419,2
157,,Fish Tale Leviathan Barleywine,Straight To Ale,American Barleywine,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Style')","['Rocket City Red', 'American Amber / Red Ale']","['Fish Tale Leviathan Barleywine', 'American Barleywine']",1,0,0.2865008,0.7134991,2
129,,Rocket City Red,Tenaya Creek Brewery,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Tenaya Creek Brewery'],1,0,0.24309048,0.75690955,2
125,,Cockeyed Cooper,Uinta Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Cockeyed Cooper', 'Uinta Brewing Company']",1,0,0.32204247,0.67795753,2
115,,Rocket City Red,Kuhnhenn Brewing Company,American Amber / Red Ale,11.50 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Kuhnhenn Brewing Company', '11.50 %']",1,0,0.14670353,0.8532965,2
114,,Rocket City Red,Kuhnhenn Brewing Company,American Barleywine,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Straight To Ale', 'American Amber / Red Ale']","['Kuhnhenn Brewing Company', 'American Barleywine']",1,0,0.2681223,0.7318777,2
87,,Rocket City Red,Alley Kat Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Alley Kat Brewing Company'],1,0,0.38472557,0.6152744,2
88,,Olde Deuteronomy,Alley Kat Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Olde Deuteronomy', 'Alley Kat Brewing Company']",1,0,0.37523282,0.6247671,2
89,,Rocket City Red,Alley Kat Brewing Company,American Barleywine,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Straight To Ale', 'American Amber / Red Ale']","['Alley Kat Brewing Company', 'American Barleywine']",1,0,0.49080032,0.5091997,2
90,,Rocket City Red,Alley Kat Brewing Company,American Amber / Red Ale,11.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Alley Kat Brewing Company', '11.00 %']",1,0,0.40442473,0.59557533,2
94,,Rocket City Red,Parish Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Parish Brewing Company'],1,0,0.46949103,0.53050894,2
95,,Rocket City Red,Lagunitas Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Lagunitas Brewing Company'],1,0,0.497234,0.50276595,2
97,,Blue Point Old Howling Bastard,Blue Point Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Blue Point Old Howling Bastard', 'Blue Point Brewing Company']",1,0,0.16145967,0.8385403,2
158,,Rocket City Red,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,10.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Fish Brewing Company / Fishbowl Brewpub', '10.00 %']",1,0,0.48585954,0.5141404,2
101,,Rocket City Red,Greenport Harbor Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Greenport Harbor Brewing Company'],1,0,0.2143373,0.7856627,2
103,,Rocket City Red,Greenport Harbor Brewing Company,American Barleywine,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Straight To Ale', 'American Amber / Red Ale']","['Greenport Harbor Brewing Company', 'American Barleywine']",1,0,0.40543786,0.5945622,2
104,,Rocket City Red,Greenport Harbor Brewing Company,American Amber / Red Ale,9.50 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Greenport Harbor Brewing Company', '9.50 %']",1,0,0.20279789,0.7972021,2
106,,Rocket City Red,Union Craft Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Union Craft Brewing Company'],1,0,0.3910212,0.60897887,2
107,,Chessie Barleywine,Union Craft Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Chessie Barleywine', 'Union Craft Brewing Company']",1,0,0.11161669,0.88838327,2
108,,Rocket City Red,Union Craft Brewing Company,American Amber / Red Ale,9.80 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['Union Craft Brewing Company', '9.80 %']",1,0,0.40697446,0.59302557,2
112,,Rocket City Red,Kuhnhenn Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name',)",['Straight To Ale'],['Kuhnhenn Brewing Company'],1,0,0.12125839,0.8787416,2
113,,Kuhnhenn American Barley Wine,Kuhnhenn Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Kuhnhenn American Barley Wine', 'Kuhnhenn Brewing Company']",1,0,0.37836173,0.62163824,2
102,,Triton,Greenport Harbor Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['Triton', 'Greenport Harbor Brewing Company']",1,0,0.32515478,0.6748453,2
163,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['21st Amendment Poor Richards Ale'],1,0,0.34262663,0.6573734,2
164,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,21st Amendment Brewery,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company']","['21st Amendment Poor Richards Ale', '21st Amendment Brewery']",1,0,0.114846684,0.88515335,2
165,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,21st Amendment Poor Richards Ale,Sawdust City Brewing Company,Spice/Herb/Vegetable,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Sawdust City Red Rocket Coffee Spiced Stout', '5.20 %']","['21st Amendment Poor Richards Ale', '7 %']",1,0,0.2985169,0.70148313,2
208,,CucapÃ ¡ Barleywine,CucapÃ ¡ Brewing Company,American Amber / Red Ale,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Rocket City Red', 'Straight To Ale']","['CucapÃ ¡ Barleywine', 'CucapÃ ¡ Brewing Company']",1,0,0.21866412,0.7813359,2
209,,Rocket City Red,CucapÃ ¡ Brewing Company,American Barleywine,5.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Straight To Ale', 'American Amber / Red Ale']","['CucapÃ ¡ Brewing Company', 'American Barleywine']",1,0,0.4412043,0.55879563,2
210,,Rocket City Red,CucapÃ ¡ Brewing Company,American Amber / Red Ale,10.00 %,Sawdust City Red Rocket Coffee Spiced Stout,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Straight To Ale', '5.00 %']","['CucapÃ ¡ Brewing Company', '10.00 %']",1,0,0.21641642,0.7835835,2
215,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Sawdust City Brewing Company,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name',)",['Sawdust City Red Rocket Coffee Spiced Stout'],['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber'],1,0,0.41747847,0.5825215,2
216,,Rocket City Red,Straight To Ale,American Amber / Red Ale,5.00 %,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,Apeldoornse Bierbrouwerij De Vlijt,Spice/Herb/Vegetable,5.20 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Sawdust City Red Rocket Coffee Spiced Stout', 'Sawdust City Brewing Company']","['Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber', 'Apeldoornse Bierbrouwerij De Vlijt']",1,0,0.07133663,0.9286634,2
