,label,latency,match,prediction,row,summary,type
0,0.0,644.7687364899903,0.0,[0.99160516 0.00839487],1219-2470,"ltable_ABV          0.0
ltable_Style        0.0
ltable_Beer_Name    0.0
dtype: float64",certa
1,0.0,1909.4987580039888,0.0,[0.9927441  0.00725596],492-1635,"ltable_Beer_Name/ltable_Brew_Factory_Name    0.666667
dtype: float64",certa
2,1.0,1210.0553933099727,1.0,[0.05400956 0.94599044],3917-2224,"ltable_Style    0.48
dtype: float64",certa
3,0.0,1881.8635650569922,0.0,[0.9921327  0.00786724],2155-2948,"rtable_ABV          0.0
rtable_Style        0.0
rtable_Beer_Name    0.0
dtype: float64",certa
4,1.0,1232.1904045650153,1.0,[0.14883298 0.8511671 ],271-1410,"ltable_Style    0.54
dtype: float64",certa
5,0.0,1128.268940627051,0.0,[0.99189293 0.00810706],3309-716,"rtable_Beer_Name/rtable_Brew_Factory_Name/rtable_ABV    0.02
dtype: float64",certa
6,0.0,1822.3281819940312,0.0,[0.9823591  0.01764093],1024-37,"ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV    0.4
dtype: float64",certa
7,1.0,2013.149382811971,0.0,[0.7744108 0.2255892],1780-685,"ltable_Brew_Factory_Name/ltable_ABV    0.75
dtype: float64",certa
8,0.0,3815.9842208999908,0.0,[0.9875916  0.01240838],1479-1563,"ltable_Beer_Name/ltable_Brew_Factory_Name    0.441176
dtype: float64",certa
9,0.0,1892.0643612099811,0.0,[0.9927263  0.00727372],2026-1679,"Series([], dtype: float64)",certa
10,0.0,1906.1472834260203,0.0,[0.992331   0.00766898],2155-1261,"rtable_ABV          0.0
rtable_Style        0.0
rtable_Beer_Name    0.0
dtype: float64",certa
11,0.0,1910.6434663069667,0.0,[0.99228644 0.00771357],525-433,"ltable_Beer_Name/ltable_Brew_Factory_Name    0.571429
dtype: float64",certa
12,0.0,1917.4371439290117,0.0,[0.99268734 0.00731262],3-641,"Series([], dtype: float64)",certa
13,0.0,1271.9706134040025,1.0,[0.06922163 0.9307783 ],4068-2374,"ltable_Style    0.79
dtype: float64",certa
14,0.0,938.791882813035,0.0,[0.98285884 0.01714116],4203-2425,"ltable_Beer_Name/ltable_Brew_Factory_Name/ltable_ABV    0.375
dtype: float64",certa
