,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"carl medsker , margaret christensen , il-yeol song",international conference on management of data,2000,"('rtable_title', 'rtable_authors')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao']","['a comparison of three user interfaces to relational microcomputer data bases', 'carl medsker , margaret christensen , il-yeol song']",0.14118466,0.8588154,2
1,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",acm sigmod record,2000,"('rtable_title', 'rtable_venue')","['disima : a distributed and interoperable image database system', 'international conference on management of data']","['a comparison of three user interfaces to relational microcomputer data bases', 'acm sigmod record']",0.14147234,0.8585276,2
2,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,disima : a distributed and interoperable image database system,"carl medsker , margaret christensen , il-yeol song",acm sigmod record,2000,"('rtable_authors', 'rtable_venue')","['vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data']","['carl medsker , margaret christensen , il-yeol song', 'acm sigmod record']",0.18872654,0.81127346,2
10,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,towards a richer web object model,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",acm sigmod record,2000,"('rtable_title', 'rtable_venue')","['disima : a distributed and interoperable image database system', 'international conference on management of data']","['towards a richer web object model', 'acm sigmod record']",0.011791626,0.98820835,2
12,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,disima : a distributed and interoperable image database system,"arnon rosenthal , edward sciore",acm sigmod record,2000,"('rtable_authors', 'rtable_venue')","['vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data']","['arnon rosenthal , edward sciore', 'acm sigmod record']",0.14541453,0.8545855,2
3,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"carl medsker , margaret christensen , il-yeol song",acm sigmod record,2000,"('rtable_title', 'rtable_authors', 'rtable_venue')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data']","['a comparison of three user interfaces to relational microcomputer data bases', 'carl medsker , margaret christensen , il-yeol song', 'acm sigmod record']",0.0023373365,0.99766266,3
4,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"carl medsker , margaret christensen , il-yeol song",international conference on management of data,1995,"('rtable_title', 'rtable_authors', 'rtable_year')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 2000]","['a comparison of three user interfaces to relational microcomputer data bases', 'carl medsker , margaret christensen , il-yeol song', 1995]",0.2289748,0.77102524,3
5,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",acm sigmod record,1995,"('rtable_title', 'rtable_venue', 'rtable_year')","['disima : a distributed and interoperable image database system', 'international conference on management of data', 2000]","['a comparison of three user interfaces to relational microcomputer data bases', 'acm sigmod record', 1995]",0.15658963,0.8434103,3
6,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,disima : a distributed and interoperable image database system,"carl medsker , margaret christensen , il-yeol song",acm sigmod record,1995,"('rtable_authors', 'rtable_venue', 'rtable_year')","['vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data', 2000]","['carl medsker , margaret christensen , il-yeol song', 'acm sigmod record', 1995]",0.18921183,0.81078815,3
8,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,design and user testing of a multi-paradigm query interface to an object-oriented database,"dac khoa doan , norman w. paton , alistair kilgour",acm sigmod record,2000,"('rtable_title', 'rtable_authors', 'rtable_venue')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data']","['design and user testing of a multi-paradigm query interface to an object-oriented database', 'dac khoa doan , norman w. paton , alistair kilgour', 'acm sigmod record']",0.028458318,0.9715417,3
11,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,towards a richer web object model,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",acm sigmod record,1998,"('rtable_title', 'rtable_venue', 'rtable_year')","['disima : a distributed and interoperable image database system', 'international conference on management of data', 2000]","['towards a richer web object model', 'acm sigmod record', 1998]",0.011655966,0.9883441,3
13,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,disima : a distributed and interoperable image database system,"arnon rosenthal , edward sciore",acm sigmod record,1999,"('rtable_authors', 'rtable_venue', 'rtable_year')","['vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data', 2000]","['arnon rosenthal , edward sciore', 'acm sigmod record', 1999]",0.14525406,0.8547459,3
7,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,a comparison of three user interfaces to relational microcomputer data bases,"carl medsker , margaret christensen , il-yeol song",acm sigmod record,1995,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data', 2000]","['a comparison of three user interfaces to relational microcomputer data bases', 'carl medsker , margaret christensen , il-yeol song', 'acm sigmod record', 1995]",0.0022820344,0.997718,4
9,deeds towards a distributed and active real-time database system,"joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson",sigmod record,1996,design and user testing of a multi-paradigm query interface to an object-oriented database,"dac khoa doan , norman w. paton , alistair kilgour",acm sigmod record,1995,"('rtable_title', 'rtable_authors', 'rtable_venue', 'rtable_year')","['disima : a distributed and interoperable image database system', 'vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao', 'international conference on management of data', 2000]","['design and user testing of a multi-paradigm query interface to an object-oriented database', 'dac khoa doan , norman w. paton , alistair kilgour', 'acm sigmod record', 1995]",0.026380314,0.9736197,4
