,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,towards a richer web object model,"wen-syan li , chris clifton",very large data bases,1994,"('rtable_title',)",['semantic integration in heterogeneous databases using neural networks'],['towards a richer web object model'],0.47197148,0.52802855,2
88,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"jihad boulos , kinji ono",very large data bases,1999,"('rtable_authors', 'rtable_year')","['wen-syan li , chris clifton', 1994]","['jihad boulos , kinji ono', 1999]",0.22612475,0.77387524,2
87,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"jihad boulos , kinji ono",acm sigmod record,1994,"('rtable_authors', 'rtable_venue')","['wen-syan li , chris clifton', 'very large data bases']","['jihad boulos , kinji ono', 'acm sigmod record']",0.029318579,0.97068137,2
86,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,cost estimation of user-defined methods in object-relational database systems,"wen-syan li , chris clifton",very large data bases,1999,"('rtable_title', 'rtable_year')","['semantic integration in heterogeneous databases using neural networks', 1994]","['cost estimation of user-defined methods in object-relational database systems', 1999]",0.023209376,0.97679067,2
85,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,cost estimation of user-defined methods in object-relational database systems,"wen-syan li , chris clifton",acm sigmod record,1994,"('rtable_title', 'rtable_venue')","['semantic integration in heterogeneous databases using neural networks', 'very large data bases']","['cost estimation of user-defined methods in object-relational database systems', 'acm sigmod record']",0.005369702,0.9946302,2
84,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,cost estimation of user-defined methods in object-relational database systems,"jihad boulos , kinji ono",very large data bases,1994,"('rtable_title', 'rtable_authors')","['semantic integration in heterogeneous databases using neural networks', 'wen-syan li , chris clifton']","['cost estimation of user-defined methods in object-relational database systems', 'jihad boulos , kinji ono']",0.028770447,0.97122955,2
83,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",very large data bases,1999,"('rtable_year',)",[1994],[1999],0.05071599,0.94928396,2
82,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",acm sigmod record,1994,"('rtable_venue',)",['very large data bases'],['acm sigmod record'],0.006180799,0.9938192,2
81,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"jihad boulos , kinji ono",very large data bases,1994,"('rtable_authors',)","['wen-syan li , chris clifton']","['jihad boulos , kinji ono']",0.21015681,0.7898432,2
80,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,cost estimation of user-defined methods in object-relational database systems,"wen-syan li , chris clifton",very large data bases,1994,"('rtable_title',)",['semantic integration in heterogeneous databases using neural networks'],['cost estimation of user-defined methods in object-relational database systems'],0.030194337,0.9698057,2
74,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",international conference on management of data,1999,"('rtable_venue', 'rtable_year')","['very large data bases', 1994]","['international conference on management of data', 1999]",0.21669354,0.7833065,2
73,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"swarup acharya , viswanath poosala , sridhar ramaswamy",very large data bases,1999,"('rtable_authors', 'rtable_year')","['wen-syan li , chris clifton', 1994]","['swarup acharya , viswanath poosala , sridhar ramaswamy', 1999]",0.0033375304,0.9966625,2
72,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"swarup acharya , viswanath poosala , sridhar ramaswamy",international conference on management of data,1994,"('rtable_authors', 'rtable_venue')","['wen-syan li , chris clifton', 'very large data bases']","['swarup acharya , viswanath poosala , sridhar ramaswamy', 'international conference on management of data']",0.03605937,0.96394056,2
71,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,selectivity estimation in spatial databases,"wen-syan li , chris clifton",very large data bases,1999,"('rtable_title', 'rtable_year')","['semantic integration in heterogeneous databases using neural networks', 1994]","['selectivity estimation in spatial databases', 1999]",0.0830706,0.91692936,2
70,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,selectivity estimation in spatial databases,"wen-syan li , chris clifton",international conference on management of data,1994,"('rtable_title', 'rtable_venue')","['semantic integration in heterogeneous databases using neural networks', 'very large data bases']","['selectivity estimation in spatial databases', 'international conference on management of data']",0.16468464,0.8353154,2
69,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,selectivity estimation in spatial databases,"swarup acharya , viswanath poosala , sridhar ramaswamy",very large data bases,1994,"('rtable_title', 'rtable_authors')","['semantic integration in heterogeneous databases using neural networks', 'wen-syan li , chris clifton']","['selectivity estimation in spatial databases', 'swarup acharya , viswanath poosala , sridhar ramaswamy']",0.002667279,0.9973327,2
68,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",very large data bases,1999,"('rtable_year',)",[1994],[1999],0.05071599,0.94928396,2
67,selectivity estimation in extensible databases - a neural network approach,"shaoyu zhou , m. seetha lakshmi",vldb,1998,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",international conference on management of data,1994,"('rtable_venue',)",['very large data bases'],['international conference on management of data'],0.22181436,0.77818567,2
