,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",the piazza peer data management project,acm sigmod record,2000.0,0
1,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork","lh * - a scalable , distributed data structure",acm sigmod record,1995.0,0
2,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",outlier detection for high dimensional data,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",the piazza peer data management project,international conference on management of data,2003.0,0
3,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,vldb j.,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",cluster validity methods : part i,acm sigmod record,2003.0,0
4,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",the piazza peer data management project,acm transactions on database systems ( tods ),1998.0,0
5,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",binding propagation in disjunctive databases,vldb j.,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",the piazza peer data management project,acm sigmod record,2003.0,0
6,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",xquery : a query language for xml,sigmod record,2003.0,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the piazza peer data management project,acm sigmod record,2003.0,0
7,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,1999.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",the piazza peer data management project,acm sigmod record,1994.0,0
8,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",automated selection of materialized views and indexes in sql databases,acm sigmod record,2003.0,0
9,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",the piazza peer data management project,sigmod record,2003.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork","lh * - a scalable , distributed data structure",acm sigmod record,1996.0,0
