,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,approximate join processing over data streams,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title',)",['sql/xml is making good progress'],['approximate join processing over data streams'],0.9102701097726822,0.08972989022731781,2
547,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod conference,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_venue', 'ltable_year')","['sigmod record', 2002]","['sigmod conference', 1999]",0.9497646689414978,0.0502353310585022,2
1004,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,1995,"('rtable_venue', 'rtable_year')","['acm sigmod record', 2002]","['acm sigmod record', 1995]",0.9581190831959248,0.04188091680407524,2
1003,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"shan-hoi ng , sheung-lun hung",acm sigmod record,1995,"('rtable_authors', 'rtable_year')","['andrew eisenberg , jim melton', 2002]","['shan-hoi ng , sheung-lun hung', 1995]",0.9505442604422569,0.04945573955774307,2
1002,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"shan-hoi ng , sheung-lun hung",acm sigmod record,2002,"('rtable_authors', 'rtable_venue')","['andrew eisenberg , jim melton', 'acm sigmod record']","['shan-hoi ng , sheung-lun hung', 'acm sigmod record']",0.6413741111755371,0.3586258888244629,2
1001,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,multigranularity locking in multiple job classes transaction processing system,"andrew eisenberg , jim melton",acm sigmod record,1995,"('rtable_title', 'rtable_year')","['sql/xml is making good progress', 2002]","['multigranularity locking in multiple job classes transaction processing system', 1995]",0.9532615803182125,0.04673841968178749,2
553,free parallel data mining,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title',)",['sql/xml is making good progress'],['free parallel data mining'],0.8644514381885529,0.13554856181144714,2
554,sql/xml is making good progress,"bin li , dennis shasha",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors',)","['andrew eisenberg , jim melton']","['bin li , dennis shasha']",0.6827399134635925,0.31726008653640747,2
555,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,1998,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_year',)",[2002],[1998],0.9557986930012703,0.044201306998729706,2
556,free parallel data mining,"bin li , dennis shasha",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['free parallel data mining', 'bin li , dennis shasha']",0.9460588321089745,0.05394116789102554,2
557,free parallel data mining,"andrew eisenberg , jim melton",sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_venue')","['sql/xml is making good progress', 'sigmod record']","['free parallel data mining', 'sigmod conference']",0.9494788646697998,0.050521135330200195,2
558,free parallel data mining,"andrew eisenberg , jim melton",sigmod record,1998,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_year')","['sql/xml is making good progress', 2002]","['free parallel data mining', 1998]",0.9506604336202145,0.04933956637978554,2
559,sql/xml is making good progress,"bin li , dennis shasha",sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_venue')","['andrew eisenberg , jim melton', 'sigmod record']","['bin li , dennis shasha', 'sigmod conference']",0.9485596604645252,0.05144033953547478,2
560,sql/xml is making good progress,"bin li , dennis shasha",sigmod record,1998,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_year')","['andrew eisenberg , jim melton', 2002]","['bin li , dennis shasha', 1998]",0.9501706808805466,0.04982931911945343,2
561,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod conference,1998,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_venue', 'ltable_year')","['sigmod record', 2002]","['sigmod conference', 1998]",0.9520095363259315,0.04799046367406845,2
1000,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,multigranularity locking in multiple job classes transaction processing system,"andrew eisenberg , jim melton",acm sigmod record,2002,"('rtable_title', 'rtable_venue')","['sql/xml is making good progress', 'acm sigmod record']","['multigranularity locking in multiple job classes transaction processing system', 'acm sigmod record']",0.8041003942489624,0.1958996057510376,2
999,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,multigranularity locking in multiple job classes transaction processing system,"shan-hoi ng , sheung-lun hung",acm sigmod record,2002,"('rtable_title', 'rtable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['multigranularity locking in multiple job classes transaction processing system', 'shan-hoi ng , sheung-lun hung']",0.9464374631643295,0.05356253683567047,2
998,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,1995,"('rtable_year',)",[2002],[1995],0.9581190720200539,0.041880927979946136,2
997,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"shan-hoi ng , sheung-lun hung",acm sigmod record,2002,"('rtable_authors',)","['andrew eisenberg , jim melton']","['shan-hoi ng , sheung-lun hung']",0.64137402176857,0.35862597823143005,2
996,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,multigranularity locking in multiple job classes transaction processing system,"andrew eisenberg , jim melton",acm sigmod record,2002,"('rtable_title',)",['sql/xml is making good progress'],['multigranularity locking in multiple job classes transaction processing system'],0.8685593158006668,0.1314406841993332,2
567,snakes and sandwiches : optimal clustering strategies for a data warehouse,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title',)",['sql/xml is making good progress'],['snakes and sandwiches : optimal clustering strategies for a data warehouse'],0.8957479894161224,0.10425201058387756,2
568,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_year',)",[2002],[1999],0.9539220817387104,0.0460779182612896,2
546,sql/xml is making good progress,"david b. lomet , roger s. barga",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_year')","['andrew eisenberg , jim melton', 2002]","['david b. lomet , roger s. barga', 1999]",0.9501422643661499,0.0498577356338501,2
569,snakes and sandwiches : optimal clustering strategies for a data warehouse,"laks v. s. lakshmanan , divesh srivastava , h. v. jagadish",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['snakes and sandwiches : optimal clustering strategies for a data warehouse', 'laks v. s. lakshmanan , divesh srivastava , h. v. jagadish']",0.9474235512316227,0.052576448768377304,2
545,sql/xml is making good progress,"david b. lomet , roger s. barga",sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_venue')","['andrew eisenberg , jim melton', 'sigmod record']","['david b. lomet , roger s. barga', 'sigmod conference']",0.9461981244385242,0.053801875561475754,2
543,phoenix : making applications robust,"andrew eisenberg , jim melton",sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_venue')","['sql/xml is making good progress', 'sigmod record']","['phoenix : making applications robust', 'sigmod conference']",0.9524302147328854,0.04756978526711464,2
519,sql/xml is making good progress,"john g. hughes , david a. bell , sarabjot s. anand",sigmod record,1994,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_year')","['andrew eisenberg , jim melton', 2002]","['john g. hughes , david a. bell , sarabjot s. anand', 1994]",0.9505648910999298,0.04943510890007019,2
520,sql/xml is making good progress,"andrew eisenberg , jim melton",vldb,1994,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_venue', 'ltable_year')","['sigmod record', 2002]","['vldb', 1994]",0.9515156075358391,0.04848439246416092,2
1016,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,surajit chaudhuri,international conference on management of data,2002,"('rtable_authors', 'rtable_venue')","['andrew eisenberg , jim melton', 'acm sigmod record']","['surajit chaudhuri', 'international conference on management of data']",0.8644499033689499,0.1355500966310501,2
1015,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,query optimization at the crossroads,"andrew eisenberg , jim melton",acm sigmod record,1997,"('rtable_title', 'rtable_year')","['sql/xml is making good progress', 2002]","['query optimization at the crossroads', 1997]",0.9512690976262093,0.04873090237379074,2
1014,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,query optimization at the crossroads,"andrew eisenberg , jim melton",international conference on management of data,2002,"('rtable_title', 'rtable_venue')","['sql/xml is making good progress', 'acm sigmod record']","['query optimization at the crossroads', 'international conference on management of data']",0.926079086959362,0.07392091304063797,2
1013,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,query optimization at the crossroads,surajit chaudhuri,acm sigmod record,2002,"('rtable_title', 'rtable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['query optimization at the crossroads', 'surajit chaudhuri']",0.9486684650182724,0.0513315349817276,2
1012,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,1997,"('rtable_year',)",[2002],[1997],0.9554349780082703,0.044565021991729736,2
526,microsoft site server ( commerce edition ),"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title',)",['sql/xml is making good progress'],['microsoft site server ( commerce edition )'],0.8364510387182236,0.16354896128177643,2
527,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_year',)",[2002],[1999],0.9543756134808064,0.04562438651919365,2
528,microsoft site server ( commerce edition ),bassel ojjeh,sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['microsoft site server ( commerce edition )', 'bassel ojjeh']",0.9492220133543015,0.05077798664569855,2
529,microsoft site server ( commerce edition ),"andrew eisenberg , jim melton",sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_venue')","['sql/xml is making good progress', 'sigmod record']","['microsoft site server ( commerce edition )', 'sigmod conference']",0.9470804780721664,0.05291952192783356,2
530,microsoft site server ( commerce edition ),"andrew eisenberg , jim melton",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_year')","['sql/xml is making good progress', 2002]","['microsoft site server ( commerce edition )', 1999]",0.9491169415414333,0.050883058458566666,2
531,sql/xml is making good progress,bassel ojjeh,sigmod conference,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_venue')","['andrew eisenberg , jim melton', 'sigmod record']","['bassel ojjeh', 'sigmod conference']",0.9310256615281105,0.0689743384718895,2
532,sql/xml is making good progress,bassel ojjeh,sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors', 'ltable_year')","['andrew eisenberg , jim melton', 2002]","['bassel ojjeh', 1999]",0.9460154362022877,0.053984563797712326,2
533,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod conference,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_venue', 'ltable_year')","['sigmod record', 2002]","['sigmod conference', 1999]",0.9500427804887295,0.04995721951127052,2
1011,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,surajit chaudhuri,acm sigmod record,2002,"('rtable_authors',)","['andrew eisenberg , jim melton']",['surajit chaudhuri'],0.539396345615387,0.46060365438461304,2
1010,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,2002,query optimization at the crossroads,"andrew eisenberg , jim melton",acm sigmod record,2002,"('rtable_title',)",['sql/xml is making good progress'],['query optimization at the crossroads'],0.8829237520694733,0.11707624793052673,2
539,phoenix : making applications robust,"andrew eisenberg , jim melton",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title',)",['sql/xml is making good progress'],['phoenix : making applications robust'],0.8866401091217995,0.11335989087820053,2
540,sql/xml is making good progress,"david b. lomet , roger s. barga",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_authors',)","['andrew eisenberg , jim melton']","['david b. lomet , roger s. barga']",0.7438904345035553,0.2561095654964447,2
541,sql/xml is making good progress,"andrew eisenberg , jim melton",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_year',)",[2002],[1999],0.9540736973285675,0.045926302671432495,2
542,phoenix : making applications robust,"david b. lomet , roger s. barga",sigmod record,2002,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_authors')","['sql/xml is making good progress', 'andrew eisenberg , jim melton']","['phoenix : making applications robust', 'david b. lomet , roger s. barga']",0.9471172951161861,0.05288270488381386,2
544,phoenix : making applications robust,"andrew eisenberg , jim melton",sigmod record,1999,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002,"('ltable_title', 'ltable_year')","['sql/xml is making good progress', 2002]","['phoenix : making applications robust', 1999]",0.9487548805773258,0.05124511942267418,2
