,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,"('rtable_title',)",['efficient data view maintenance warehouses'],['analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s'],0.008479164,0.9915208,2
20,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,bluelocator : enabling enterprise location-based services,"y chen , x chen , x ding , f rao , d liu","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['bluelocator : enabling enterprise location-based services', 'y chen , x chen , x ding , f rao , d liu']",0.0027503176,0.99724966,2
12,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,peersdi : a peer-to-peer information dissemination system,"k zhao , s zhou , l xu , w cai , a zhou","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['peersdi : a peer-to-peer information dissemination system', 'k zhao , s zhou , l xu , w cai , a zhou']",0.003567099,0.9964329,2
10,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,"bal . h. , â ?? ccj : object-based message passing and collective communication in javaâ ??","a nelisse , j maassen , t kielmann","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['bal . h. , â ?? ccj : object-based message passing and collective communication in javaâ ??', 'a nelisse , j maassen , t kielmann']",0.4202485,0.5797515,2
24,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,"s. ahmad , m. s & zakaria , n , a. ( 2002 a ) . integrating gis with hydraulic and sediment transport model","d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,"('rtable_title',)",['efficient data view maintenance warehouses'],"['s. ahmad , m. s & zakaria , n , a. ( 2002 a ) . integrating gis with hydraulic and sediment transport model']",0.025021864,0.9749782,2
25,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,"s. ahmad , m. s & zakaria , n , a. ( 2002 a ) . integrating gis with hydraulic and sediment transport model","d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,"('rtable_title', 'rtable_year')","['efficient data view maintenance warehouses', nan]","['s. ahmad , m. s & zakaria , n , a. ( 2002 a ) . integrating gis with hydraulic and sediment transport model', nan]",0.025021963,0.9749781,2
8,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,"f. wong , â ?? fastperformance-drivenoptimizationforbufferedclocktreesbasedonlagrangianrelaxation , â ??","cp chen , yw changandd","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['f. wong , â ?? fastperformance-drivenoptimizationforbufferedclocktreesbasedonlagrangianrelaxation , â ??', 'cp chen , yw changandd']",0.0802976,0.91970235,2
3,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,"('rtable_title', 'rtable_year')","['efficient data view maintenance warehouses', nan]","['analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s', nan]",0.008479164,0.9915208,2
2,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s,"d agrawal , a el abbadi , a singh , t yurek","proc . 28th europ . conf . opt . commun. ,",,"('rtable_title', 'rtable_venue')","['efficient data view maintenance warehouses', 'proc . acm sigmod ,']","['analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s', 'proc . 28th europ . conf . opt . commun. ,']",0.009748125,0.9902519,2
1,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s,"a melo , g toptchiyski , k petermann , c schubert","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['analysis of add/drop multiplexing at 160 gbit/s to base data rates of 10 gbit/s and 40 gbit/s', 'a melo , g toptchiyski , k petermann , c schubert']",0.043522216,0.9564778,2
26,dyda : data warehouse maintenance in fully concurrent environments,"j chen , x zhang , s chen , a koeller , e rundensteiner",sigmod conference,2001,a 3d reconstruction and enrichment system for broadcast soccer video,"x yan , x yu , ts hay","proc . acm sigmod ,",,"('rtable_title', 'rtable_authors')","['efficient data view maintenance warehouses', 'd agrawal , a el abbadi , a singh , t yurek']","['a 3d reconstruction and enrichment system for broadcast soccer video', 'x yan , x yu , ts hay']",0.026966045,0.9730339,2
16,applying data mining techniques to a health insurance information system,"m viveros , j nearhos , m rothman",sigmod conference,2001,efficient data view maintenance warehouses,"d agrawal , a el abbadi , a singh , t yurek","proc . acm sigmod ,",,"('ltable_title', 'ltable_authors')","['dyda : data warehouse maintenance in fully concurrent environments', 'j chen , x zhang , s chen , a koeller , e rundensteiner']","['applying data mining techniques to a health insurance information system', 'm viveros , j nearhos , m rothman']",0.17220761,0.8277924,2
