,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,database research at arizona state university,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003.0,"university of illinois , urbana",ma neimat,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,0
1,indexing the positions of continuously moving objects,"k chakrabarti , s mehrotra",vldb,2003.0,modern database systems,"v srinivasan , mj carey","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,0
2,the ecrc multi database system,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003.0,mining association rules from quantitative data,"m rodrä ± guez-martä ± nez , n roussopoulos","proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0,0
3,database research at arizona state university,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003.0,"university of illinois , urbana",ma neimat,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1999.0,0
4,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",vldb,2003.0,generalized search trees for database systems,"v srinivasan , mj carey",proceedings of the 1992 acm sigmod-international conference,1992.0,0
5,the ecrc multi database system,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,2003.0,mining association rules from quantitative data,"m rodrä ± guez-martä ± nez , n roussopoulos","proc of vldb ,",1992.0,0
6,the ecrc multi database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",vldb,2003.0,mining association rules from quantitative data,"m rodrä ± guez-martä ± nez , n roussopoulos","proc of vldb ,",1992.0,0
7,the ecrc multi database system,"a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek",vldb,1997.0,mining association rules from quantitative data,"m rodrä ± guez-martä ± nez , n roussopoulos","proc of vldb ,",1992.0,0
8,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",vldb j.,2003.0,generalized search trees for database systems,"v srinivasan , mj carey",proceedings of the 1992 acm sigmod-international conference,1992.0,0
9,database research at the university of illinois at urbana-champaign,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",vldb,1994.0,multi-query optimization,w kimâ ? ¦,nan,1980.0,0
