,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('rtable_title',)",['size separation spatial join'],['andj . widom . viewmaintenanceina warehousingenvironment'],0.29015443,0.7098456,2
1,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"y zhuge , h garcia-molina , j hammer","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('rtable_title', 'rtable_authors')","['size separation spatial join', 'n koudas , kc sevcik']","['andj . widom . viewmaintenanceina warehousingenvironment', 'y zhuge , h garcia-molina , j hammer']",0.036454502,0.9635455,2
2,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,andj . widom . viewmaintenanceina warehousingenvironment,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_year')","['size separation spatial join', 1997.0]","['andj . widom . viewmaintenanceina warehousingenvironment', nan]",0.18062022,0.8193798,2
20,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1996.0,"('rtable_title', 'rtable_year')","['size separation spatial join', 1997.0]","['greek wetlands', 1996.0]",0.10606915,0.89393085,2
6,size separation spatial join,"j patel , d dewitt",sigmod conference,1996,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title',)",['partition based spatial-merge join'],['size separation spatial join'],0.00038788823,0.99961215,2
7,size separation spatial join,"n koudas , k sevcik",sigmod conference,1996,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_authors')","['partition based spatial-merge join', 'j patel , d dewitt']","['size separation spatial join', 'n koudas , k sevcik']",6.377566e-05,0.9999362,2
8,size separation spatial join,"j patel , d dewitt",sigmod conference,1996,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_venue')","['partition based spatial-merge join', 'sigmod conference']","['size separation spatial join', 'sigmod conference']",0.00038788785,0.99961215,2
9,size separation spatial join,"j patel , d dewitt",sigmod conference,1997,size separation spatial join,"n koudas , kc sevcik","proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('ltable_title', 'ltable_year')","['partition based spatial-merge join', 1996]","['size separation spatial join', 1997]",0.0002911285,0.99970883,2
19,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,"n koudas , kc sevcik",,1997.0,"('rtable_title', 'rtable_venue')","['size separation spatial join', 'proceedings of the 1997 acm sigmod international conference & hellip ; ,']","['greek wetlands', nan]",0.042360146,0.9576398,2
18,partition based spatial-merge join,"j patel , d dewitt",sigmod conference,1996,greek wetlands,pa gerakes,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,"('rtable_title', 'rtable_authors')","['size separation spatial join', 'n koudas , kc sevcik']","['greek wetlands', 'pa gerakes']",0.010957955,0.9890421,2
