,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,,"('rtable_title',)",['a visual query language for odmg-compliant databases'],['formal query languages for secure relational databases'],0.09221017360687256,0.9077898263931274,2
40,a visual query language for,"m chavda , pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for', 'm chavda , pt wood']",0.049390196800231934,0.9506098031997681,2
44,a visual query language for odmg-compliant,"m chavda , pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant', 'm chavda , pt wood']",0.054348886013031006,0.945651113986969,2
48,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
49,a visual query language for odmg-compliant databases,"chavda , pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'chavda , pt wood']",0.052090585231781006,0.947909414768219,2
50,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
56,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
57,a visual query language for odmg-compliant databases,m,acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'm']",0.049346327781677246,0.9506536722183228,2
58,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
59,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
64,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
65,a visual query language for odmg-compliant databases,", pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', ', pt wood']",0.04995483160018921,0.9500451683998108,2
66,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
67,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
72,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
73,a visual query language for odmg-compliant databases,m chavda,acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'm chavda']",0.05604875087738037,0.9439512491226196,2
74,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
75,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
80,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
81,a visual query language for odmg-compliant databases,pt wood,acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'pt wood']",0.04995614290237427,0.9500438570976257,2
82,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
83,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
88,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
89,a visual query language for odmg-compliant databases,"m chavda ,",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'm chavda ,']",0.05337107181549072,0.9466289281845093,2
90,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
91,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
96,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title',)",['formal query languages for secure relational databases'],['a visual query language for odmg-compliant databases'],0.32561737298965454,0.6743826270103455,2
97,a visual query language for odmg-compliant databases,wood,acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language for odmg-compliant databases', 'wood']",0.04944157600402832,0.9505584239959717,2
98,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue')","['formal query languages for secure relational databases', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', nan]",0.2828938961029053,0.7171061038970947,2
99,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
36,a visual query language,"m chavda , pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['a visual query language', 'm chavda , pt wood']",0.04308706521987915,0.9569129347801208,2
32,visual query language for odmg-compliant databases,"m chavda , pt wood",acm trans . database syst .,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']","['visual query language for odmg-compliant databases', 'm chavda , pt wood']",0.05370450019836426,0.9462954998016357,2
51,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_year')","['formal query languages for secure relational databases', 1994.0]","['a visual query language for odmg-compliant databases', nan]",0.08470410108566284,0.9152958989143372,2
25,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m winslett , k smith , x qian",,,"('rtable_title', 'rtable_authors')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood']","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']",0.05318164825439453,0.9468183517456055,2
19,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,1994.0,"('rtable_title', 'rtable_year')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 1994.0]",0.1646551489830017,0.8353448510169983,2
16,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,,"('rtable_title',)",['a visual query language for odmg-compliant databases'],['formal query languages for secure relational databases'],0.09337419271469116,0.9066258072853088,2
24,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,,"('rtable_title',)",['a visual query language for odmg-compliant databases'],['formal query languages for secure relational databases'],0.09337419271469116,0.9066258072853088,2
11,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,1994.0,"('rtable_title', 'rtable_year')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 1994.0]",0.16601169109344482,0.8339883089065552,2
10,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",,"('rtable_title', 'rtable_venue')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,']",0.05794191360473633,0.9420580863952637,2
9,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m winslett , k smith , x qian",,,"('rtable_title', 'rtable_authors')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood']","['formal query languages for secure relational databases', 'm winslett , k smith , x qian']",0.05318164825439453,0.9468183517456055,2
18,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",,"('rtable_title', 'rtable_venue')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,']",0.05795872211456299,0.942041277885437,2
26,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",,"('rtable_title', 'rtable_venue')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,']",0.05794191360473633,0.9420580863952637,2
27,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,1994.0,"('rtable_title', 'rtable_year')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 1994.0]",0.16601169109344482,0.8339883089065552,2
8,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,,"('rtable_title',)",['a visual query language for odmg-compliant databases'],['formal query languages for secure relational databases'],0.09221017360687256,0.9077898263931274,2
17,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"k smith , x qian",,,"('rtable_title', 'rtable_authors')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood']","['formal query languages for secure relational databases', 'k smith , x qian']",0.052516281604766846,0.9474837183952332,2
1,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"k smith , x qian",,,"('rtable_title', 'rtable_authors')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood']","['formal query languages for secure relational databases', 'k smith , x qian']",0.052516281604766846,0.9474837183952332,2
3,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood",,1994.0,"('rtable_title', 'rtable_year')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 1994.0]",0.1646551489830017,0.8353448510169983,2
2,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",,"('rtable_title', 'rtable_venue')","['a visual query language for odmg-compliant databases', nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,']",0.05795872211456299,0.942041277885437,2
101,a visual query language for odmg-compliant databases,wood,acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_year')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]","['a visual query language for odmg-compliant databases', 'wood', nan]",0.055291831493377686,0.9447081685066223,3
69,a visual query language for odmg-compliant databases,", pt wood",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_year')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]","['a visual query language for odmg-compliant databases', ', pt wood', nan]",0.05476641654968262,0.9452335834503174,3
70,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue', 'ltable_year')","['formal query languages for secure relational databases', 'acm trans . database syst .', 1994.0]","['a visual query language for odmg-compliant databases', nan, nan]",0.12503021955490112,0.8749697804450989,3
100,a visual query language for odmg-compliant databases,wood,,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', 'wood', nan]",0.05881786346435547,0.9411821365356445,3
14,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",1994.0,"('rtable_title', 'rtable_venue', 'rtable_year')","['a visual query language for odmg-compliant databases', nan, nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,', 1994.0]",0.12737691402435303,0.872623085975647,3
13,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m winslett , k smith , x qian",,1994.0,"('rtable_title', 'rtable_authors', 'rtable_year')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]",0.05304688215255737,0.9469531178474426,3
76,a visual query language for odmg-compliant databases,m chavda,,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', 'm chavda', nan]",0.06150186061859131,0.9384981393814087,3
77,a visual query language for odmg-compliant databases,m chavda,acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_year')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]","['a visual query language for odmg-compliant databases', 'm chavda', nan]",0.06485581398010254,0.9351441860198975,3
78,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue', 'ltable_year')","['formal query languages for secure relational databases', 'acm trans . database syst .', 1994.0]","['a visual query language for odmg-compliant databases', nan, nan]",0.12503021955490112,0.8749697804450989,3
5,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"k smith , x qian",,1994.0,"('rtable_title', 'rtable_authors', 'rtable_year')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]","['formal query languages for secure relational databases', 'k smith , x qian', 1994.0]",0.053288936614990234,0.9467110633850098,3
12,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m winslett , k smith , x qian","acm transactions on database systems ,",,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm transactions on database systems ,']",0.05182570219039917,0.9481742978096008,3
4,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"k smith , x qian","acm transactions on database systems ,",,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]","['formal query languages for secure relational databases', 'k smith , x qian', 'acm transactions on database systems ,']",0.05225259065628052,0.9477474093437195,3
84,a visual query language for odmg-compliant databases,pt wood,,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', 'pt wood', nan]",0.05826139450073242,0.9417386054992676,3
94,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue', 'ltable_year')","['formal query languages for secure relational databases', 'acm trans . database syst .', 1994.0]","['a visual query language for odmg-compliant databases', nan, nan]",0.12503021955490112,0.8749697804450989,3
93,a visual query language for odmg-compliant databases,"m chavda ,",acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_year')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]","['a visual query language for odmg-compliant databases', 'm chavda ,', nan]",0.06370359659194946,0.9362964034080505,3
92,a visual query language for odmg-compliant databases,"m chavda ,",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', 'm chavda ,', nan]",0.057371675968170166,0.9426283240318298,3
85,a visual query language for odmg-compliant databases,pt wood,acm trans . database syst .,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_year')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 1994.0]","['a visual query language for odmg-compliant databases', 'pt wood', nan]",0.05361670255661011,0.9463832974433899,3
86,a visual query language for odmg-compliant databases,"m winslett , k smith , x qian",,,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_venue', 'ltable_year')","['formal query languages for secure relational databases', 'acm trans . database syst .', 1994.0]","['a visual query language for odmg-compliant databases', nan, nan]",0.10169339179992676,0.8983066082000732,3
6,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"m chavda , pt wood","acm transactions on database systems ,",1994.0,"('rtable_title', 'rtable_venue', 'rtable_year')","['a visual query language for odmg-compliant databases', nan, nan]","['formal query languages for secure relational databases', 'acm transactions on database systems ,', 1994.0]",0.1283978819847107,0.8716021180152893,3
33,visual query language for odmg-compliant databases,"m chavda , pt wood",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]",0.06094473600387573,0.9390552639961243,3
68,a visual query language for odmg-compliant databases,", pt wood",,1994.0,a visual query language for odmg-compliant databases,"m chavda , pt wood",,,"('ltable_title', 'ltable_authors', 'ltable_venue')","['formal query languages for secure relational databases', 'm winslett , k smith , x qian', 'acm trans . database syst .']","['a visual query language for odmg-compliant databases', ', pt wood', nan]",0.05822896957397461,0.9417710304260254,3
20,formal query languages for secure relational databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,formal query languages for secure relational databases,"k smith , x qian","acm transactions on database systems ,",,"('rtable_title', 'rtable_authors', 'rtable_venue')","['a visual query language for odmg-compliant databases', 'm chavda , pt wood', nan]","['formal query languages for secure relational databases', 'k smith , x qian', 'acm transactions on database systems ,']",0.05225259065628052,0.9477474093437195,3
