,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",metadata for multimedia documents,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
1,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",processing sliding window multi-joins in continuous queries over data streams,sigmod conference,1997.0,"j clifford , a croker , a tuzhilin",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
2,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",an experimental system for object-based sharing in federated databases,sigmod conference,1999.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
3,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid","olap , relational , and multidimensional database systems",sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
4,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",local dimensionality reduction : a new approach to indexing high dimensional spaces,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
5,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",the distributed information search component ( disco ) and the world wide web,sigmod conference,1994.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",panel : interoperability in multidatabases : semantic and systems issues,"sigmod conference ,",1997.0,0
6,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",open issues in parallel query optimization,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"proceedings of the 2005 acm sigmod international conference & hellip ; ,",1997.0,0
7,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",an experimental system for object-based sharing in federated databases,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",1997.0,0
8,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",power efficient data gathering and aggregation in wireless sensor networks,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",the distributed information search component ( disco ) and the world wide web,"sigmod conference ,",2003.0,0
9,"a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",generic database cost models for hierarchical memory systems,sigmod conference,1997.0,"a tomasic , r amouroux , p bonnet , o kapitskaia , h",an effective and efficient algorithm for high-dimensional outlier detection,"sigmod conference ,",1997.0,0
