,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,outcome
0,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,Nothing But the Beat,"Dance , Music , Electronic",$ 1.29,nan,nan,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
1,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 1.29,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,1:28,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
2,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 1.29,nan,nan,2-May-14,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2014 Naughty Boy Recordings Ltd under exclusive licence to Virgin Records Ltd,nan,"May 18 , 2015",1
3,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 0.99,nan,5:11,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
4,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic , House , Rock , French Pop",$ 1.29,nan,nan,18-Mar-08,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
5,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 1.29,nan,nan,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,Diddy - Dirty Money,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,4:31,"May 18 , 2015",1
6,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,Hotel Cabana,"Dance , Music , Electronic",$ 1.29,nan,nan,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
7,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 0.99,nan,nan,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,Rap & Hip-Hop,$ 1.29,( C ) 2015 Interscope Records,nan,"May 18 , 2015",1
8,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 1.29,nan,nan,18-May-15,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,4:42,"May 18 , 2015",1
9,Illusion ( feat . Echosmith ) True Colors 2015 Interscope Records 6:30,Zedd,nan,"Dance , Music , Electronic",$ 1.29,nan,nan,21-Aug-09,Papercut [ feat . Troye Sivan ] Zedd Dance & Electronic 7:23,nan,True Colors,nan,$ 1.29,( C ) 2015 Interscope Records,nan,"December 14 , 2010",1
