,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,Creep George Fenton,,,Dance & Electronic,$ 0.99,,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Price')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', nan]","['Creep George Fenton', nan, '$ 0.99']",0.4387034,0.5612966,3
7,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,,,,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', 'Dance & Electronic']","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan]",0.20718291,0.79281706,3
8,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,Dance & Electronic,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', '( C ) 2012 Mom + Pop']",0.44024056,0.55975944,3
9,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Zedd,,,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Genre', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', nan, '( C ) 2012 Mom + Pop']",0.3971116,0.6028884,3
20,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Zedd,,,,( C ) 2012 Mom + Pop,,,"('rtable_Song_Name', 'rtable_Genre', 'rtable_CopyRight', 'rtable_Released')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan, 'May 18 , 2015']","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', nan, '( C ) 2012 Mom + Pop', nan]",0.30469647,0.69530356,4
19,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Zedd,,,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Genre', 'rtable_CopyRight', 'rtable_Time')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan, nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', nan, '( C ) 2012 Mom + Pop', nan]",0.3971116,0.6028884,4
18,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Zedd,,,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Genre', 'rtable_Price', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan, nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', nan, nan, '( C ) 2012 Mom + Pop']",0.3971116,0.6028884,4
17,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Zedd,,,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Album_Name', 'rtable_Genre', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', nan, 'Dance & Electronic', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', nan, nan, '( C ) 2012 Mom + Pop']",0.3971116,0.6028884,4
16,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,Dance & Electronic,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_CopyRight', 'rtable_Time')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', nan, nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', '( C ) 2012 Mom + Pop', nan]",0.44024056,0.55975944,4
15,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,Dance & Electronic,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Price', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', nan, nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan, '( C ) 2012 Mom + Pop']",0.44024125,0.5597588,4
14,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,,,,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre', 'rtable_Time')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', 'Dance & Electronic', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan, nan]",0.20718268,0.7928173,4
12,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,,,,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre', 'rtable_Price')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', 'Dance & Electronic', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan, nan]",0.20718268,0.7928173,4
13,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,,,( C ) 2012 Mom + Pop,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Genre', 'rtable_CopyRight')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', 'Dance & Electronic', nan]","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan, '( C ) 2012 Mom + Pop']",0.16005027,0.8399497,4
10,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,"Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013",Flume,,,,,,"May 18 , 2015","('rtable_Song_Name', 'rtable_Artist_Name', 'rtable_Album_Name', 'rtable_Genre')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Zedd', nan, 'Dance & Electronic']","['Left Alone feat . Chet Faker Flume Dance & Electronic $ 1.29 3:30 February 19 , 2013', 'Flume', nan, nan]",0.20718268,0.7928173,4
4,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,Creep George Fenton,Zedd,,Dance & Electronic,$ 0.99,Black Fever Recordings,,"January 28 , 2014","('rtable_Song_Name', 'rtable_Price', 'rtable_CopyRight', 'rtable_Released')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', nan, nan, 'May 18 , 2015']","['Creep George Fenton', '$ 0.99', 'Black Fever Recordings', 'January 28 , 2014']",0.37903818,0.62096184,4
3,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,Creep George Fenton,Zedd,,Soundtracks,$ 0.99,,,"January 28 , 2014","('rtable_Song_Name', 'rtable_Genre', 'rtable_Price', 'rtable_Released')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan, 'May 18 , 2015']","['Creep George Fenton', 'Soundtracks', '$ 0.99', 'January 28 , 2014']",0.25146133,0.7485387,4
2,"Illusion ( feat . Echosmith ) Zedd True Colors Dance , Music , Electronic $ 1.29 2015 Interscope Records 6:30",,,,,,,18-May-15,Creep George Fenton,Zedd,,Soundtracks,$ 0.99,,3:31,"May 18 , 2015","('rtable_Song_Name', 'rtable_Genre', 'rtable_Price', 'rtable_Time')","['Illusion [ feat . Echosmith ] True Colors $ 1.29 ( C ) 2015 Interscope Records 6:25', 'Dance & Electronic', nan, nan]","['Creep George Fenton', 'Soundtracks', '$ 0.99', '3:31']",0.4978743,0.50212574,4
