,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,Teardrops On My Guitar ( Pop Version ) Taylor Swift 24-Oct-06,5:16,nan,nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,1
1,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,Cameras 28-Mar-11,5:16,nan,nan,nan,nan,$ 1.29,"June 30 , 2015","My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,1
2,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,"Anything Goes Anything Goes ‰ ãÑ 2014 Big Machine Label Group , LLC 3:39",5:16,Everything Is 4 [ Clean ],nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,1
3,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,"My Armor Is Iron The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score $ 1.29",5:16,nan,Wiz Khalifa,nan,nan,$ 1.29,nan,"Anything Goes Florida Georgia Line Country October 14 , 2014",nan,1
4,nan,Howard Shore,"‰ ãÑ 2012 Big Machine Label Group , LLC",nan,nan,10-Dec-13,Rashi ( Outro ) Mark Ronson $ 0.99,5:16,nan,nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,1
5,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,22-Jun-12,"Here 's to the Good Times Florida Georgia Line Here 's to the Good Times Country , Music , Urban Cowboy , Honky Tonk , Contemporary Country $ 1.29 4:11 4-Dec-12",5:16,nan,nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",nan,0
6,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,"My Armor Is Iron The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtrack , Music , Soundtrack , Classical , Original Score $ 1.29",5:16,nan,nan,nan,nan,$ 1.29,nan,"Kama Sutra ( feat . Kid Ink ) Pop 3:36 September 10 , 2013",3:17,0
7,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,Cameras 28-Mar-11,5:16,nan,nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",3:23,1
8,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,"X2CU Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance 1-Jun-15",5:16,nan,nan,nan,nan,$ 1.29,nan,Outversion Mark Ronson $ 0.99 ( c ) 2011 J'adore Records 1:50,nan,1
9,nan,Howard Shore,‰ ãÑ 2013 WaterTower Music,nan,nan,10-Dec-13,"X2CU Jason Derulo Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance 1-Jun-15",5:16,nan,nan,nan,nan,$ 1.29,nan,"My Armor Is Iron Howard Shore The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ] Soundtracks 2013 WaterTower Music / Warner Bros. . Entertainment / Metro - Goldwyn Mayer Pictures Inc. 5:16 December 10 , 2013",3:17,0
