,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,secure and portable database extensibility 1998,"michael godfrey , tobias mayr , praveen seshadri , thorsten von eicken",,,"('rtable_title', 'rtable_authors')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['secure and portable database extensibility 1998', 'michael godfrey , tobias mayr , praveen seshadri , thorsten von eicken']",0.04529914,0.9547009,2
23,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996",,,,"('rtable_title', 'rtable_year')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996', nan]",0.3360463,0.66395366,2
22,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996",,,,"('rtable_title', 'rtable_venue')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996', nan]",0.3360463,0.66395366,2
21,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996",,,,"('rtable_title', 'rtable_authors')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996', nan]",0.3360463,0.66395366,2
20,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996",,,,"('rtable_title',)",['the montage extensible datablade architecture michael ubell international conference on management of data 1994'],"['towards effective and efficient free space management mark l. mcauliffe , michael j. carey , marvin h. solomon international conference on management of data 1996']",0.3360463,0.66395366,2
15,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996",,,,"('rtable_title', 'rtable_year')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996', nan]",0.44219145,0.5578086,2
14,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996",,,,"('rtable_title', 'rtable_venue')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996', nan]",0.44219092,0.55780905,2
12,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996",,,,"('rtable_title',)",['the montage extensible datablade architecture michael ubell international conference on management of data 1994'],"['an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996']",0.44219092,0.55780905,2
13,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,"an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996",,,,"('rtable_title', 'rtable_authors')","['the montage extensible datablade architecture michael ubell international conference on management of data 1994', nan]","['an open abstract-object storage system stephen blott , lukas relly , hans-j &#246; rg schek international conference on management of data 1996', nan]",0.44219092,0.55780905,2
7,the montage extensible datablade achitecture michael ubell 1994,,sigmod conference,,the montage extensible datablade architecture michael ubell international conference on management of data 1994,,,,"('ltable_title', 'ltable_year')","['secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri', 1998.0]","['the montage extensible datablade achitecture michael ubell 1994', nan]",0.026071616,0.9739284,2
6,the montage extensible datablade achitecture michael ubell 1994,,sigmod conference,1998.0,the montage extensible datablade architecture michael ubell international conference on management of data 1994,,,,"('ltable_title', 'ltable_venue')","['secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri', 'sigmod conference']","['the montage extensible datablade achitecture michael ubell 1994', 'sigmod conference']",0.029521277,0.97047865,2
5,the montage extensible datablade achitecture michael ubell 1994,,sigmod conference,1998.0,the montage extensible datablade architecture michael ubell international conference on management of data 1994,,,,"('ltable_title', 'ltable_authors')","['secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri', nan]","['the montage extensible datablade achitecture michael ubell 1994', nan]",0.029521277,0.97047865,2
