,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,nan,nan,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record",won kim,acm sigmod record,1998.0,0
1,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod conference,nan,observations on the odmg-93 proposal for an object-oriented database language,won kim,international conference on management of data,1994.0,0
2,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,nan,1998.0,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record","maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,1998.0,0
3,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","malcolm p. atkinson , ronald morrison",vldb j.,nan,observations on the odmg-93 proposal for an object-oriented database language,won kim,international conference on management of data,1998.0,0
4,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","jeffrey f. naughton , stratis viglas",sigmod conference,nan,observations on the odmg-93 proposal for an object-oriented database language,"binto george , jayant r. haritsa",international conference on management of data,1994.0,1
5,"deeds towards a distributed and active real-time database system joakim eriksson , jonas mellin , sten andler , mikael berndtsson , bengt eftring , jörgen hansson sigmod record 1996",nan,nan,1998.0,"sql/xml is making good progress andrew eisenberg , jim melton acm sigmod record",won kim,acm sigmod record,1998.0,0
6,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","jeffrey f. naughton , stratis viglas",sigmod conference,nan,observations on the odmg-93 proposal for an object-oriented database language,won kim,international conference on management of data,1994.0,1
7,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,vldb j.,nan,observations on the odmg-93 proposal for an object-oriented database language,won kim,international conference on management of data,1998.0,0
8,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","malcolm p. atkinson , ronald morrison",vldb j.,1995.0,observations on the odmg-93 proposal for an object-oriented database language,won kim,international conference on management of data,1998.0,0
9,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,nan,nan,observations on the odmg-93 proposal for an object-oriented database language,"per - &#197; ke larson , jonathan goldstein , jingren zhou",nan,1994.0,0
