,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server per-åke larson,"per - &#197; ke larson , jonathan goldstein , jingren zhou",,,"('rtable_title',)",['transparent mid-tier database caching in sql server international conference on management of data 2003'],['transparent mid-tier database caching in sql server per-åke larson'],3.0504876e-05,0.9999695,2
86,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,,,,"('rtable_authors', 'rtable_year')","['per - &#197; ke larson , jonathan goldstein , jingren zhou', nan]","[nan, nan]",1.0397903e-05,0.9999896,2
85,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,,very large data bases,,"('rtable_authors', 'rtable_venue')","['per - &#197; ke larson , jonathan goldstein , jingren zhou', nan]","[nan, 'very large data bases']",6.6176212e-06,0.9999933,2
84,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,"heterogeneous database query optimization in db2 universal datajoiner shivakumar venkataraman , tian zhang 1998",,,,"('rtable_title', 'rtable_authors')","['transparent mid-tier database caching in sql server international conference on management of data 2003', 'per - &#197; ke larson , jonathan goldstein , jingren zhou']","['heterogeneous database query optimization in db2 universal datajoiner shivakumar venkataraman , tian zhang 1998', nan]",0.14540999,0.85459006,2
83,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,"per - &#197; ke larson , jonathan goldstein , jingren zhou",,,"('rtable_year',)",[nan],[nan],0.03389601,0.96610403,2
82,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,,,,"('rtable_authors',)","['per - &#197; ke larson , jonathan goldstein , jingren zhou']",[nan],1.0397903e-05,0.9999896,2
80,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,"per - &#197; ke larson , jonathan goldstein , jingren zhou",,,"('rtable_venue', 'rtable_year')","[nan, nan]","[nan, nan]",0.03389601,0.96610403,2
79,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,,,,"('rtable_authors', 'rtable_year')","['per - &#197; ke larson , jonathan goldstein , jingren zhou', nan]","[nan, nan]",1.0397903e-05,0.9999896,2
78,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,,,,"('rtable_authors', 'rtable_venue')","['per - &#197; ke larson , jonathan goldstein , jingren zhou', nan]","[nan, nan]",1.0397903e-05,0.9999896,2
77,"transparent mid-tier database caching in sql server per-åke larson , jingren zhou , jonathan goldstein 2003",,sigmod conference,,transparent mid-tier database caching in sql server international conference on management of data 2003,"per - &#197; ke larson , jonathan goldstein , jingren zhou",,,"('rtable_year',)",[nan],[nan],0.03389601,0.96610403,2
