,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match,label
0,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,1225,secure buffering in firm real-time database systems 2000,"binto george , jayant r. haritsa",the vldb journal -- the international journal on very large data bases,,1.1250586e-13,0
1,574,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",,,2002.0,749,cluster validity methods : part i 2002,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,,5.779906e-14,0
2,561,a query language and optimization techniques for unstructured data,"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu",sigmod conference,1996.0,1957,"fundamental techniques for order optimization david simmen , eugene shekita , timothy malkemus international conference on management of data",,,1996.0,3.3587516e-14,0
3,1799,"structures for manipulating proposed updates in object-oriented databases richard hull , mohammed rupawalla , michael doherty 1996",,sigmod conference,,1307,observations on the odmg-93 proposal for an object-oriented database language,won kim,acm sigmod record,1994.0,5.210433e-12,0
4,1116,"integrating a structured-text retrieval system with an object-oriented database system jurgen annevelink , tak w. yan",,vldb,1994.0,1205,"index nesting - an efficient approach to indexing in object-oriented databases beng chin ooi , jiawei han , hongjun lu , kian lee tan the vldb journal -- the international journal on very large data bases 1996",,,,2.775746e-23,0
5,2009,"one-dimensional and multi-dimensional substring selectivity estimation raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia vldb j.",,,2000.0,679,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,international conference on management of data,2002.0,2.155697e-07,0
6,1496,"secure transaction processing in firm real-time database systems binto george , jayant r. haritsa sigmod conference",,,1997.0,991,"a database system for real-time event aggregation in telecommunication jerry baulier , stephen blott , henry f. korth , abraham silberschatz",,very large data bases,1998.0,2.2167352e-08,0
7,69,"a cost model for clustered object-oriented databases zhao-hui tang , jean-robert gruser , georges gardarin vldb 1995",,,,591,index configuration in object-oriented databases,elisa bertino,the vldb journal -- the international journal on very large data bases,1994.0,4.752318e-10,0
8,729,"selectivity estimation in extensible databases - a neural network approach shaoyu zhou , m. seetha lakshmi",,vldb,1998.0,2227,semantic integration in heterogeneous databases using neural networks 1994,"wen-syan li , chris clifton",very large data bases,,2.0093977e-13,0
9,35,"integrating triggers and declarative constraints in sql database sytems roberta cochrane , hamid pirahesh , nelson mendonça mattos",,vldb,1996.0,590,"the demarcation protocol : a technique for maintaining constraints in distributed database systems daniel barbar &#225; - mill &#225; , hector garcia-molina the vldb journal -- the international journal on very large data bases",,,1994.0,2.1061307e-18,0
10,1683,navigating large-scale semi-structured data in business portals vldb 2001,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",,,1341,navigating large-scale semi-structured data in business portals,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001.0,0.8389111,1
11,314,"view management in multimedia databases v. s. subrahmanian , eric lemar , k. selçuk candan vldb j. 2000",,,,1074,efficient user-adaptable similarity search in large multimedia databases very large data bases 1997,"thomas seidl , hans-peter kriegel",,,2.7452144e-26,0
12,1576,cost estimation of user-defined methods in object-relational database systems 1999,"kinji ono , jihad boulos",sigmod record,,262,"on supporting containment queries in relational database management systems chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman 2001",,international conference on management of data,,1.03773265e-20,0
13,1157,"the piazza peer data management project gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",,sigmod record,2003.0,2244,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",,acm sigmod record,2003.0,3.411661e-08,1
14,1538,"automated selection of materialized views and indexes in sql databases surajit chaudhuri , sanjay agrawal , vivek r. narasayya vldb 2000",,,,873,"automated selection of materialized views and indexes in sql databases sanjay agrawal , surajit chaudhuri , vivek r. narasayya 2000",,very large data bases,,7.210284e-10,1
15,2387,"secure and portable database extensibility tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri",,sigmod conference,1998.0,1629,the montage extensible datablade architecture michael ubell international conference on management of data 1994,,,,5.54604e-17,0
16,1546,grid data management systems & services 2003,"reagan moore , arun jagatheesan , paul watson , norman w. paton",vldb,,819,networked data management design points 1999,james r. hamilton,very large data bases,,6.0158774e-13,0
17,1247,dynamic multi-resource load balancing in parallel database systems vldb,"robert marek , erhard rahm",,1995.0,807,"dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems masahisa tamura , masaru kitsuregawa very large data bases 1999",,,,5.8903726e-15,0
