,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"web caching with consistent hashing www8 / computer networks , 1999.0","d karger , a sherman , a berkheimer , b bogstad , r","proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['web caching with consistent hashing www8 / computer networks , 1999.0', 'd karger , a sherman , a berkheimer , b bogstad , r']",0.0006530327,0.9993469,2
21,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm', nan]",0.03347893,0.966521,2
20,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title',)","['compensation-based on-line query processing v srinivasan , mj carey 1992.0']","['macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm']",0.03347893,0.966521,2
18,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,a geometry-based soft shadow volume algorithm on graphics hardware,"u assarsson , t akenine-moller","proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['a geometry-based soft shadow volume algorithm on graphics hardware', 'u assarsson , t akenine-moller']",0.058664,0.941336,2
24,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,efficient algorithms for processing xpath queries,"a halverson , j burger , l galanis , a kini , r","proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['efficient algorithms for processing xpath queries', 'a halverson , j burger , l galanis , a kini , r']",0.37528747,0.62471247,2
6,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"an automatic formatting program for pascal j hueras , h ledgard",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title',)","['compensation-based on-line query processing v srinivasan , mj carey 1992.0']","['an automatic formatting program for pascal j hueras , h ledgard']",0.3394039,0.6605961,2
7,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"an automatic formatting program for pascal j hueras , h ledgard",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_authors')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['an automatic formatting program for pascal j hueras , h ledgard', nan]",0.3394037,0.6605963,2
8,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"an automatic formatting program for pascal j hueras , h ledgard",,"acm sigplan notices ,",,"('rtable_title', 'rtable_venue')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', 'proceedings of the 1992 acm sigmod international conference & hellip ; ,']","['an automatic formatting program for pascal j hueras , h ledgard', 'acm sigplan notices ,']",0.23511486,0.76488507,2
9,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"an automatic formatting program for pascal j hueras , h ledgard",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1977.0,"('rtable_title', 'rtable_year')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['an automatic formatting program for pascal j hueras , h ledgard', 1977.0]",0.2908729,0.70912707,2
22,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,"macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,"('rtable_title', 'rtable_year')","['compensation-based on-line query processing v srinivasan , mj carey 1992.0', nan]","['macaw : a media-access protocol for packet radio v bharghavan , a demers , s shenker , l zhang proc . acm sigcomm', nan]",0.033478938,0.966521,2
