,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",bg lw lindsay,,1997.0,"('rtable_authors',)","['a tomasic , r amouroux , p bonnet , o kapitskaia , h']",['bg lw lindsay'],3.4264638e-05,0.9999658,2
67,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,1997.0,"('rtable_venue',)",[nan],[nan],1.7774177e-05,0.99998224,2
66,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",,,1997.0,"('rtable_authors',)","['a tomasic , r amouroux , p bonnet , o kapitskaia , h']",[nan],0.0002607646,0.9997392,2
64,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,,"('rtable_venue', 'rtable_year')","[nan, 1997.0]","[nan, nan]",1.923509e-05,0.9999808,2
63,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",j schwarz,,,"('rtable_authors', 'rtable_year')","['a tomasic , r amouroux , p bonnet , o kapitskaia , h', 1997.0]","['j schwarz', nan]",3.4077457e-05,0.9999659,2
62,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",j schwarz,,1997.0,"('rtable_authors', 'rtable_venue')","['a tomasic , r amouroux , p bonnet , o kapitskaia , h', nan]","['j schwarz', nan]",3.412575e-05,0.9999659,2
61,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,,"('rtable_year',)",[1997.0],[nan],1.923509e-05,0.9999808,2
60,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,1997.0,"('rtable_venue',)",[nan],[nan],1.7774177e-05,0.99998224,2
59,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",j schwarz,,1997.0,"('rtable_authors',)","['a tomasic , r amouroux , p bonnet , o kapitskaia , h']",['j schwarz'],3.412575e-05,0.9999659,2
57,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,,"('rtable_venue', 'rtable_year')","[nan, 1997.0]","[nan, nan]",1.923509e-05,0.9999808,2
56,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",,,,"('rtable_authors', 'rtable_year')","['a tomasic , r amouroux , p bonnet , o kapitskaia , h', 1997.0]","[nan, nan]",0.00030086123,0.9996991,2
55,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,",,,1997.0,"('rtable_authors', 'rtable_venue')","['a tomasic , r amouroux , p bonnet , o kapitskaia , h', nan]","[nan, nan]",0.0002607646,0.9997392,2
54,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,,"('rtable_year',)",[1997.0],[nan],1.9235109e-05,0.9999808,2
