,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,"strategische organisation-prinzipien zur vitalisierung und virtualisierung , moderne industrie , 1996",,"proc of vldb ,",,"('rtable_title',)",['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦'],"['strategische organisation-prinzipien zur vitalisierung und virtualisierung , moderne industrie , 1996']",0.1828177571296692,0.8171822428703308,2
366,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,proc of,1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_venue')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', 'vldb']","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', 'proc of']",0.04422670602798462,0.9557732939720154,2
365,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_authors')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', nan]","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]",0.04785609245300293,0.9521439075469971,2
364,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title',)","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian']",['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦'],0.04816794395446777,0.9518320560455322,2
359,interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_year')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', 1996.0]","['interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]",0.04108726978302002,0.95891273021698,2
358,interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_venue')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', 'vldb']","['interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', 'proc of vldb ,']",0.047502875328063965,0.952497124671936,2
357,interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_authors')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', nan]","['interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]",0.042776286602020264,0.9572237133979797,2
356,interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,1996.0,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title',)","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian']",['interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦'],0.04227226972579956,0.9577277302742004,2
351,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy,,"proc of vldb ,",,"('rtable_title', 'rtable_year')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]","['s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy', nan]",0.06631052494049072,0.9336894750595093,2
350,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy,,& hellip ; conference on very large data,,"('rtable_title', 'rtable_venue')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', 'proc of vldb ,']","['s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy', '& hellip ; conference on very large data']",0.06150466203689575,0.9384953379631042,2
349,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy,,"proc of vldb ,",,"('rtable_title', 'rtable_authors')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]","['s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy', nan]",0.06631052494049072,0.9336894750595093,2
367,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,vldb,,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,"('ltable_title', 'ltable_year')","['schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian', 1996.0]","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]",0.04435604810714722,0.9556439518928528,2
348,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy,,"proc of vldb ,",,"('rtable_title',)",['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦'],['s. ( 1988 ) . towardsarealhornclauselanguage rn krishnamurthy'],0.06494402885437012,0.9350559711456299,2
339,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,"arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0",,"proc of vldb ,",,"('rtable_title', 'rtable_year')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]","['arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0', nan]",0.07207775115966797,0.927922248840332,2
338,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,"arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0",,,,"('rtable_title', 'rtable_venue')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', 'proc of vldb ,']","['arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0', nan]",0.07872456312179565,0.9212754368782043,2
337,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,"arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0",f peters,"proc of vldb ,",,"('rtable_title', 'rtable_authors')","['panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦', nan]","['arbeidsmarktliteratuur welzijn , jeugdhulpverlening en kinderopvang 2002 , juni 2002 , â 1/4 -- 1913.0', 'f peters']",0.0746011734008789,0.9253988265991211,2
