,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,sã 1/4 chte und systeme k richelshagen,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['sã 1/4 chte und systeme k richelshagen'],0.045422911643981934,0.9545770883560181,2
404,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']",['der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection'],0.05439954996109009,0.9456004500389099,2
706,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0', nan]",0.06029850244522095,0.939701497554779,2
400,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"bouwstoffen nader bekeken , milieuhygiã `` nische kwaliteit en toepasbaarheid van bouwstoffen in relatie","tg aalbers , c zevenbergenâ ? ¦",,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['bouwstoffen nader bekeken , milieuhygiã `` nische kwaliteit en toepasbaarheid van bouwstoffen in relatie', 'tg aalbers , c zevenbergenâ ? ¦']",0.12852656841278076,0.8714734315872192,2
707,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0,"m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['weiterentwicklung eines programms fã 1/4 r molekã 1/4 lgraphik und elektronendichte-manipulationen d turk 1992.0', nan]",0.06029850244522095,0.939701497554779,2
395,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow', nan]",0.1607375144958496,0.8392624855041504,2
394,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow","m tresch , mh scholl , ibmar center , ca san jose","software-demonstration auf dem ,",,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow', 'software-demonstration auf dem ,']",0.08485269546508789,0.9151473045349121,2
393,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow', nan]",0.3650566339492798,0.6349433660507202,2
392,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['demonstration eines selbstlerntrainings fã 1/4 r computer-experten zur verbesserung der experten-laien - c winter , t block , r bromme , r jucks , r rambow']",0.1607375144958496,0.8392624855041504,2
387,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"achttausender r messner , a ã?berlebt","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_year')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['achttausender r messner , a ã?berlebt', nan]",0.16168665885925293,0.8383133411407471,2
386,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"achttausender r messner , a ã?berlebt","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title', 'rtable_venue')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', nan]","['achttausender r messner , a ã?berlebt', nan]",0.16168665885925293,0.8383133411407471,2
385,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"achttausender r messner , a ã?berlebt",,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['achttausender r messner , a ã?berlebt', nan]",0.338762104511261,0.661237895488739,2
384,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,"achttausender r messner , a ã?berlebt","m tresch , mh scholl , ibmar center , ca san jose",,,"('rtable_title',)","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0']","['achttausender r messner , a ã?berlebt']",0.16468608379364014,0.8353139162063599,2
405,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection,j six,,,"('rtable_title', 'rtable_authors')","['a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0', 'm tresch , mh scholl , ibmar center , ca san jose']","['der privatrechtliche namensschutz von und vor domanennamen im internet . ( german ) [ name protection', 'j six']",0.12114191055297852,0.8788580894470215,2
