,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,da-lite leg saver back brace for standard fast-fold screens da-lite 72120,electronics - general,da-lite,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_category')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', nan]","['da-lite leg saver back brace for standard fast-fold screens da-lite 72120', 'electronics - general']",0.25334165,0.7466583,2
69,da-lite carpeted picture king with keystone eliminator -,,da-lite,,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_modelno')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', '87062']","['da-lite carpeted picture king with keystone eliminator -', nan]",0.49524418,0.5047558,2
68,da-lite carpeted picture king with keystone eliminator -,,,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_brand')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', 'da-lite']","['da-lite carpeted picture king with keystone eliminator -', nan]",0.49524418,0.5047558,2
56,da-lite carpeted picture king with keystone,,da-lite,87062,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_price')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', 343.99]","['da-lite carpeted picture king with keystone', 203.95]",0.4538208,0.5461792,2
55,da-lite carpeted picture king with keystone,,da-lite,,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_modelno')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', '87062']","['da-lite carpeted picture king with keystone', nan]",0.3349245,0.6650755,2
54,da-lite carpeted picture king with keystone,,,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_brand')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', 'da-lite']","['da-lite carpeted picture king with keystone', nan]",0.3349247,0.6650753,2
53,da-lite carpeted picture king with keystone,,da-lite,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_category')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', nan]","['da-lite carpeted picture king with keystone', nan]",0.45382103,0.546179,2
52,da-lite carpeted picture king with keystone,,da-lite,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title',)",['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general'],['da-lite carpeted picture king with keystone'],0.4538208,0.5461792,2
40,da-lite carpeted picture king with,,da-lite,87062,203.95,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_price')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', 343.99]","['da-lite carpeted picture king with', 203.95]",0.4566344,0.5433656,2
38,da-lite carpeted picture king with,,,87062,343.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black projection screens da-lite with keystone eliminator,,,,203.95,"('ltable_title', 'ltable_brand')","['da-lite matte white gray carpeted picture king w keystone eliminator - hdtv format 92 diagonal electronics - general', 'da-lite']","['da-lite carpeted picture king with', nan]",0.2796417,0.72035825,2
