,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,uniden,nan,2608.99,1
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,ts-a1674r,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,bags cases,elite,nan,nan,1
2,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,479.98,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,scanners,elite,nan,nan,1
3,da-lite da-glas self trimming rear projection screen - 96 x 120 av format 27915,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,nan,nan,1
4,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,cases,elite,nan,nan,1
5,accell ultraav displayport multi-monitor adapter 198.35,electronics - general,nan,am-p16b,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,elite,nan,nan,1
6,apc battery backup 750va back-ups es 120v 10 outlet power supply power-saving ups be750g electronics - general apc be750g 95.88,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,nan,elite,nan,nan,1
7,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,printer accessories,pioneer,nan,nan,1
8,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,nan,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,switches,mayline,nan,nan,1
9,elite screens cinegray prime vision series fixed frame screen - 135 diagonal elite screens 1069.0,electronics - general,nan,pvr135h1,248.27,cinegray ezframe series fixed frame screen - 150 diagonal 879.0,projection screens,uniden,nan,nan,1
