,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,networking,nan,11.58,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,verbatim,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
1,nan,stationery & office machinery,nan,39.84,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,nan,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
2,nan,stationery & office machinery,nan,11.58,iogear gbu421w6 bluetooth usb micro adapter iogear 14.84,nan,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
3,nan,stationery & office machinery,nan,94.54,birdhouse tony hawk 2gb full skull skatedrive usb flash drive usb drives 9.84,nan,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
4,nan,stationery & office machinery,nan,11.98,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,nan,nan,nan,nan,antec tricool case fan tricool 120mm 11.19,1
5,nan,stationery & office machinery,nan,11.58,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,nan,nan,nan,nan,antec tricool case fan tricool 120mm 11.19,1
6,nan,stationery & office machinery,nan,5.54,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,nan,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
7,nan,stationery & office machinery,nan,11.58,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,nan,nan,nan,nan,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
8,nan,stationery & office machinery,nan,11.58,tops classified colors notebook narrow rule 5-1 2 x 8-1 2 orchid 100 sheets tops business forms,mayline,nan,nan,64.24,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
9,nan,stationery & office machinery,nan,11.58,evga geforce 210 512mb ddr3 pci express graphics card electronics - general evga 512p31310lr,nan,nan,nan,46.99,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505 storage presentation materials tops 19.0,1
