,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,,,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_title',)",['verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim'],['clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98'],0.05704140663146973,0.9429585933685303,2
1,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,97556,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_modelno',)",[nan],['97556'],0.2860357165336609,0.7139642834663391,2
2,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green,,verbatim,97556,,"('rtable_title',)",['verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98'],['verbatim 4gb tuff - n - tiny usb 2.0 flash drive green'],0.05139636993408203,0.948603630065918,2
3,verbatim clip-it 4 gb usb 2.0 flash drive,,,,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_title',)",['verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim'],['verbatim clip-it 4 gb usb 2.0 flash drive'],0.0660673975944519,0.9339326024055481,2
4,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,97556,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_modelno',)",[nan],['97556'],0.2860357165336609,0.7139642834663391,2
5,verbatim clip-it 4 gb,,,,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_title',)",['verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim'],['verbatim clip-it 4 gb'],0.05430030822753906,0.9456996917724609,2
6,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,97556,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_modelno',)",[nan],['97556'],0.2860357165336609,0.7139642834663391,2
7,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,97556,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_modelno',)",[nan],['97556'],0.2801933288574219,0.7198066711425781,2
8,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,,11.98,verbatim 4gb tuff - n - tiny usb 2.0,,verbatim,97556,,"('rtable_title',)",['verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98'],['verbatim 4gb tuff - n - tiny usb 2.0'],0.4470258355140686,0.5529741644859314,2
9,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,,11.98,verbatim 4gb tuff -,,verbatim,97556,,"('rtable_title',)",['verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98'],['verbatim 4gb tuff -'],0.208804190158844,0.791195809841156,2
10,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,,11.98,verbatim 4gb tuff - n - tiny usb 2.0 flash,,verbatim,97556,,"('rtable_title',)",['verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98'],['verbatim 4gb tuff - n - tiny usb 2.0 flash'],0.425706148147583,0.574293851852417,2
11,verbatim clip-it 4 gb usb 2.0 flash drive 97556,,,,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_title',)",['verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim'],['verbatim clip-it 4 gb usb 2.0 flash drive 97556'],0.05504262447357178,0.9449573755264282,2
12,verbatim 4gb tuff - n - tiny usb 2.0 flash drive green usb drives verbatim,,,97556,11.98,verbatim clip-it 4 gb usb 2.0 flash drive 97556 green usb flash drives 10.98,,verbatim,97556,,"('ltable_modelno',)",[nan],['97556'],0.2801935076713562,0.7198064923286438,2
