,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,mexican,167.0,citrus,' 3 e. 52nd st. ',` san francisco ',213-857-0034,californian,6.0,0
1,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167.0,citrus,' 3434 peachtree rd. ne ',` san francisco ',213-857-0034,californian,662.0,0
2,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',415/346 -1333,mexican,167.0,citrus,' 3 e. 52nd st. ',` san francisco ',213-857-0034,californian,6.0,0
3,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',702/732 -6330,asian,167.0,citrus,' 3434 peachtree rd. ne ',` san francisco ',213-857-0034,californian,662.0,0
4,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',404/876 -0676,` health food ',167.0,citrus,' 3393 peachtree rd. ',` san francisco ',310-392-9025,californian,6.0,0
5,` tommy tang \ 's ',' 7313 melrose ave. ',` san francisco ',404/876 -0676,` health food ',167.0,citrus,' 3393 peachtree rd. ',` san francisco ',310-392-9025,californian,6.0,0
6,` tommy tang \ 's ',' 7313 melrose ave. ',` san francisco ',404/876 -0676,` health food ',494.0,citrus,' 3393 peachtree rd. ',` san francisco ',310-392-9025,californian,6.0,0
7,` mambo restaurante cubano ',' 405 e. 52nd st. ',` new york ',213/937 -5733,asian,167.0,` fiore rotisserie & grille ',' 490 e. paces ferry rd. ne ',queens,213-857-0034,californian,659.0,0
8,` tommy tang \ 's ',' 8720 sunset blvd. ',atlanta,213/937 -5733,asian,167.0,` hedgerose heights inn the ',' 490 e. paces ferry rd. ne ',` new york city ',310-652-4025,` french bistro ',6.0,0
9,bistro,' 7313 melrose ave. ',atlanta,213/937 -5733,asian,167.0,` fiore rotisserie & grille ',' 490 e. paces ferry rd. ne ',venice,702-733-4524,californian,616.0,0
