,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,"('rtable_name',)","[""` fiore rotisserie & grille '""]","[""` viva mercado \\ 's '""]",0.09812618,0.9018738,2
34,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \,' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,"('rtable_name', 'rtable_city')","[""` fiore rotisserie & grille '"", ""` las vegas '""]","['` viva mercado \\', ""` las vegas '""]",0.2652804,0.7347196,2
35,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \,' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","['` viva mercado \\', '702/871 -8826']",0.2652804,0.7347196,2
36,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \,' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,mexican,660,"('rtable_name', 'rtable_res_type')","[""` fiore rotisserie & grille '"", 'italian']","['` viva mercado \\', 'mexican']",0.11767522,0.8823248,2
37,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \,' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,451,"('rtable_name', 'rtable_class')","[""` fiore rotisserie & grille '"", 660]","['` viva mercado \\', 451]",0.19844489,0.80155516,2
64,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,"('rtable_name',)","[""` fiore rotisserie & grille '""]","[""` viva mercado \\ 's '""]",0.09812618,0.9018738,2
65,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',6182 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,"('rtable_name', 'rtable_addr')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '""]","[""` viva mercado \\ 's '"", ""6182 w. flamingo rd. '""]",0.02221061,0.9777894,2
66,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,660,"('rtable_name', 'rtable_city')","[""` fiore rotisserie & grille '"", ""` las vegas '""]","[""` viva mercado \\ 's '"", ""` las vegas '""]",0.09812618,0.9018738,2
67,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702/871 -8826,italian,660,"('rtable_name', 'rtable_phone')","[""` fiore rotisserie & grille '"", '702-252-7702']","[""` viva mercado \\ 's '"", '702/871 -8826']",0.09812618,0.9018738,2
68,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,mexican,660,"('rtable_name', 'rtable_res_type')","[""` fiore rotisserie & grille '"", 'italian']","[""` viva mercado \\ 's '"", 'mexican']",0.05381098,0.946189,2
69,` viva mercado \ 's ',' 6182 w. flamingo rd. ',` las vegas ',702/871 -8826,mexican,451,` viva mercado \ 's ',' 3700 w. flamingo rd. ',` las vegas ',702-252-7702,italian,451,"('rtable_name', 'rtable_class')","[""` fiore rotisserie & grille '"", 660]","[""` viva mercado \\ 's '"", 451]",0.09088288,0.9091171,2
