,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 240 e. 58th st. ',` los angeles ',162.0,bruno,212/688 -4190,buffets,' 243 e. 58th st. ',` new york city ',664.0,felidia,212-758-1479,italian,1
1,' 240 e. 58th st. ',` new york ',37.0,bruno,212/688 -4190,italian,' 243 e. 58th st. ',` west la ',37.0,citrus,212-758-1479,italian,1
2,' 240 e. 58th st. ',` new york ',162.0,oritalia,702/737 -1234,italian,' 243 e. 58th st. ',` new york city ',74.0,` monte carlo ',310-550-8811,italian,1
3,' 240 e. 58th st. ',` new york ',37.0,bruno,212/688 -4190,italian,' 243 e. 58th st. ',` west la ',37.0,felidia,212-758-1479,italian,1
4,' 240 e. 58th st. ',` san francisco ',84.0,bruno,212/688 -4190,italian,' 243 e. 58th st. ',` new york city ',84.0,aquavit,310-392-9025,italian,1
5,' 240 e. 58th st. ',` new york ',162.0,bruno,212/688 -4190,buffets,' 243 e. 58th st. ',` new york city ',664.0,felidia,212-758-1479,italian,1
6,' 240 e. 58th st. ',` los angeles ',37.0,bruno,212/688 -4190,italian,' 240 central park s. ',` santa monica ',7.0,felidia,212-758-1479,italian,1
7,' 240 e. 58th st. ',` san francisco ',84.0,bruno,212/688 -4190,french,' 243 e. 58th st. ',` new york city ',84.0,aquavit,310-392-9025,italian,1
8,' 240 e. 58th st. ',` new york ',84.0,` border grill ',310/289 -0660,italian,' 243 e. 58th st. ',` new york city ',38.0,felidia,702-385-6277,italian,1
9,' 240 e. 58th st. ',` los angeles ',162.0,bruno,212/688 -4190,buffets,' 10801 w. pico blvd. ',` new york city ',664.0,felidia,212-758-1479,italian,1
