,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,62,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',623,"('ltable_class',)",[291],[62],0.393843412399292,0.606156587600708,2
613,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,french,291,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['french', 291]",0.40061628818511963,0.5993837118148804,2
612,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212/755 -6244,` french ( classic ) ',291,"('rtable_phone', 'rtable_class')","['212-752-1495', 623]","['212/755 -6244', 291]",0.332741379737854,0.667258620262146,2
611,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york ',212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","[""` new york '"", 291]",0.3961051106452942,0.6038948893547058,2
610,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""'"", 291]",0.4073188304901123,0.5926811695098877,2
609,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` le perigord ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","[""` le perigord '"", 291]",0.33750659227371216,0.6624934077262878,2
608,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.39459705352783203,0.605402946472168,2
192,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.3944026827812195,0.6055973172187805,2
193,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,`,' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","['`', 291]",0.44318872690200806,0.5568112730979919,2
194,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd st. '"", 291]",0.3735997676849365,0.6264002323150635,2
195,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york ',212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","[""` new york '"", 291]",0.3961051106452942,0.6038948893547058,2
196,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212/755 -6244,` french ( classic ) ',291,"('rtable_phone', 'rtable_class')","['212-752-1495', 623]","['212/755 -6244', 291]",0.332741379737854,0.667258620262146,2
640,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.39459705352783203,0.605402946472168,2
197,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,french,291,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['french', 291]",0.40061628818511963,0.5993837118148804,2
580,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212/755 -6244,` french ( classic ) ',291,"('rtable_phone', 'rtable_class')","['212-752-1495', 623]","['212/755 -6244', 291]",0.332741379737854,0.667258620262146,2
579,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york ',212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","[""` new york '"", 291]",0.3961051106452942,0.6038948893547058,2
578,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd,` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd"", 291]",0.38294947147369385,0.6170505285263062,2
577,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` le perigord ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","[""` le perigord '"", 291]",0.33750659227371216,0.6624934077262878,2
576,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.3944026827812195,0.6055973172187805,2
224,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.39459705352783203,0.605402946472168,2
225,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,perigord ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","[""perigord '"", 291]",0.3693947196006775,0.6306052803993225,2
226,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd st. '"", 291]",0.3735997676849365,0.6264002323150635,2
227,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york ',212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","[""` new york '"", 291]",0.3961051106452942,0.6038948893547058,2
228,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212/755 -6244,` french ( classic ) ',291,"('rtable_phone', 'rtable_class')","['212-752-1495', 623]","['212/755 -6244', 291]",0.332741379737854,0.667258620262146,2
229,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,french,291,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['french', 291]",0.40061628818511963,0.5993837118148804,2
581,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,french,291,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['french', 291]",0.40061628818511963,0.5993837118148804,2
353,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` le perigord ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","[""` le perigord '"", 291]",0.33750659227371216,0.6624934077262878,2
642,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd st.,` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd st."", 291]",0.37515050172805786,0.6248494982719421,2
643,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york ',212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","[""` new york '"", 291]",0.3961051106452942,0.6038948893547058,2
117,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,delis,29,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['delis', 29]",0.317030131816864,0.682969868183136,2
738,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd st. '"", 291]",0.3735997676849365,0.6264002323150635,2
737,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` le perigord ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_name', 'rtable_class')","[""` la grenouille '"", 623]","[""` le perigord '"", 291]",0.33750659227371216,0.6624934077262878,2
736,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_class',)",[623],[291],0.39459705352783203,0.605402946472168,2
709,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212-752-1495,french,291,"('rtable_res_type', 'rtable_class')","[""` french ( classic ) '"", 623]","['french', 291]",0.40061628818511963,0.5993837118148804,2
708,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',` new york city ',212/755 -6244,` french ( classic ) ',291,"('rtable_phone', 'rtable_class')","['212-752-1495', 623]","['212/755 -6244', 291]",0.332741379737854,0.667258620262146,2
707,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 3 e. 52nd st. ',`,212-752-1495,` french ( classic ) ',291,"('rtable_city', 'rtable_class')","[""` new york city '"", 623]","['`', 291]",0.4393726587295532,0.5606273412704468,2
706,` le perigord ',' 405 e. 52nd st. ',` new york ',212/755 -6244,french,291,` la grenouille ',' 405 e. 52nd st. ',` new york city ',212-752-1495,` french ( classic ) ',291,"('rtable_addr', 'rtable_class')","[""' 3 e. 52nd st. '"", 623]","[""' 405 e. 52nd st. '"", 291]",0.3735997676849365,0.6264002323150635,2
