,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
1,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` mandarin court ',' 1510 e. flamingo rd.,` las vegas ',702/737 -1234,italian,660,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", '702-252-7702']","[""` mandarin court '"", ""' 1510 e. flamingo rd."", '702/737 -1234']",1,0,0.41190898,0.588091,3
2,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` fiore rotisserie & grille ',' 1510 e. flamingo rd.,` las vegas ',702/737 -1234,italian,443,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 3700 w. flamingo rd. '"", '702-252-7702', 660]","[""' 1510 e. flamingo rd."", '702/737 -1234', 443]",1,0,0.48636657,0.51363343,3
23,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,660,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", '702-252-7702', 'italian']","[""court '"", ""' 1510 e. flamingo rd. '"", '702/737 -1234', 'asian']",1,0,0.042409122,0.9575909,4
27,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` fiore rotisserie & grille ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,"('rtable_addr', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""' 3700 w. flamingo rd. '"", '702-252-7702', 'italian', 660]","[""' 1510 e. flamingo rd. '"", '702/737 -1234', 'asian', 443]",1,0,0.045168515,0.9548315,4
26,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` fiore rotisserie & grille ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,italian,443,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_class')","[""' 3700 w. flamingo rd. '"", ""` las vegas '"", '702-252-7702', 660]","[""' 1510 e. flamingo rd. '"", ""` las vegas '"", '702/737 -1234', 443]",1,0,0.0253065,0.9746935,4
25,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` fiore rotisserie & grille ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,660,"('rtable_addr', 'rtable_city', 'rtable_phone', 'rtable_res_type')","[""' 3700 w. flamingo rd. '"", ""` las vegas '"", '702-252-7702', 'italian']","[""' 1510 e. flamingo rd. '"", ""` las vegas '"", '702/737 -1234', 'asian']",1,0,0.34233359,0.65766644,4
24,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,italian,443,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", '702-252-7702', 660]","[""court '"", ""' 1510 e. flamingo rd. '"", '702/737 -1234', 443]",1,0,0.086304374,0.9136956,4
34,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` mandarin court ',' 1510 e.,` las vegas ',702/737 -1234,italian,660,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", ""` las vegas '"", '702-252-7702']","[""` mandarin court '"", ""' 1510 e."", ""` las vegas '"", '702/737 -1234']",1,0,0.29326984,0.7067301,4
35,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` mandarin court ',' 1510 e.,` las vegas ',702/737 -1234,asian,660,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", '702-252-7702', 'italian']","[""` mandarin court '"", ""' 1510 e."", '702/737 -1234', 'asian']",1,0,0.03952131,0.9604787,4
36,,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',702/737 -1234,asian,443,` mandarin court ',' 1510 e.,` las vegas ',702/737 -1234,italian,443,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` fiore rotisserie & grille '"", ""' 3700 w. flamingo rd. '"", '702-252-7702', 660]","[""` mandarin court '"", ""' 1510 e."", '702/737 -1234', 443]",1,0,0.020774653,0.9792253,4
