,label,latency,match,prediction,row,summary,type
0,0.0,149.00983370799804,0.0,[9.9949670e-01 5.0328183e-04],6-230,"ltable_name/ltable_addr/ltable_phone/ltable_res_type/ltable_class    0.2
dtype: float64",certa
1,1.0,160.03552258599666,1.0,[0.00228633 0.9977137 ],22-240,"ltable_addr        0.0
ltable_city        0.0
ltable_phone       0.0
ltable_res_type    0.0
ltable_class       0.0
rtable_name        0.0
rtable_addr        0.0
rtable_city        0.0
rtable_phone       0.0
rtable_res_type    0.0
rtable_class       0.0
ltable_name        0.0
dtype: float64",certa
2,0.0,193.75006564499927,0.0,[9.9939167e-01 6.0836785e-04],501-214,"rtable_addr/rtable_phone/rtable_class                    0.4
rtable_name/rtable_city/rtable_phone/rtable_class        0.4
rtable_name/rtable_phone/rtable_res_type/rtable_class    0.4
rtable_name/rtable_addr/rtable_city/rtable_phone         0.4
dtype: float64",certa
3,0.0,177.66585587101872,0.0,[9.9938357e-01 6.1636878e-04],384-300,"ltable_name/ltable_addr/ltable_city/ltable_phone/ltable_res_type/ltable_class    0.4
dtype: float64",certa
4,0.0,176.12646817500354,0.0,[9.9947387e-01 5.2616384e-04],76-26,"rtable_name/rtable_addr/rtable_phone/rtable_class       0.3
rtable_name/rtable_city/rtable_phone/rtable_res_type    0.3
dtype: float64",certa
5,0.0,153.6715577940049,0.0,[9.9945968e-01 5.4029963e-04],147-23,"rtable_name/rtable_addr/rtable_phone/rtable_class    0.4
dtype: float64",certa
6,1.0,137.6049499080109,1.0,[0.00226816 0.99773186],83-301,"ltable_addr        0.0
ltable_city        0.0
ltable_phone       0.0
ltable_res_type    0.0
ltable_class       0.0
rtable_name        0.0
rtable_addr        0.0
rtable_city        0.0
rtable_phone       0.0
rtable_res_type    0.0
rtable_class       0.0
ltable_name        0.0
dtype: float64",certa
7,0.0,157.20668836301775,0.0,[9.994369e-01 5.631129e-04],90-148,"rtable_name/rtable_phone/rtable_class               0.6
rtable_name/rtable_addr/rtable_city/rtable_phone    0.6
dtype: float64",certa
8,0.0,180.6204932559922,0.0,[9.9935013e-01 6.4991094e-04],197-251,"ltable_name/ltable_addr/ltable_city/ltable_phone        0.7
ltable_addr/ltable_city/ltable_phone/ltable_res_type    0.7
dtype: float64",certa
9,0.0,133.69573955098167,0.0,[9.994487e-01 5.512257e-04],119-82,"rtable_name/rtable_addr/rtable_city/rtable_phone/rtable_res_type/rtable_class    0.2
dtype: float64",certa
10,0.0,167.5272724390088,0.0,[9.9928975e-01 7.1023533e-04],68-288,"rtable_name/rtable_addr/rtable_phone    0.6
dtype: float64",certa
11,0.0,165.9592322790122,0.0,[9.9949312e-01 5.0684967e-04],143-0,"rtable_name/rtable_addr/rtable_phone                     0.4
rtable_name/rtable_city/rtable_phone/rtable_class        0.4
rtable_name/rtable_phone/rtable_res_type/rtable_class    0.4
rtable_addr/rtable_city/rtable_phone/rtable_class        0.4
rtable_addr/rtable_phone/rtable_res_type/rtable_class    0.4
dtype: float64",certa
12,0.0,155.11470578800072,0.0,[9.9946529e-01 5.3472037e-04],437-130,"rtable_addr/rtable_city/rtable_phone/rtable_res_type/rtable_class    0.3
rtable_name/rtable_addr/rtable_phone/rtable_class                    0.3
dtype: float64",certa
13,0.0,182.2535304230114,0.0,[0.98592293 0.01407703],292-89,"ltable_name/ltable_addr/ltable_city/ltable_class    0.7
ltable_addr/ltable_res_type/ltable_class            0.7
ltable_name/ltable_phone                            0.7
ltable_addr/ltable_phone                            0.7
ltable_city/ltable_phone                            0.7
ltable_phone/ltable_res_type                        0.7
ltable_phone/ltable_class                           0.7
dtype: float64",certa
14,0.0,174.55507229699288,0.0,[9.993895e-01 6.104908e-04],42-275,"ltable_name/ltable_addr/ltable_phone/ltable_res_type/ltable_class    0.6
dtype: float64",certa
15,0.0,178.7808681759925,0.0,[9.9917233e-01 8.2772813e-04],431-288,"rtable_city/rtable_phone/rtable_res_type/rtable_class    0.6
rtable_addr/rtable_city/rtable_res_type/rtable_class     0.6
rtable_name/rtable_phone/rtable_res_type/rtable_class    0.6
rtable_name/rtable_city/rtable_phone/rtable_res_type     0.6
rtable_name/rtable_addr/rtable_res_type/rtable_class     0.6
rtable_addr/rtable_phone/rtable_class                    0.6
rtable_name/rtable_addr/rtable_phone                     0.6
dtype: float64",certa
16,0.0,152.5830934669939,0.0,[9.9945897e-01 5.4109178e-04],131-233,"ltable_name/ltable_addr/ltable_city/ltable_phone/ltable_class    0.7
dtype: float64",certa
17,0.0,145.3240214859834,0.0,[9.994112e-01 5.888352e-04],405-172,"rtable_name/rtable_addr/rtable_city/rtable_phone/rtable_res_type/rtable_class    0.6
dtype: float64",certa
18,0.0,160.251439767977,0.0,[9.994580e-01 5.419698e-04],92-308,"ltable_addr/ltable_phone    0.1
ltable_name/ltable_phone    0.1
dtype: float64",certa
19,0.0,177.29370460199425,0.0,[9.9948847e-01 5.1153084e-04],448-125,"rtable_addr/rtable_phone/rtable_res_type/rtable_class    0.6
rtable_name/rtable_phone/rtable_class                    0.6
dtype: float64",certa
20,1.0,129.83426278299885,1.0,[0.00223127 0.99776876],84-302,"ltable_addr        0.0
ltable_city        0.0
ltable_phone       0.0
ltable_res_type    0.0
ltable_class       0.0
rtable_name        0.0
rtable_addr        0.0
rtable_city        0.0
rtable_phone       0.0
rtable_res_type    0.0
rtable_class       0.0
ltable_name        0.0
dtype: float64",certa
21,0.0,173.34335387297324,0.0,[9.994030e-01 5.969486e-04],50-242,"rtable_name/rtable_phone/rtable_res_type/rtable_class    0.5
rtable_addr/rtable_phone/rtable_res_type                 0.5
rtable_addr/rtable_phone/rtable_class                    0.5
rtable_name/rtable_addr/rtable_phone                     0.5
rtable_addr/rtable_city/rtable_phone                     0.5
rtable_name/rtable_city/rtable_phone/rtable_class        0.5
dtype: float64",certa
22,1.0,135.26035014900845,1.0,[0.00238857 0.9976114 ],74-292,"ltable_addr        0.0
ltable_city        0.0
ltable_phone       0.0
ltable_res_type    0.0
ltable_class       0.0
rtable_name        0.0
rtable_addr        0.0
rtable_city        0.0
rtable_phone       0.0
rtable_res_type    0.0
rtable_class       0.0
ltable_name        0.0
dtype: float64",certa
23,0.0,179.93640851098462,0.0,[9.9946886e-01 5.3120096e-04],443-126,"rtable_addr/rtable_city/rtable_phone/rtable_class       0.4
rtable_name/rtable_addr/rtable_phone/rtable_res_type    0.4
rtable_name/rtable_addr/rtable_phone/rtable_class       0.4
dtype: float64",certa
24,0.0,248.15745871301624,0.0,[9.9944717e-01 5.5283919e-04],50-278,"ltable_addr/ltable_city/ltable_phone/ltable_class    0.4
dtype: float64",certa
