,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Northern Downpour,Panic ! At The Disco,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Artist_Name')","['Stranger Inside', 'Shinedown']","['Northern Downpour', 'Panic ! At The Disco']",0.493546,0.506454,2
181,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Angel of Small Death and the Codeine Scene ( Album Version ),Shinedown,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,4:01,"July 29 , 2014","('rtable_Song_Name', 'rtable_Released')","['Stranger Inside', 'May 27 , 2003']","['Angel of Small Death and the Codeine Scene ( Album Version )', 'July 29 , 2014']",0.23891544,0.7610845,2
180,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Angel of Small Death and the Codeine Scene ( Album Version ),Shinedown,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,3:39,"May 27 , 2003","('rtable_Song_Name', 'rtable_Time')","['Stranger Inside', '4:01']","['Angel of Small Death and the Codeine Scene ( Album Version )', '3:39']",0.23964936,0.76035064,2
179,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Angel of Small Death and the Codeine Scene ( Album Version ),Shinedown,Leave A Whisper,Rock,$ 1.29,( P ) 1987 Zomba Productions Ltd.,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_CopyRight')","['Stranger Inside', '2015 Mad Decent']","['Angel of Small Death and the Codeine Scene ( Album Version )', '( P ) 1987 Zomba Productions Ltd.']",0.26012948,0.73987055,2
178,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Angel of Small Death and the Codeine Scene ( Album Version ),Shinedown,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Price')","['Stranger Inside', '$ 1.29']","['Angel of Small Death and the Codeine Scene ( Album Version )', '$ 1.29']",0.22500022,0.7749998,2
177,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Angel of Small Death and the Codeine Scene ( Album Version ),Shinedown,Leave A Whisper,Alternative Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Genre')","['Stranger Inside', 'Rock']","['Angel of Small Death and the Codeine Scene ( Album Version )', 'Alternative Rock']",0.21156512,0.78843486,2
44,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Where Were You ( When the World Stopped Turning ),Shinedown,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name',)",['Stranger Inside'],['Where Were You ( When the World Stopped Turning )'],0.3593808,0.64061916,2
45,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Where Were You ( When the World Stopped Turning ),Alan Jackson,Leave A Whisper,Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Artist_Name')","['Stranger Inside', 'Shinedown']","['Where Were You ( When the World Stopped Turning )', 'Alan Jackson']",0.27666846,0.7233315,2
46,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Where Were You ( When the World Stopped Turning ),Shinedown,34 Number Ones,Rock,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Album_Name')","['Stranger Inside', 'Leave A Whisper']","['Where Were You ( When the World Stopped Turning )', '34 Number Ones']",0.43382984,0.56617016,2
47,"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Shinedown,Leave a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , Alternative",$ 1.29,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,3:59,27-May-03,Where Were You ( When the World Stopped Turning ),Shinedown,Leave A Whisper,Country,$ 1.29,2015 Mad Decent,4:01,"May 27 , 2003","('rtable_Song_Name', 'rtable_Genre')","['Stranger Inside', 'Rock']","['Where Were You ( When the World Stopped Turning )', 'Country']",0.49417242,0.50582755,2
