,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,24-Nov-14,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),4:29,One Love ( Deluxe Version ),David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
1,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Dance , Rap",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:32,One Love ( Deluxe Version ),Disclosure,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"December 14 , 2010",Missing You ( Feat . Novel ; Continuous Mix Version ),4:32,1
2,Listen ( Deluxe Version ),David Guetta,"‰ ãÑ 2012 Big Machine Label Group , LLC","Alternative , Music , Rock , Adult Alternative",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:29,Pop Love,David Guetta,"( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
3,Listen ( Deluxe Version ),David Guetta,"‰ ãÑ 2012 Big Machine Label Group , LLC","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:03,One Love ( Deluxe Version ),David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:03,1
4,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,4-Dec-12,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:29,One Love ( Deluxe Version ),Mark Ronson,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
5,Listen ( Deluxe Version ),David Guetta,"‰ ãÑ 2012 Big Machine Label Group , LLC","Dance , Music , Rock , House , Electronic , French Pop",$ 0.99,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:03,One Love ( Deluxe Version ),David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:03,1
6,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Alternative , Music , Rock , Adult Alternative",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:29,Pop Love,David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
7,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:29,One Love ( Deluxe Version ),David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"December 14 , 2010",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
8,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,24-Nov-14,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:03,One Love ( Deluxe Version ),David Guetta,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:03,1
9,Listen ( Deluxe Version ),David Guetta,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","Dance , Music , Rock , House , Electronic , French Pop",$ 1.29,4-Dec-12,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],4:29,Pop Love,Mark Ronson,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,Dance & Electronic,$ 1.29,"August 21 , 2009",Missing You ( Feat . Novel ; Continuous Mix Version ),4:59,1
