,ltable_Album_Name,ltable_Artist_Name,ltable_CopyRight,ltable_Genre,ltable_Price,ltable_Released,ltable_Song_Name,ltable_Time,rtable_Album_Name,rtable_Artist_Name,rtable_CopyRight,rtable_Genre,rtable_Price,rtable_Released,rtable_Song_Name,rtable_Time,outcome
0,Flight School,Ryan Adams,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"May 27 , 2003",One Love ( Feat . Estelle ; Continuous Mix Version ),5:14,1
1,Everything Is 4,Ryan Adams,2012 PAXAM RECORDS,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 0.99,"April 21 , 2015",Kama Sutra ( feat . Kid Ink ),4:10,1
2,Live After Deaf ( Live ) [ Complete Collection ],Ryan Adams,2012 PAXAM RECORDS,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Outversion,4:10,1
3,Live After Deaf ( Live ) [ Complete Collection ],Florida Georgia Line,2009 Rostrum Records,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),4:31,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Firecracker ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ],4:31,0
4,Flight School,Ryan Adams,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",One Love ( Feat . Estelle ; Continuous Mix Version ),5:14,1
5,Live After Deaf ( Live ) [ Complete Collection ],Ryan Adams,2012 PAXAM RECORDS,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,"( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",Rap & Hip-Hop,$ 1.29,"September 10 , 2013",Missing You ( Feat . Novel ; Continuous Mix Version ),4:10,1
6,Live After Deaf ( Live ) [ Complete Collection ],Ryan Adams,2012 PAXAM RECORDS,"Singer/Songwriter , Music , Rock",$ 0.99,26-Aug-11,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Stranger Inside,4:10,1
7,Live After Deaf ( Live ) [ Complete Collection ],Ryan Adams,2012 PAXAM RECORDS,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance,Electronic,Hip-Hop / Rap , Pop/Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Shinedown,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Outversion,4:10,1
8,Live After Deaf ( Live ) [ Complete Collection ],Florida Georgia Line,2009 Rostrum Records,"Singer/Songwriter , Music , Rock",$ 0.99,27-May-03,If I Am a Stranger ( Live In Amsterdam ),4:31,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Firecracker ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ],4:31,1
9,Live After Deaf ( Live ) [ Complete Collection ],Ryan Adams,2012 PAXAM RECORDS,"Singer/Songwriter , Music , Rock",$ 0.99,2-Jul-12,If I Am a Stranger ( Live In Amsterdam ),5:10,Live At Carnegie Hall [ Explicit ],Ryan Adams,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,Rock,$ 1.29,"April 21 , 2015",Outversion,4:10,1
