,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,102.24,1
1,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,11.99,1
2,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,6426.99,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,102.24,0
3,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,8.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,102.24,1
4,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,6426.99,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,125.99,0
5,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,8.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,car audio video,lenovo,57y4167,102.24,1
6,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,32.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,arrowmounts,57y4167,203.95,1
7,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,boss,512p31310lr,6426.99,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,57y4167,125.99,0
8,evga geforce 210 512mb ddr3 pci express graphics card,electronics - general,evga,512p31310lr,249.99,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,memory,lenovo,57y4167,102.24,1
9,evga geforce 210 512mb ddr3 pci express graphics card,digital cameras,evga,512p31310lr,32.88,kodak easyshare m531 14mp 3x optical 5x digital zoom hd camera red black,nan,lenovo,01g-p3-1452-tr,102.24,1
