,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,rca vh127n antenna rotator cable,accessories,srs,vh127n,65.0,"('rtable_title', 'rtable_modelno')","['new-analog rca volume leveler - dct6s', nan]","['rca vh127n antenna rotator cable', 'vh127n']",0.13220154,0.8677985,2
48,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs cyp dct-6s television volume leveling adapter featuring srs truvolume white,audio video accessories,srs,,65.0,"('rtable_title', 'rtable_category')","['new-analog rca volume leveler - dct6s', 'accessories']","['srs labs cyp dct-6s television volume leveling adapter featuring srs truvolume white', 'audio video accessories']",0.40738901,0.592611,2
42,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,rca vh911 video switch box,accessories,srs,vh911,65.0,"('rtable_title', 'rtable_modelno')","['new-analog rca volume leveler - dct6s', nan]","['rca vh911 video switch box', 'vh911']",0.06940023,0.9305998,2
41,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,rca vh911 video switch box,connectors adapters,srs,,65.0,"('rtable_title', 'rtable_category')","['new-analog rca volume leveler - dct6s', 'accessories']","['rca vh911 video switch box', 'connectors adapters']",0.14127779,0.8587222,2
62,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black,accessories,srs,,65.0,"('rtable_title',)",['new-analog rca volume leveler - dct6s'],['srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black'],0.31379256,0.6862074,2
63,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black,mp3 player accessories,srs,,65.0,"('rtable_title', 'rtable_category')","['new-analog rca volume leveler - dct6s', 'accessories']","['srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black', 'mp3 player accessories']",0.173052,0.82694805,2
64,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black,accessories,srs labs,,65.0,"('rtable_title', 'rtable_brand')","['new-analog rca volume leveler - dct6s', 'srs']","['srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black', 'srs labs']",0.09074389,0.90925616,2
30,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,rca 25205re1 na 1-handset 2-line landline telephone,accessories,srs,,66.28,"('rtable_title', 'rtable_price')","['new-analog rca volume leveler - dct6s', 65.0]","['rca 25205re1 na 1-handset 2-line landline telephone', 66.28]",0.3627559,0.63724416,2
65,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black,accessories,srs,iwow-3d,65.0,"('rtable_title', 'rtable_modelno')","['new-analog rca volume leveler - dct6s', nan]","['srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black', 'iwow-3d']",0.48640302,0.513597,2
18,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,zax 85525 select series 2 rca plugs to rca jack y-adapter,accessories,srs,,2.0,"('rtable_title', 'rtable_price')","['new-analog rca volume leveler - dct6s', 65.0]","['zax 85525 select series 2 rca plugs to rca jack y-adapter', 2.0]",0.14055441,0.8594456,2
17,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,zax 85525 select series 2 rca plugs to rca jack y-adapter,accessories,sharp,,65.0,"('rtable_title', 'rtable_brand')","['new-analog rca volume leveler - dct6s', 'srs']","['zax 85525 select series 2 rca plugs to rca jack y-adapter', 'sharp']",0.39167708,0.608323,2
16,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,zax 85525 select series 2 rca plugs to rca jack y-adapter,connectors adapters,srs,,65.0,"('rtable_title', 'rtable_category')","['new-analog rca volume leveler - dct6s', 'accessories']","['zax 85525 select series 2 rca plugs to rca jack y-adapter', 'connectors adapters']",0.15470096,0.845299,2
66,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black,accessories,srs,,41.55,"('rtable_title', 'rtable_price')","['new-analog rca volume leveler - dct6s', 65.0]","['srs labs iwow-3d audio enhancement adaptor for iphone ipod and ipad black', 41.55]",0.32164237,0.67835766,2
