,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,kodak,electronics - general,nan,372.99,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
1,da-lite,electronics - general,nan,194.84,da-lite high power model b manual screen with csr - 84 x 84 av format,arrowmounts,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
2,da-lite,usb drives,nan,372.99,san francisco 49ers camera case,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
3,kodak,electronics - general,nan,372.99,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
4,da-lite,electronics - general,nan,372.99,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,cleaning repair,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
5,da-lite,electronics - general,nan,372.99,canon imageformula dr-2010c compact color scanner,kingston,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
6,da-lite,electronics - general,nan,372.99,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,cleaning repair,nan,24.99,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
7,da-lite,electronics - general,nan,372.99,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
8,belkin,digital cameras,nan,95.88,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
9,da-lite,usb drives,nan,372.99,da-lite high power model b manual screen with csr - 84 x 84 av format,da-lite,home audio theater,nan,904.95,da-lite advantage manual with csr - projection screen - 133 in - 16 9 - high power,1
