,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,melamine dry erase board 28 3 4 x 59 1 2 white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_title',)",['balt wheasel easel adjustable melamine dry erase board white'],['melamine dry erase board 28 3 4 x 59 1 2 white'],0.40236008167266846,0.5976399183273315,2
1,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.3009011149406433,0.6990988850593567,2
2,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.23168635368347168,0.7683136463165283,2
3,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,33250,134.45,"('rtable_modelno',)",[nan],['33250'],0.042665302753448486,0.9573346972465515,2
4,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,239.88,"('rtable_price',)",[134.45],[239.88],0.16630077362060547,0.8336992263793945,2
5,28 3 4 x 59 1 2 white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_title',)",['balt wheasel easel adjustable melamine dry erase board white'],['28 3 4 x 59 1 2 white'],0.2172796130180359,0.7827203869819641,2
6,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.23342609405517578,0.7665739059448242,2
7,4 x 59 1 2 white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_title',)",['balt wheasel easel adjustable melamine dry erase board white'],['4 x 59 1 2 white'],0.4977419972419739,0.5022580027580261,2
8,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.23168635368347168,0.7683136463165283,2
9,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,33250,134.45,"('rtable_modelno',)",[nan],['33250'],0.04200559854507446,0.9579944014549255,2
10,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,239.88,"('rtable_price',)",[134.45],[239.88],0.21336328983306885,0.7866367101669312,2
11,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.23342609405517578,0.7665739059448242,2
12,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,stationery & office machinery,balt,33250,239.88,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_title',)",['balt wheasel easel adjustable melamine dry erase board white'],['balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white'],0.4822472929954529,0.5177527070045471,2
13,balt wheasel easel adjustable melamine dry erase board white,stationery & office machinery,balt,33250,134.45,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white,laminating supplies,mayline,,134.45,"('ltable_price',)",[239.88],[134.45],0.23342615365982056,0.7665738463401794,2
