,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,4-way speakers,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['4-way speakers'],1,0,0.003087048,0.99691296,2
1,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770804,0.522292,2
2,,pioneer ts-a1683r 6.5-inch,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['pioneer ts-a1683r 6.5-inch'],1,0,0.0014439691,0.9985561,2
3,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770804,0.522292,2
4,,sony xplod xs-r1644 6-1 2 4-way speakers,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['sony xplod xs-r1644 6-1 2 4-way speakers'],1,0,0.0015935428,0.99840647,2
5,,pioneer,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['pioneer'],1,0,0.0019914508,0.99800855,2
6,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770804,0.522292,2
7,,pioneer ts-a1683r,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['pioneer ts-a1683r'],1,0,0.0015664651,0.99843353,2
8,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770795,0.522292,2
9,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,car stereos,pioneer,ts-a1683r,46.99,"('rtable_category',)",['coaxial speakers'],['car stereos'],1,0,0.30055574,0.6994443,2
10,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,car stereos,pioneer,ts-a1683r,46.99,"('rtable_category',)",['coaxial speakers'],['car stereos'],1,0,0.30055574,0.6994443,2
11,,speakers,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_title',)",['pioneer 6.5 3-way speakers 300w'],['speakers'],1,0,0.0020074542,0.9979925,2
12,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770795,0.522292,2
13,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1683r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,coaxial speakers,pioneer,ts-a1683r,46.99,"('ltable_modelno',)",['ts-a1674r'],['ts-a1683r'],1,0,0.47770804,0.522292,2
14,,pioneer 6.5 3-way speakers 300w,car stereos,pioneer,ts-a1674r,90.88,pioneer ts-a1683r 6.5-inch 280-watt 4-way speakers,car stereos,pioneer,ts-a1683r,46.99,"('rtable_category',)",['coaxial speakers'],['car stereos'],1,0,0.30055574,0.6994443,2
