,label,latency,match,prediction,row,summary,type
0,0.0,30.451879094995093,0.0,[9.9990153e-01 9.8421915e-05],1853-2139,"rtable_modelno    0.2
dtype: float64",certa
1,0.0,36.545128226003726,0.0,[9.9991441e-01 8.5576154e-05],621-3167,"ltable_title    0.4
dtype: float64",certa
2,0.0,39.756856842999696,0.0,[9.9991715e-01 8.2824838e-05],2115-8789,"ltable_title    0.1
dtype: float64",certa
3,0.0,37.0126323630102,0.0,[9.9978966e-01 2.1039181e-04],278-9064,"rtable_title    0.4
dtype: float64",certa
4,0.0,36.75115195999388,0.0,[9.999201e-01 7.981376e-05],1673-13279,"ltable_title    0.5
dtype: float64",certa
5,0.0,35.888003173007746,0.0,[9.999232e-01 7.676041e-05],2305-2948,"ltable_title    0.1
dtype: float64",certa
6,0.0,33.310318616000586,0.0,[9.9991119e-01 8.8813234e-05],1543-10366,"rtable_title    0.4
dtype: float64",certa
7,1.0,30.962798152992036,1.0,[0.00193841 0.9980616 ],88-3269,"rtable_modelno    0.6
dtype: float64",certa
8,0.0,28.071454913006164,0.0,[0.9977865  0.00221347],1718-11835,"ltable_title    0.2
dtype: float64",certa
9,1.0,30.775323276990093,1.0,[0.00142747 0.99857247],1624-5013,"rtable_modelno    0.2
dtype: float64",certa
10,0.0,31.013760016998276,1.0,[0.00862972 0.9913702 ],614-5969,"rtable_modelno    0.5
dtype: float64",certa
11,0.0,33.301999995004735,0.0,[9.999052e-01 9.477480e-05],768-10397,"ltable_modelno    0.7
dtype: float64",certa
12,0.0,35.27155822500936,0.0,[9.9988961e-01 1.1042107e-04],2476-18730,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
13,1.0,30.849531542990007,1.0,[0.00117661 0.99882334],470-10874,"rtable_modelno    0.1
dtype: float64",certa
14,0.0,40.901842826991924,0.0,[9.9990511e-01 9.4908115e-05],2223-10753,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
15,0.0,38.0623409349937,0.0,[9.9967527e-01 3.2473975e-04],1512-19684,"ltable_title    0.7
dtype: float64",certa
16,0.0,36.3336105710041,0.0,[9.9991024e-01 8.9703703e-05],1136-17384,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
17,0.0,30.816795032005757,0.0,[9.9991286e-01 8.7124485e-05],2089-687,"ltable_title    0.5
dtype: float64",certa
18,0.0,52.84086440700048,0.0,[9.9983096e-01 1.6895389e-04],2020-18153,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
19,0.0,54.3771181589982,0.0,[9.999105e-01 8.949302e-05],95-12,"ltable_title    0.7
dtype: float64",certa
20,0.0,50.965200835998985,0.0,[9.9971002e-01 2.8995535e-04],2248-4299,"ltable_title    0.6
dtype: float64",certa
21,0.0,39.00930244299525,0.0,[9.9983037e-01 1.6959889e-04],896-1632,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
22,1.0,32.04654526399099,1.0,[0.00117899 0.99882096],1534-1090,"rtable_price       0.0
rtable_brand       0.0
rtable_category    0.0
rtable_title       0.0
ltable_price       0.0
ltable_modelno     0.0
ltable_brand       0.0
ltable_category    0.0
ltable_title       0.0
dtype: float64",certa
23,0.0,32.2208029320027,0.0,[9.997106e-01 2.893095e-04],2118-5344,"rtable_modelno    0.6
dtype: float64",certa
24,0.0,26.485351246999926,0.0,[0.99058306 0.00941689],54-649,"ltable_price       0.6
ltable_modelno     0.6
ltable_brand       0.6
ltable_category    0.6
ltable_title       0.6
dtype: float64",certa
