,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
0,"{'ltable_description': 0.17112739128815166, 'ltable_name': -0.011575637623221622, 'ltable_price': -0.0005927796430724092, 'rtable_description': 0.18732095490459041, 'rtable_name': 0.11854152140298971, 'rtable_price': 0.006289371754496561, 'type': 'landmark'}",0.0,11.105040873982944,1.0,[0.39660192 0.6033981 ],719-812,"[0.5830576, 0.5830576]","[0.6019779, 0.6139495]",landmark
1,"{'ltable_description': 0.27078215260906585, 'ltable_name': 0.02743028620959433, 'ltable_price': 0.004991609135592158, 'rtable_description': 0.20347829369156115, 'rtable_name': 0.009730732303066893, 'rtable_price': -0.010319849887017795, 'type': 'landmark'}",0.0,9.738506541005336,1.0,[0.2857195 0.7142804],550-664,"[0.72893363, 0.72893363]","[0.7860738, 0.7874498]",landmark
2,"{'ltable_description': 0.18280511600819002, 'ltable_name': 0.014604418821260182, 'ltable_price': 0.005522315695256486, 'rtable_description': -0.007095737685816194, 'rtable_name': 0.0066562494319863325, 'rtable_price': 0.01630728532060803, 'type': 'landmark'}",0.0,15.851766860985663,1.0,[0.28930807 0.7106919 ],643-636,"[0.7166642, 0.72037655]","[0.72330534, 0.7082112]",landmark
3,"{'ltable_description': 0.14579650981134817, 'ltable_name': 0.020487964438411613, 'ltable_price': 0.0083881541569646, 'rtable_description': 0.1807341538191612, 'rtable_name': 0.04997836600783684, 'rtable_price': 0.001870360352538161, 'type': 'landmark'}",0.0,16.06657098897267,1.0,[0.2864328 0.7135672],495-578,"[0.6884353, 0.6884353]","[0.7225003, 0.76876307]",landmark
4,"{'ltable_description': 0.19280652907727366, 'ltable_name': 0.01392940177755458, 'ltable_price': 0.005726784423928712, 'rtable_description': -0.006234079874725494, 'rtable_name': 0.020344945853385678, 'rtable_price': 0.004954234090172528, 'type': 'landmark'}",0.0,11.107472204021178,1.0,[0.30629814 0.6937018 ],994-336,"[0.7058086, 0.7048794]","[0.70868886, 0.7367024]",landmark
5,"{'ltable_description': 0.1691183345656521, 'ltable_name': 0.038656570560931476, 'ltable_price': 0.009844439695698176, 'rtable_description': 0.1190881288350325, 'rtable_name': -0.03669641545337933, 'rtable_price': 0.0009933642115533435, 'type': 'landmark'}",0.0,10.377024388988502,1.0,[0.30043048 0.6995695 ],808-127,"[0.7516372, 0.7516372]","[0.7541588, 0.7541547]",landmark
6,"{'ltable_description': 0.2243996776673612, 'ltable_name': 0.0045904215132284015, 'ltable_price': -0.0006595559162401539, 'rtable_description': 0.12733589817832452, 'rtable_name': 0.011509866918746394, 'rtable_price': 0.0009864973210233431, 'type': 'landmark'}",0.0,13.28105123899877,1.0,[0.22867897 0.771321  ],987-980,"[0.81251603, 0.81251603]","[0.8114477, 0.8090364]",landmark
7,"{'ltable_description': 0.09571726412744465, 'ltable_name': 0.02963010728332543, 'ltable_price': -0.0004691149081302447, 'rtable_description': 0.09010942571275493, 'rtable_name': 0.031410062635148076, 'rtable_price': 0.0013885358380449795, 'type': 'landmark'}",0.0,10.509271484974306,1.0,[0.44447625 0.5555237 ],332-237,"[0.5601935, 0.5601935]","[0.59395224, 0.592794]",landmark
8,"{'ltable_description': 0.18408994810014806, 'ltable_name': 0.0236493662074538, 'ltable_price': -0.01044144664269189, 'rtable_description': 0.23260197947034184, 'rtable_name': -0.02434592625150153, 'rtable_price': 0.005819800254007967, 'type': 'landmark'}",0.0,11.186491894011851,1.0,[0.30129665 0.69870335],994-732,"[0.6880806, 0.6880806]","[0.7012218, 0.71737593]",landmark
9,"{'ltable_description': 0.18541128485148267, 'ltable_name': 0.016962929016201066, 'ltable_price': -0.002985388862516772, 'rtable_description': 0.06913196774498818, 'rtable_name': 0.003966240669383867, 'rtable_price': 0.0061996151338145795, 'type': 'landmark'}",0.0,13.058568414999172,1.0,[0.29518315 0.7048168 ],764-141,"[0.72411036, 0.72411036]","[0.73123103, 0.744898]",landmark
