,explanation,label,latency,match,prediction,row,score_copy,score_drop,type
0,"{'ltable_description': 0.13408204732462764, 'ltable_name': 0.0, 'ltable_price': 0.11632627960294484, 'rtable_description': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.16626576667651533, 'type': 'shap'}",0.0,4.644273666024674,1.0,[0.39660192 0.6033981 ],719-812,"[0.6033981, 0.61569417]","[0.5975753, 0.6117107]",shap
1,"{'ltable_description': 0.21706943198801987, 'ltable_name': 0.0, 'ltable_price': 0.0, 'rtable_description': 0.0, 'rtable_name': 0.13001636331989652, 'rtable_price': 0.11058324048443435, 'type': 'shap'}",0.0,4.737606693000998,1.0,[0.2857195 0.7142804],550-664,"[0.72893363, 0.75032365]","[0.7860738, 0.7865376]",shap
2,"{'ltable_description': 0.16434961680443053, 'ltable_name': 0.05031233197258361, 'ltable_price': 0.1834387414686142, 'rtable_description': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.0, 'type': 'shap'}",0.0,5.516704134002794,1.0,[0.28930807 0.7106919 ],643-636,"[0.7007695, 0.72168887]","[0.6892674, 0.7302663]",shap
3,"{'ltable_description': 0.122028396980216, 'ltable_name': 0.11883128591502704, 'ltable_price': 0.053153375269224146, 'rtable_description': -0.025414238907396802, 'rtable_name': 0.13882856738443194, 'rtable_price': 0.0, 'type': 'shap'}",0.0,5.872338753018994,1.0,[0.2864328 0.7135672],495-578,"[0.70304066, 0.7366666]","[0.6985131, 0.7464404]",shap
4,"{'ltable_description': 0.0, 'ltable_name': 0.2682902946074805, 'ltable_price': 0.0, 'rtable_description': 0.20858179452163844, 'rtable_name': -0.32415558711403913, 'rtable_price': 0.19368729167750898, 'type': 'shap'}",0.0,4.851477659016382,1.0,[0.30629814 0.6937018 ],994-336,"[0.69523394, 0.68356663]","[0.6788587, 0.68244416]",shap
5,"{'ltable_description': 0.0, 'ltable_name': 0.1366070039783204, 'ltable_price': 0.09654760156358996, 'rtable_description': 0.08667948339666637, 'rtable_name': 0.0, 'rtable_price': 0.08703873608793539, 'type': 'shap'}",0.0,4.66409748402657,1.0,[0.30043048 0.6995695 ],808-127,"[0.7221042, 0.7221042]","[0.67067873, 0.65970653]",shap
6,"{'ltable_description': 0.0, 'ltable_name': -0.0873635199666023, 'ltable_price': 0.1618564900755881, 'rtable_description': 0.0, 'rtable_name': 0.1853063341975213, 'rtable_price': 0.2274309530854225, 'type': 'shap'}",0.0,5.522714847989846,1.0,[0.22867897 0.771321  ],987-980,"[0.76756364, 0.7913934]","[0.7565386, 0.76796937]",shap
7,"{'ltable_description': 0.0, 'ltable_name': 0.10177775166928772, 'ltable_price': 0.1613968890532851, 'rtable_description': 0.0, 'rtable_name': 0.09634827591478817, 'rtable_price': 0.05609528068453079, 'type': 'shap'}",0.0,4.75984018901363,1.0,[0.44447625 0.5555237 ],332-237,"[0.5194244, 0.72562045]","[0.5657836, 0.5279407]",shap
8,"{'ltable_description': 0.055940058624202496, 'ltable_name': 0.10944009287790821, 'ltable_price': 0.14402233041145585, 'rtable_description': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.0, 'type': 'shap'}",0.0,5.074136962008197,1.0,[0.30129665 0.69870335],994-732,"[0.7162031, 0.70957553]","[0.6862077, 0.67172503]",shap
9,"{'ltable_description': 0.0, 'ltable_name': 0.0, 'ltable_price': 0.16181566575711417, 'rtable_description': 0.09155930905179546, 'rtable_name': 0.1533587925813415, 'rtable_price': 0.0, 'type': 'shap'}",0.0,5.161357037955895,1.0,[0.29518315 0.7048168 ],764-141,"[0.7048168, 0.70736086]","[0.69303393, 0.72135735]",shap
10,"{'ltable_description': 0.0, 'ltable_name': 0.17852576163308373, 'ltable_price': 0.01878668918691831, 'rtable_description': 0.19943759817501594, 'rtable_name': 0.0, 'rtable_price': 0.0, 'type': 'shap'}",0.0,4.6008274799678475,1.0,[0.3524831  0.64751685],805-399,"[0.62653524, 0.6958863]","[0.649446, 0.61057115]",shap
11,"{'ltable_description': 0.12818178123897978, 'ltable_name': 0.21407024668322677, 'ltable_price': 0.19366356372833254, 'rtable_description': 0.0, 'rtable_name': 0.19232885241508474, 'rtable_price': -0.2991201918654973, 'type': 'shap'}",0.0,5.556102979986463,1.0,[0.26942772 0.7305723 ],987-653,"[0.70435166, 0.70435166]","[0.7079389, 0.70171744]",shap
12,"{'ltable_description': 0.0, 'ltable_name': 0.2182000544667243, 'ltable_price': 0.21817853420972821, 'rtable_description': -0.4488139772415163, 'rtable_name': 0.26257215172052384, 'rtable_price': 0.20511125117540385, 'type': 'shap'}",0.0,5.379611223994289,1.0,[0.2917084  0.70829165],710-660,"[0.70900774, 0.70900774]","[0.7110597, 0.7131109]",shap
13,"{'ltable_description': 0.0, 'ltable_name': 0.09567724322900176, 'ltable_price': 0.14942009055055677, 'rtable_description': 0.07350124888587745, 'rtable_name': 0.07152283378411084, 'rtable_price': 0.0, 'type': 'shap'}",0.0,5.401470233977307,1.0,[0.29862773 0.70137227],191-301,"[0.71040565, 0.7107992]","[0.68681437, 0.68955374]",shap
14,"{'ltable_description': 0.0, 'ltable_name': 0.0, 'ltable_price': 0.1819337520003319, 'rtable_description': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.18239804595708842, 'type': 'shap'}",0.0,5.1032349659944884,1.0,[0.3236707 0.6763293],169-235,"[0.6786056, 0.6786056]","[0.67062986, 0.6678847]",shap
15,"{'ltable_description': 0.0, 'ltable_name': 0.12341869503259667, 'ltable_price': 0.0, 'rtable_description': 0.16222614064812652, 'rtable_name': 0.02899372711777687, 'rtable_price': 0.08100111126899717, 'type': 'shap'}",0.0,5.064998957968783,1.0,[0.28205207 0.7179479 ],280-300,"[0.7165767, 0.70308465]","[0.7257204, 0.7319809]",shap
16,"{'ltable_description': 0.129036511083444, 'ltable_name': 0.0, 'ltable_price': 0.0, 'rtable_description': 0.0, 'rtable_name': 0.10229494611422213, 'rtable_price': 0.21979751855134966, 'type': 'shap'}",0.0,5.616859784000553,1.0,[0.2944896  0.70551044],572-695,"[0.7044584, 0.71742463]","[0.6985134, 0.7563842]",shap
17,"{'ltable_description': 0.0, 'ltable_name': 0.21019467137076642, 'ltable_price': 0.06396478400989003, 'rtable_description': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.14221512488343502, 'type': 'shap'}",0.0,5.051179856993258,1.0,[0.34274417 0.6572559 ],692-785,"[0.6364864, 0.6364864]","[0.61854255, 0.61561465]",shap
