,ltable_id,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_id,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,diff,attr_name,attr_pos,id,match_score
0,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,,,,0@1853#1@1853,0.08902641
1,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22074,16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,+set(),rtable_title,7,0@1853#1@22074,0.12329237
2,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22075,sony,usb drives,,sf16n4/tqp,,"-{'16gb', 'card', 'class', '4', '0.0', 'sd', 'memory'}",rtable_title,7,0@1853#1@22075,0.10536461
3,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22076,class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,-{'16gb'},rtable_title,7,0@1853#1@22076,0.10368861
4,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22077,sony 16gb,usb drives,,sf16n4/tqp,,"-{'card', 'class', '4', '0.0', 'sd', 'memory'}",rtable_title,7,0@1853#1@22077,0.089610584
5,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22078,4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'class'}",rtable_title,7,0@1853#1@22078,0.09148375
6,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22079,sony 16gb class,usb drives,,sf16n4/tqp,,"-{'card', '4', '0.0', 'sd', 'memory'}",rtable_title,7,0@1853#1@22079,0.1067731
7,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22080,sd memory card sony 0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'class', '4'}",rtable_title,7,0@1853#1@22080,0.10301653
8,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22081,sony 16gb class 4,usb drives,,sf16n4/tqp,,"-{'card', '0.0', 'sd', 'memory'}",rtable_title,7,0@1853#1@22081,0.10802951
9,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22082,memory card sony 0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'class', '4', 'sd'}",rtable_title,7,0@1853#1@22082,0.10884857
10,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22083,sony 16gb class 4 sd,usb drives,,sf16n4/tqp,,"-{'card', '0.0', 'memory'}",rtable_title,7,0@1853#1@22083,0.0983122
11,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22084,card sony 0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'class', '4', 'sd', 'memory'}",rtable_title,7,0@1853#1@22084,0.17123073
12,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22085,sony 16gb class 4 sd memory,usb drives,,sf16n4/tqp,,"-{'card', '0.0'}",rtable_title,7,0@1853#1@22085,0.083749704
13,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22086,sony 0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'card', 'class', '4', 'sd', 'memory'}",rtable_title,7,0@1853#1@22086,0.14386788
14,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22087,sony 16gb class 4 sd memory card,usb drives,,sf16n4/tqp,,-{'0.0'},rtable_title,7,0@1853#1@22087,0.081654735
15,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22088,0.0,usb drives,,sf16n4/tqp,,"-{'16gb', 'card', 'class', '4', 'sony', 'sd', 'memory'}",rtable_title,7,0@1853#1@22088,0.13524282
16,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22089,sony 16gb class 4 sd memory card sony,usb drives,,sf16n4/tqp,,-{'0.0'},rtable_title,7,0@1853#1@22089,0.07846031
17,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22090,sony 16gb class 4 sd memory card sony 0.0,drives,,sf16n4/tqp,,-{'usb'},rtable_category,8,0@1853#1@22090,0.092203155
18,1853,sony 16gb class 4 sd memory card sony 0.0,usb drives,,sf16n4/tqp,,22091,sony 16gb class 4 sd memory card sony 0.0,usb,,sf16n4/tqp,,-{'drives'},rtable_category,8,0@1853#1@22091,0.101175554
0,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,,,,0@2139#1@2139,0.21393089
1,2554,4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,+set(),ltable_title,1,0@2554#1@2139,0.2506994
2,2555,pny,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'class', 'car', '11.18', 'navy', '4gb', '4', 'audio', 'sd'}",ltable_title,1,0@2555#1@2139,0.11549928
3,2556,class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,-{'4gb'},ltable_title,1,0@2556#1@2139,0.29251733
4,2557,pny 4gb,,,,,2139,pny 4gb class 4 navy sd card car audio video pny p-sdhc4g4-ef / navy 11.18,,,,,"-{'card', 'video', '/', 'p-sdhc4g4-ef', 'class', 'car', '11.18', 'navy', '4', 'audio', 'sd'}",ltable_title,1,0@2557#1@2139,0.107732646
