,explanation,label,latency,match,prediction,row,type
0,"{'ltable_description': -0.19299805726663055, 'ltable_name': -0.03745288800105562, 'ltable_price': 0.004984105044172447, 'rtable_description': -0.14751932801573947, 'rtable_name': -0.001980013446362705, 'rtable_price': 0.007555361406089157}",0.0,2.179458895989228,0.0,[0.9803657  0.01963433],445-910,landmark
1,"{'ltable_description': -0.1608527697789483, 'ltable_name': -0.019242708386139507, 'ltable_price': -0.007179536560564404, 'rtable_description': 0.006966475129563698, 'rtable_name': 0.009375698249777995, 'rtable_price': 0.00020052782658398934}",0.0,2.086548686027527,0.0,[0.8993323  0.10066776],719-812,landmark
2,"{'ltable_description': -0.18812469209271007, 'ltable_name': -0.03626431411281583, 'ltable_price': 0.0005659733904116759, 'rtable_description': -0.06576461321254821, 'rtable_name': 0.019665286805673903, 'rtable_price': -0.0033956908974916615}",0.0,2.134213063050993,0.0,[0.9941512  0.00584884],550-664,landmark
3,"{'ltable_description': -0.10199057011742826, 'ltable_name': -0.022696483786112328, 'ltable_price': 0.006196713303326832, 'rtable_description': -0.057985144250541715, 'rtable_name': 0.0008703945945162656, 'rtable_price': -0.0007890141831838292}",1.0,2.3468255609623156,0.0,[0.9657647 0.0342353],942-949,landmark
4,"{'ltable_description': -0.29983439087545627, 'ltable_name': 0.027406158552398648, 'ltable_price': -0.0058105394292686015, 'rtable_description': -0.03332300525182974, 'rtable_name': -0.02975503718617231, 'rtable_price': 0.00023837189677896383}",0.0,2.59845171199413,0.0,[0.86740214 0.13259783],643-636,landmark
5,"{'ltable_description': -0.0989305588633001, 'ltable_name': -0.005772432389602835, 'ltable_price': 0.004631506961142803, 'rtable_description': -0.04198931515978695, 'rtable_name': -0.01045577381386569, 'rtable_price': 0.004993939156322175}",0.0,2.4020863979822025,0.0,[0.965851 0.034149],495-578,landmark
6,"{'ltable_description': -0.06980833620538635, 'ltable_name': 0.0009886002496247062, 'ltable_price': -0.0038574290904327246, 'rtable_description': -0.04964509908859425, 'rtable_name': -0.004524419516587604, 'rtable_price': 0.0038700900291123927}",0.0,1.908402145956643,0.0,[0.99729365 0.00270633],994-336,landmark
7,"{'ltable_description': -0.22352909515230346, 'ltable_name': -0.036321070236368755, 'ltable_price': -0.003198991042128113, 'rtable_description': 0.05052128703927404, 'rtable_name': 0.06413692163521188, 'rtable_price': 0.001430629888230574}",0.0,1.9475522689754143,0.0,[0.9735527  0.02644733],808-127,landmark
8,"{'ltable_description': -0.22892312319178446, 'ltable_name': -0.003666673494226155, 'ltable_price': -0.005070851350827481, 'rtable_description': -0.033577308036195075, 'rtable_name': -0.002234031180117383, 'rtable_price': -0.007499989054594566}",0.0,2.093738095019944,0.0,[0.8839233  0.11607669],987-980,landmark
9,"{'ltable_description': -0.2779316886046135, 'ltable_name': -0.08544908003590694, 'ltable_price': -0.009268524783580603, 'rtable_description': 0.020645262630721355, 'rtable_name': 0.009032047571938151, 'rtable_price': -0.003954379478831062}",0.0,1.8125480089802295,0.0,[0.9726782  0.02732181],332-237,landmark
10,"{'ltable_description': -0.21421276773991113, 'ltable_name': -0.007613337392307247, 'ltable_price': -0.004309793444990863, 'rtable_description': 0.02145228996545467, 'rtable_name': -0.045909002194028256, 'rtable_price': -0.0022582395159856158}",0.0,2.049938298005145,0.0,[0.98360956 0.01639043],994-732,landmark
11,"{'ltable_description': -0.1805003173747681, 'ltable_name': 0.004892545619234107, 'ltable_price': -0.005964240138171082, 'rtable_description': -0.042610400078499124, 'rtable_name': 0.03273467925408457, 'rtable_price': 0.010447295277509748}",0.0,2.1453254990046844,0.0,[0.9886286  0.01137138],764-141,landmark
12,"{'ltable_description': -0.31225978518117814, 'ltable_name': 0.005945586410851939, 'ltable_price': 0.011982937089863418, 'rtable_description': -0.07070405699000841, 'rtable_name': -0.00773814111224608, 'rtable_price': 0.00791280934638269}",0.0,2.4960154150030576,0.0,[0.97093177 0.02906825],615-640,landmark
13,"{'ltable_description': -0.14193479049061208, 'ltable_name': -0.014402305211842955, 'ltable_price': 0.002374454078023702, 'rtable_description': -0.03728953051214381, 'rtable_name': 0.028170896753882953, 'rtable_price': 0.0013210061804366552}",0.0,2.088369184988551,0.0,[0.97805697 0.02194296],431-71,landmark
14,"{'ltable_description': -0.33750605424585095, 'ltable_name': 0.007291906176907289, 'ltable_price': -0.002068200225183667, 'rtable_description': -0.02070569537047332, 'rtable_name': 0.08051957744934118, 'rtable_price': 0.0035451176191288996}",0.0,1.83188356901519,0.0,[0.9492747  0.05072524],805-399,landmark
15,"{'ltable_description': -0.20241010104791587, 'ltable_name': -0.02281926961594076, 'ltable_price': 0.002809134420679914, 'rtable_description': -0.10842373919434863, 'rtable_name': 0.0040634217206780695, 'rtable_price': 0.01121863409886106}",0.0,2.1479801799869165,0.0,[0.9325273  0.06747268],987-653,landmark
16,"{'ltable_description': -0.23840694008378396, 'ltable_name': -0.03371901275864171, 'ltable_price': 0.002129339337753808, 'rtable_description': 0.01722525388886524, 'rtable_name': 0.017554991788306506, 'rtable_price': 0.007783167085372777}",0.0,1.975269088987261,0.0,[0.9332694  0.06673063],710-660,landmark
17,"{'ltable_description': -0.1519784091935142, 'ltable_name': -0.0242509366720405, 'ltable_price': -0.0018090598348670872, 'rtable_description': -0.08772020194041548, 'rtable_name': 0.009084835767089693, 'rtable_price': 0.01007975335769553}",0.0,1.9585571219795384,0.0,[0.94259286 0.05740708],191-301,landmark
18,"{'ltable_description': -0.7948011001572892, 'ltable_name': 0.012875937837679142, 'ltable_price': 0.0009458959038310295, 'rtable_description': 0.01039505724349937, 'rtable_name': -0.08895025825524304, 'rtable_price': 0.03484666731527781}",0.0,1.8811415340169333,0.0,[0.96143436 0.03856568],169-235,landmark
