,explanation,label,latency,match,prediction,row,type
0,"{'ltable_description': 7.077792545623091e-34, 'ltable_id': 8.61853650113288e-33, 'ltable_name': -2.311115933264683e-33, 'rtable_description': 3.282105613559915e-33, 'rtable_id': 8.425943506694157e-33, 'rtable_name': 1.2839532962581572e-34, 'rtable_price': 4.9111213581874514e-33}",0.0,1.330251784005668,0.0,[0.9803657  0.01963433],445-910,mojito-c
1,"{'ltable_description': 1.4704735386199841e-33, 'ltable_id': 1.4444474582904269e-34, 'ltable_name': 1.6009292662718898e-33, 'rtable_id': 3.163339933656035e-32, 'rtable_name': -1.7453740121009325e-33}",0.0,1.2424658089876175,0.0,[0.8993323  0.10066776],719-812,mojito-c
2,"{'ltable_description': 1.328227547853266e-35, 'ltable_id': 1.2037062152420224e-35, 'ltable_name': -1.8055593228630336e-35, 'rtable_description': -5.29845682244926e-35, 'rtable_id': 5.055566104016494e-34, 'rtable_name': -2.467597741246146e-34, 'rtable_price': -8.726870060504662e-35}",0.0,1.1563003240153193,0.0,[0.9941512  0.00584884],550-664,mojito-c
3,"{'ltable_description': 3.011271913242661e-14, 'ltable_id': 7.992056929933583e-12, 'ltable_name': 8.076615158329099e-13, 'rtable_description': 6.273455343763737e-14, 'rtable_id': 1.6471741076006097e-13, 'rtable_name': -1.3696052352883108e-12}",1.0,1.5459704829845577,0.0,[0.9657647 0.0342353],942-949,mojito-c
4,"{'ltable_description': 1.4544091325655009e-12, 'ltable_id': -4.678322588067181e-11, 'ltable_name': 6.477577811235572e-12, 'ltable_price': 2.924619739501869e-10, 'rtable_description': -1.028445150444659e-12, 'rtable_id': -2.8722589295476126e-10, 'rtable_name': -3.278628604668492e-11}",0.0,1.5947205889970064,0.0,[0.86740214 0.13259783],643-636,mojito-c
5,"{'ltable_description': 1.1641558681697845e-33, 'ltable_id': 2.673431504052532e-32, 'ltable_name': -4.3754720924047515e-33, 'rtable_description': 1.9018558200823954e-33, 'rtable_id': 1.507040181483012e-32, 'rtable_name': 3.9000081373841526e-33, 'rtable_price': 4.887047233882611e-33}",0.0,1.4610201669856906,0.0,[0.965851 0.034149],495-578,mojito-c
6,"{'ltable_description': 4.1461072628328554e-14, 'ltable_id': 2.891600233862891e-13, 'ltable_name': -1.9478025842891422e-13, 'rtable_description': -7.550480792600784e-14, 'rtable_id': -7.693363538092588e-13, 'rtable_name': 1.569042634183832e-13}",0.0,1.1726757169817574,0.0,[0.99729365 0.00270633],994-336,mojito-c
7,"{'ltable_description': 2.1894414291201863e-12, 'ltable_id': 1.4517191957436026e-10, 'ltable_name': -4.8703096980395356e-11, 'rtable_id': 1.5737776961334478e-11, 'rtable_name': 6.878106638549063e-12}",0.0,1.0420240990351886,0.0,[0.9735527  0.02644733],808-127,mojito-c
8,"{'ltable_description': -2.665996002428568e-12, 'ltable_id': -2.5991884812470453e-11, 'ltable_name': 1.7668625148363092e-11, 'rtable_description': -2.778615774505232e-12, 'rtable_id': 7.809051415791525e-11, 'rtable_name': -8.53028386236961e-12, 'rtable_price': -4.12552362861929e-12}",0.0,1.309915270016063,0.0,[0.8839233  0.11607669],987-980,mojito-c
9,"{'ltable_description': -5.762077904729007e-12, 'ltable_id': -2.3671370097623716e-10, 'ltable_name': 7.279778036144717e-11, 'rtable_description': -7.261541436752038e-11, 'rtable_id': -4.0735388042940327e-10, 'rtable_name': 3.521921903242745e-11, 'rtable_price': 4.2279929100017734e-10}",0.0,1.2014801420154981,0.0,[0.9726782  0.02732181],332-237,mojito-c
10,"{'ltable_description': -7.549987015142987e-13, 'ltable_id': 2.4483715179040014e-11, 'ltable_name': 2.1374636278648307e-13, 'rtable_description': -1.3001361043394023e-12, 'rtable_id': -3.1125711439444714e-11, 'rtable_name': -8.007111372744838e-13, 'rtable_price': -2.0674303887706485e-11}",0.0,1.3512051989673637,0.0,[0.98360956 0.01639043],994-732,mojito-c
11,"{'ltable_description': -5.803575046328831e-13, 'ltable_id': -8.020700721513258e-11, 'ltable_name': 2.9629638105984354e-11, 'rtable_description': -3.957361066403948e-11, 'rtable_id': -9.929535787518892e-11, 'rtable_name': 6.644000435152685e-11}",0.0,1.3537991939811036,0.0,[0.9886286  0.01137138],764-141,mojito-c
12,"{'ltable_description': -1.872966870916587e-34, 'ltable_id': -6.0907534491246334e-33, 'ltable_name': 3.448618306668394e-33, 'rtable_description': -6.7407548053553255e-34, 'rtable_id': 5.970382827600431e-33, 'rtable_name': -5.010427120944918e-34}",0.0,1.4175734120071866,0.0,[0.97093177 0.02906825],615-640,mojito-c
13,"{'ltable_description': 3.5077622932422633e-12, 'ltable_id': -1.3828921554675983e-10, 'ltable_name': -3.239443820685735e-12, 'rtable_description': 3.35496250353831e-11, 'rtable_id': -3.432977087587987e-11, 'rtable_name': -1.7936649643484545e-12, 'rtable_price': -1.457280244769599e-10}",0.0,1.3074122149846517,0.0,[0.97805697 0.02194296],431-71,mojito-c
14,"{'ltable_description': 2.2411341195770222e-12, 'ltable_id': 4.425122744729158e-11, 'ltable_name': 8.793141349352063e-12, 'rtable_description': -3.6461051523743365e-11, 'rtable_id': 4.011853193062881e-11, 'rtable_name': 7.85039801729452e-12, 'rtable_price': -1.1602811573195554e-10}",0.0,1.0192664409987628,0.0,[0.9492747  0.05072524],805-399,mojito-c
15,"{'ltable_description': 2.363476387657311e-13, 'ltable_id': 3.5916453178077773e-12, 'ltable_name': -3.7425926053339534e-12, 'rtable_description': 8.76681490307112e-13, 'rtable_id': 4.347052225319521e-12, 'rtable_name': 1.7362825811686693e-12}",0.0,1.222365522000473,0.0,[0.9325273  0.06747268],987-653,mojito-c
16,"{'ltable_description': -8.549628560806074e-13, 'ltable_id': -8.628847100663799e-11, 'ltable_name': -8.313470867092602e-12, 'rtable_description': -4.987068701280418e-12, 'rtable_id': -1.0701789767212259e-11, 'rtable_name': 1.6052520827456228e-12, 'rtable_price': 1.3421103398724256e-10}",0.0,1.2671547749778256,0.0,[0.9332694  0.06673063],710-660,mojito-c
17,"{'ltable_description': 0.0, 'ltable_id': 0.0, 'ltable_name': 0.0, 'rtable_description': 0.0, 'rtable_id': 0.0, 'rtable_name': 0.0, 'rtable_price': 0.0}",0.0,1.2588742449879646,0.0,[0.94259286 0.05740708],191-301,mojito-c
18,"{'ltable_description': 9.801191064047975e-12, 'ltable_id': -1.1811272448509044e-11, 'ltable_name': 1.7387587196372743e-11, 'rtable_description': 2.3436451594108864e-11, 'rtable_id': 2.0864312052839636e-11, 'rtable_name': -3.227391965865559e-11, 'rtable_price': 8.376596870114609e-11}",0.0,1.1402138990233652,0.0,[0.96143436 0.03856568],169-235,mojito-c
19,"{'ltable_description': -5.96440040967123e-13, 'ltable_id': -1.8747430924325986e-11, 'ltable_name': 9.034140401651485e-13, 'rtable_description': 6.576121258407109e-14, 'rtable_id': 1.3674541348781801e-11, 'rtable_name': -8.256917706810533e-13, 'rtable_price': 2.6733730050237802e-11}",0.0,1.4068315980257466,0.0,[0.8867711  0.11322886],677-891,mojito-c
20,"{'ltable_description': -4.514618221467474e-12, 'ltable_id': 2.0400750105691414e-10, 'ltable_name': -3.069436406199307e-11, 'ltable_price': 1.2754922528785306e-11, 'rtable_description': 4.0185914968709353e-11, 'rtable_id': -5.19741206417009e-11, 'rtable_name': -1.066537164377112e-12}",0.0,1.1797355739981867,0.0,[0.9830299  0.01697006],280-300,mojito-c
