,explanation,label,latency,match,prediction,row,type
0,"{'ltable_description': -0.01289723241049845, 'ltable_name': -0.015119767152596964, 'rtable_description': -0.020242911325831458, 'rtable_id': 0.01658178418654073, 'rtable_name': 0.0026425541290460795, 'rtable_price': -0.013826066775088266}",0.0,0.8394339890219271,0.0,[0.9803657  0.01963433],445-910,mojito-d
1,"{'ltable_description': -0.011798223664962379, 'ltable_name': -0.013172994487360196, 'rtable_name': -0.021699174005751953}",0.0,0.7674173730192706,0.0,[0.8993323  0.10066776],719-812,mojito-d
2,"{'ltable_description': -0.018399293993853004, 'ltable_id': -0.014040578144712278, 'rtable_description': -0.04555942652276341, 'rtable_id': -0.028348623069417343, 'rtable_name': -0.018343549306615522, 'rtable_price': -0.019468769680499726}",0.0,0.8408215909730643,0.0,[0.9941512  0.00584884],550-664,mojito-d
3,"{'ltable_description': -0.008679577356502325, 'ltable_name': -0.009136463999495647, 'rtable_description': -0.010658020817918631, 'rtable_name': -0.005879264501668376}",1.0,1.032242187007796,0.0,[0.9657647 0.0342353],942-949,mojito-d
4,"{'ltable_description': -0.011187573423881084, 'ltable_name': -0.015124766366745555, 'rtable_description': -0.01936309575665656}",0.0,0.9840119070140645,0.0,[0.86740214 0.13259783],643-636,mojito-d
5,"{'ltable_description': -0.010306015901089063, 'ltable_name': -0.0022108400492829848, 'rtable_description': -0.020920467183184757, 'rtable_name': -0.016589046527492896}",0.0,0.876936957007274,0.0,[0.965851 0.034149],495-578,mojito-d
6,"{'ltable_description': -0.01142244059920942, 'ltable_name': -0.008870236684228976, 'rtable_description': -0.012168401041210287, 'rtable_name': -0.013527296317322284}",0.0,0.8233243200229481,0.0,[0.99729365 0.00270633],994-336,mojito-d
7,"{'ltable_description': -0.013361117730836081, 'ltable_id': -0.003747507797317302, 'ltable_name': -0.005744194330783138, 'rtable_id': -0.02857022676288854, 'rtable_name': -0.026962507886697715}",0.0,0.6598426379496232,0.0,[0.9735527  0.02644733],808-127,mojito-d
8,"{'ltable_description': -0.013659385368901525, 'ltable_name': -0.0026113968195053384, 'rtable_description': -0.008354735852737643, 'rtable_name': -0.011692922756718249}",0.0,0.872367269010283,0.0,[0.8839233  0.11607669],987-980,mojito-d
9,"{'ltable_description': -0.01374585107863113, 'ltable_name': -0.01880764858855452, 'rtable_description': -0.020472913574638506, 'rtable_id': -0.0107062358745382}",0.0,0.7993324719718657,0.0,[0.9726782  0.02732181],332-237,mojito-d
10,"{'ltable_description': -0.017333704077099308, 'ltable_name': -0.015787224472290612, 'rtable_description': -0.01244383800618653, 'rtable_name': -0.008334058877030186}",0.0,0.8065289040096104,0.0,[0.98360956 0.01639043],994-732,mojito-d
11,"{'ltable_description': -0.011034938643465823, 'rtable_description': -0.021529275006681604, 'rtable_name': -0.012709465231699704}",0.0,0.8211199349607341,0.0,[0.9886286  0.01137138],764-141,mojito-d
12,"{'ltable_description': -0.013688047874409512, 'ltable_name': -0.012399443445360607, 'rtable_description': -0.027201210788928183, 'rtable_name': -0.01021685634178764}",0.0,0.9224438680103049,0.0,[0.97093177 0.02906825],615-640,mojito-d
13,"{'ltable_description': -0.016481459609362925, 'rtable_description': -0.021951270808682796, 'rtable_name': -0.023043946574009763}",0.0,0.8905653160181828,0.0,[0.97805697 0.02194296],431-71,mojito-d
14,"{'ltable_description': -0.019823262045081072, 'ltable_name': -0.014139848390630962, 'rtable_description': -0.013536048191479742, 'rtable_name': -0.0022854016743301627}",0.0,0.6714692320092581,0.0,[0.9492747  0.05072524],805-399,mojito-d
15,"{'ltable_description': -0.01460658284407717, 'ltable_name': -0.002932727606522596, 'rtable_description': -0.01469541892478644, 'rtable_name': -0.0039172565743443325}",0.0,0.8177390480414033,0.0,[0.9325273  0.06747268],987-653,mojito-d
16,"{'ltable_description': -0.01806770850345101, 'ltable_id': -0.014974387696480376, 'ltable_name': -0.028116906252782264, 'rtable_description': -0.011729013923743509, 'rtable_id': -0.02685567586820192, 'rtable_name': -0.015371574377238515}",0.0,0.7615444689872675,0.0,[0.9332694  0.06673063],710-660,mojito-d
17,"{'ltable_description': -0.007535688540581882, 'rtable_description': -0.0202809589463541, 'rtable_id': -0.014957617993385915}",0.0,0.8253659090260044,0.0,[0.94259286 0.05740708],191-301,mojito-d
18,"{'ltable_description': -0.03325107738028949, 'ltable_name': -0.02866417296049998, 'rtable_description': -0.05440050355265473, 'rtable_name': 0.04073232576259868}",0.0,0.7671776809729636,0.0,[0.96143436 0.03856568],169-235,mojito-d
19,"{'ltable_description': -0.021314276116543292, 'ltable_id': -0.01521690961591092, 'ltable_name': -0.007183560717614512, 'rtable_name': -0.0224371078037968}",0.0,0.9023341960273683,0.0,[0.8867711  0.11322886],677-891,mojito-d
20,"{'ltable_description': -0.0211549347505153, 'ltable_name': -0.01677869923234499, 'rtable_description': -0.00014815541650014944, 'rtable_name': -0.021578757554345827}",0.0,0.7725926690036431,0.0,[0.9830299  0.01697006],280-300,mojito-d
21,"{'ltable_description': -0.015169861788044728, 'ltable_name': -0.007528809360646629, 'rtable_name': -0.01720991183630098}",0.0,0.7638100549811497,0.0,[0.97670126 0.02329866],523-954,mojito-d
22,"{'ltable_description': -0.02530399868256857, 'ltable_name': -0.024641792205973692, 'rtable_description': -0.0026614643172026844, 'rtable_name': -0.02456345382654831}",0.0,0.8166936570196413,0.0,[0.9903562  0.00964381],427-146,mojito-d
