,explanation,label,latency,match,prediction,row,type
0,"{'ltable_description': -0.05224714472323351, 'ltable_name': -0.008376752291650805, 'ltable_price': -0.008283919829797589, 'rtable_description': -0.00853144454342936, 'rtable_name': -0.01588245262605295, 'rtable_price': -0.01101497150084467}",0.0,2.9440054610022344,0.0,[0.9803657  0.01963433],445-910,shap
1,"{'ltable_description': -0.046984977842619055, 'ltable_name': -0.007723717448922477, 'ltable_price': -0.00789203192541996, 'rtable_description': -0.0077857273897776885, 'rtable_name': -0.025704354207962757, 'rtable_price': -0.006993451447847007}",0.0,3.0207977760001086,0.0,[0.8993323  0.10066776],719-812,shap
2,"{'ltable_description': -0.06703416902384686, 'ltable_name': -0.0032143567628906307, 'ltable_price': -0.0032638468182703793, 'rtable_description': -0.0040757604318884255, 'rtable_name': -0.008833018906249587, 'rtable_price': -0.019405913975856184}",0.0,2.95086361997528,0.0,[0.9941512  0.00584884],550-664,shap
3,"{'ltable_description': 0.03574987982648117, 'ltable_name': -0.02551020125253127, 'ltable_price': -0.02578161907832449, 'rtable_description': -0.025162187954876573, 'rtable_name': -0.03234140130582579, 'rtable_price': -0.02471413675229997}",1.0,3.1861407479736954,0.0,[0.9657647 0.0342353],942-949,shap
4,"{'ltable_description': 0.007016238373393817, 'ltable_name': -0.019558693440941494, 'ltable_price': -0.019851579105171067, 'rtable_description': -0.019129143704039373, 'rtable_name': -0.0208377353148535, 'rtable_price': -0.02266485963327186}",0.0,3.3219849620363675,0.0,[0.86740214 0.13259783],643-636,shap
5,"{'ltable_description': -0.05578190369993298, 'ltable_name': -0.009922812847420569, 'ltable_price': -0.010440956408157927, 'rtable_description': -0.010044399679754856, 'rtable_name': -0.0027490946382749543, 'rtable_price': -0.015624744418698072}",0.0,3.1700097679859027,0.0,[0.965851 0.034149],495-578,shap
6,"{'ltable_description': -0.07103880782287655, 'ltable_name': -0.0038367074617999507, 'ltable_price': -0.0038876300306874174, 'rtable_description': -0.004992761658834426, 'rtable_name': -0.016803239427526317, 'rtable_price': -0.005248562959818293}",0.0,3.011361138022039,0.0,[0.99729365 0.00270633],994-336,shap
7,"{'ltable_description': -0.0426871837197493, 'ltable_name': -0.017376049208144353, 'ltable_price': -0.016701835216954355, 'rtable_description': -0.017160944383591396, 'rtable_name': 0.00918353118685386, 'rtable_price': -0.017407475648447857}",0.0,2.8609309109742753,0.0,[0.9735527  0.02644733],808-127,shap
8,"{'ltable_description': -0.068199648870621, 'ltable_name': -0.005374015218500651, 'ltable_price': -0.005548988754861046, 'rtable_description': -0.0047082115442802185, 'rtable_name': -0.007138365407086289, 'rtable_price': -0.013339884729745455}",0.0,2.9699994919938035,0.0,[0.8839233  0.11607669],987-980,shap
9,"{'ltable_description': 0.02487254077444477, 'ltable_name': -0.03220470308496929, 'ltable_price': -0.032725632979379374, 'rtable_description': -0.03318925473311298, 'rtable_name': 0.014894004156192159, 'rtable_price': -0.040030676624737666}",0.0,2.83263390295906,0.0,[0.9726782  0.02732181],332-237,shap
